recent_best_eplen,best_ext_ret,n_updates,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen,eprew_recent,eplen_std,epcount,total_secs,tcount,recent_worst_eplen,rew_mean
52,125.225,41,16.909375,125.225,1.537738168,52,55,17.93389757,0,47680,16047.40129,2622397,55,0.33706206
55,125.225,42,17.4,23.0625,1.617337704,52,55,18.03135557,0,48864,16435.58837,2687517,55,0.33143604
55,125.225,43,18.128125,23.0625,1.462616849,52,55,18.32481554,0,50016,16827.8168,2750877,55,0.34250084
55,125.225,44,18.103125,24.3125,1.404968166,52,55,18.33380312,0,51169,17217.6703,2814292,55,0.34257916
55,125.225,45,18.725,23.0625,1.273436541,52,55,18.35201817,0,52352,17605.93612,2879357,55,0.33549452
55,125.225,46,18.98125,23.6875,1.505731238,52,55,18.63134766,0,53504,17996.20339,2942717,55,0.3484004
55,125.225,47,18.765625,24,1.233781503,52,55,18.58166174,0,54688,18386.39861,3007837,55,0.34650835
55,125.225,48,19.44375,23.6875,1.732715986,52,55,18.67610677,0,55840,18773.46574,3071197,55,0.34513593
55,125.225,49,18.903125,23.375,1.362654091,52,55,18.81906467,0,56992,19165.00948,3134557,55,0.35150918
55,125.225,50,19.4375,24,1.449676688,52,55,19.23991765,0,58176,19558.61111,3199677,55,0.3551533
55,125.225,51,18.134375,22.75,1.376316841,52,55,18.68343099,0,59328,19949.5271,3263037,55,0.34507978
55,125.225,52,19.834375,24,1.312540922,52,55,19.12179905,0,60480,20337.32716,3326397,55,0.358545
55,125.225,53,19.61875,23.375,1.382776306,52,55,19.13355152,0,61664,20729.54836,3391517,55,0.3519232
55,125.225,54,18.8625,23.0625,1.358077686,52,55,19.12424045,0,62816,21116.77589,3454877,55,0.35681722
55,125.225,55,19.109375,23.6875,1.873111028,52,55,19.13307676,0,63969,21509.10917,3518292,55,0.35705683
55,125.225,56,18.603125,23.375,1.167475073,52,55,18.9305262,0,65152,21900.87799,3583357,55,0.34632826
55,125.225,57,20.203125,23.6875,1.441146869,52,55,19.21864149,0,66304,22291.75775,3646717,55,0.35828787
55,125.225,58,18.71875,24,2.205948988,52,55,19.35789696,0,67488,22682.19122,3711837,55,0.36162183
55,125.225,59,18.575,24.625,1.335015215,52,55,19.41314019,0,68640,23074.45831,3775197,55,0.35822824
55,125.225,60,20.365625,24.3125,1.185569978,52,55,19.36051432,0,69792,23465.49644,3838557,55,0.36090925
55,125.225,61,19.815625,24.625,2.232525458,52,55,19.43021537,0,70976,23857.16414,3903677,55,0.35952944
55,125.225,62,19.559375,23.6875,1.481853121,52,55,19.1820204,0,72128,24244.81063,3967037,55,0.3546607
55,125.225,63,18.83125,23.375,1.019746445,52,55,19.22569444,0,73280,24635.88021,4030397,55,0.36115637
55,125.225,64,20.00625,23.6875,1.881540675,52,55,19.56429476,0,74464,25022.5485,4095517,55,0.35897583
55,125.225,65,18.725,24.3125,1.47457621,52,55,19.20128038,0,75616,25410.91462,4158877,55,0.35873178
55,125.225,66,19.15625,24,1.487906982,52,55,19.25070468,0,76769,25803.35161,4222292,55,0.35986072
55,125.225,67,19.184375,23.0625,1.387792058,52,55,19.47337278,0,77952,26193.13571,4287357,55,0.35546526
55,125.225,68,19.621875,23.375,1.146917574,52,55,19.57861328,0,79104,26583.13007,4350717,55,0.36607507
55,125.225,69,18.846875,24.3125,1.676756891,52,55,19.29903927,0,80288,26977.6533,4415837,55,0.35950512
55,125.225,70,19.628125,24.9375,1.069366598,52,55,19.988227,0,81440,27365.46244,4479197,55,0.36921874
