n_updates,recent_best_eplen,eplen,recent_best_ext_ret,best_ext_ret,best_eplen,rew_mean,recent_worst_eplen,epcount,tcount,eplen_std,eprew,eprew_recent,eprew_std,total_secs
62,55,55.0,17.90625,21.03125,55,0.10186347,55,144256.0,7934080.0,0.0,5.018125,5.434068467881945,1.779528663895302,48126.996889829636
63,55,55.0,17.03125,21.03125,55,0.11063453,55,146560.0,8060800.0,0.0,5.94375,5.820475260416667,1.75180152807046,48890.53783774376
64,55,55.0,16.34375,21.03125,55,0.10754719,55,148928.0,8191040.0,0.0,5.8596875,5.848514041385135,2.5110167224590025,49654.700204610825
65,55,55.0,21.71875,21.71875,55,0.10981251,55,151232.0,8317760.0,0.0,5.39,5.809041341145833,1.5029624392345937,50422.99424815178
66,55,55.0,17.03125,21.71875,55,0.10604685,55,153536.0,8444480.0,0.0,5.6378125,5.633219401041667,1.6517337896037454,51198.992938280106
67,55,55.0,16.25,21.71875,55,0.10992528,55,155904.0,8574720.0,0.0,5.3115625,5.987344277871622,0.9352520444878748,51963.59151887894
68,55,55.0,15.5625,21.71875,55,0.1080739,55,158208.0,8701440.0,0.0,6.38125,5.683295355902778,2.4687776897181326,52736.552478313446
69,55,55.0,17.125,21.71875,55,0.10603814,55,160576.0,8831680.0,0.0,5.4440625,5.68406883445946,1.475332953681558,53506.541922330856
70,55,55.0,18.6875,21.71875,55,0.10956096,55,162880.0,8958400.0,0.0,5.41875,5.933837890625,2.2116126398512916,54272.89121103287
71,55,55.0,15.5625,21.71875,55,0.109145984,55,165184.0,9085120.0,0.0,5.65375,5.678032769097222,1.6217496338831097,55045.108355760574
72,55,55.0,18.59375,21.71875,55,0.11106808,55,167552.0,9215360.0,0.0,6.5578125,6.049857474662162,2.093336596314303,55816.57948923111
73,55,55.0,17.03125,21.71875,55,0.11430776,55,169856.0,9342080.0,0.0,6.471875,6.124891493055555,2.1831139063560103,56585.785895347595
74,55,55.0,20.15625,21.71875,55,0.11742921,55,172160.0,9468800.0,0.0,6.180625,6.156168619791667,2.0135312769174956,57359.79868555069
75,55,55.0,17.125,21.71875,55,0.10741349,55,174528.0,9599040.0,0.0,5.8875,5.877494193412162,1.7863742084177097,58132.33922624588
76,55,55.0,16.34375,21.71875,55,0.118523054,55,176832.0,9725760.0,0.0,6.4325,6.254069010416667,2.468752848099623,58906.20911669731
77,55,55.0,20.25,21.71875,55,0.11129546,55,179136.0,9852480.0,0.0,5.3021875,5.954752604166667,1.0083058869801118,59674.46882247925
78,55,55.0,17.125,21.71875,55,0.10703313,55,181504.0,9982720.0,0.0,6.355625,5.814809438344595,2.0602771165246194,60440.51494216919
79,55,55.0,18.6875,21.71875,55,0.11875437,55,183808.0,10109440.0,0.0,7.1815625,6.332248263888889,2.6333523927151776,61213.129665613174
80,55,55.0,17.125,21.71875,55,0.10964407,55,186176.0,10239680.0,0.0,5.3978125,5.815324113175675,1.5797661948746562,61982.06449055672
81,55,55.0,17.125,21.71875,55,0.11134655,55,188480.0,10366400.0,0.0,5.530625,6.013902452256945,1.5371060216767742,62749.583820581436
82,55,55.0,21.8125,21.8125,55,0.11490755,55,190784.0,10493120.0,0.0,6.37,6.001614040798611,2.1973337892204725,63531.41778063774
83,55,55.0,19.46875,21.8125,55,0.11342232,55,193152.0,10623360.0,0.0,5.1209375,6.176546663851352,0.8901550843638146,64299.194509744644
84,55,55.0,17.8125,21.8125,55,0.11341946,55,195456.0,10750080.0,0.0,5.6396875,6.064141167534722,1.6700688550083047,65070.31135392189
85,55,55.0,17.90625,21.8125,55,0.11384876,55,197760.0,10876800.0,0.0,7.408125,5.985853407118055,2.797165906658917,65843.09675884247
86,55,55.0,17.125,21.8125,55,0.10774027,55,200128.0,11007040.0,0.0,6.955625,5.857421875,2.865988526560251,66611.73912906647
87,55,55.0,17.90625,21.8125,55,0.1173026,55,202432.0,11133760.0,0.0,7.9440625,6.254720052083333,3.0120373574988655,67384.84239697456
88,55,55.0,19.375,21.8125,55,0.117716074,55,204736.0,11260480.0,0.0,5.194375,6.234958224826389,1.6059130239913366,68158.3767721653
89,55,55.0,18.59375,21.8125,55,0.112550326,55,207104.0,11390720.0,0.0,5.4934375,6.103238492398648,1.402114021921452,68927.0224533081
90,55,55.0,20.25,21.8125,55,0.11901176,55,209408.0,11517440.0,0.0,6.1228125,6.294270833333333,2.2034651997975256,69695.79944467545
91,55,55.0,22.59375,22.59375,55,0.11824295,55,211776.0,11647680.0,0.0,6.3259375,6.3230574324324325,2.40612521997895,70462.0717651844
92,55,55.0,19.46875,22.59375,55,0.11230102,55,214080.0,11774400.0,0.0,6.57875,6.089206271701389,2.138301567541398,71229.76791667938
93,55,55.0,19.46875,22.59375,55,0.12016963,55,216384.0,11901120.0,0.0,6.4684375,6.234836154513889,2.030410860323287,71999.9694776535
94,55,55.0,17.90625,22.59375,55,0.12013112,55,218752.0,12031360.0,0.0,5.2053125,6.562156883445946,1.0758377458839925,72769.09152936935
95,55,55.0,18.6875,22.59375,55,0.115439594,55,221056.0,12158080.0,0.0,5.2815625,6.173855251736111,1.4811214013269642,73542.68855786324
96,55,55.0,18.6875,22.59375,55,0.119840726,55,223360.0,12284800.0,0.0,8.69375,6.304185655381945,3.1912753377372503,74312.41517925262
97,55,55.0,18.6875,22.59375,55,0.119327426,55,225728.0,12415040.0,0.0,7.68125,6.501491237331081,2.87207051837172,75081.80317902565
98,55,55.0,17.90625,22.59375,55,0.12650903,55,228032.0,12541760.0,0.0,10.324375,6.656684027777778,2.836494108600439,75852.47627997398
99,55,55.0,22.59375,22.59375,55,0.11769403,55,230336.0,12668480.0,0.0,5.03125,6.290595160590278,1.2940292573006222,76624.14439892769
100,55,55.0,19.46875,22.59375,55,0.11691354,55,232704.0,12798720.0,0.0,5.590625,6.373680320945946,1.481187366819269,77390.95578718185
101,55,55.0,19.46875,22.59375,55,0.1189893,55,235008.0,12925440.0,0.0,6.4409375,6.328233506944445,2.266971130268039,78161.62525510788
102,55,55.0,23.375,23.375,55,0.12210739,55,237376.0,13055680.0,0.0,6.2896875,6.48097022804054,2.0587791010010643,78930.02730512619
103,55,55.0,19.46875,23.375,55,0.12703821,55,239680.0,13182400.0,0.0,8.6065625,6.922607421875,3.559999382790501,79693.37058591843
104,55,55.0,18.6875,23.375,55,0.13017745,55,241984.0,13309120.0,0.0,7.264375,6.773573133680555,3.1716099642965245,80459.65078163147
105,55,55.0,20.25,23.375,55,0.12315914,55,244352.0,13439360.0,0.0,7.533125,6.715292440878378,2.753824825923936,81221.1587395668
106,55,55.0,22.59375,23.375,55,0.13275857,55,246656.0,13566080.0,0.0,10.8890625,7.129096137152778,4.490500770289295,81974.30472970009
107,55,55.0,20.25,23.375,55,0.13104491,55,248960.0,13692800.0,0.0,6.9384375,6.8797607421875,2.8668480044238045,82745.46726632118
108,55,55.0,19.46875,23.375,55,0.12701084,55,251328.0,13823040.0,0.0,6.4809375,6.935520481418919,2.405003309346735,83504.49913477898
109,55,55.0,23.375,23.375,55,0.13547182,55,253632.0,13949760.0,0.0,7.864375,7.259562174479167,3.361972019421786,84268.81527733803
110,55,55.0,20.25,23.375,55,0.13535458,55,255936.0,14076480.0,0.0,6.7353125,7.179497612847222,3.195084282803624,85032.80116677284
111,55,55.0,19.46875,23.375,55,0.1290051,55,258304.0,14206720.0,0.0,5.9465625,7.013962204391892,2.1579445108062325,85791.82768273354
112,55,55.0,21.03125,23.375,55,0.15236194,55,260608.0,14333440.0,0.0,6.31875,8.07680935329861,2.9182079261080762,86560.70547652245
113,55,55.0,21.03125,23.375,55,0.14971842,55,262976.0,14463680.0,0.0,7.4321875,8.074654244087839,4.226610859242752,87330.40670895576
114,55,55.0,21.8125,23.375,55,0.14132893,55,265280.0,14590400.0,0.0,6.520625,7.657565646701389,2.886303255788449,88100.94883561134
115,55,55.0,20.25,23.375,55,0.14444241,55,267584.0,14717120.0,0.0,9.87125,7.607191297743055,4.049928336557327,88874.08544969559
116,55,55.0,23.375,23.375,55,0.1495283,55,269952.0,14847360.0,0.0,7.1590625,8.13547825168919,3.919380668449895,89642.82395172119
117,55,55.0,22.59375,23.375,55,0.14180541,55,272256.0,14974080.0,0.0,8.7259375,7.618435329861111,3.585642634935717,90408.46240019798
118,55,55.0,24.15625,24.15625,55,0.16336268,55,274560.0,15100800.0,0.0,6.881875,8.579522026909721,3.1716997488531287,91178.6981048584
119,55,55.0,21.8125,24.15625,55,0.14136906,55,276928.0,15231040.0,0.0,6.4825,7.809279983108108,2.6856945970735393,91953.96123576164
120,55,55.0,21.8125,24.15625,55,0.13988237,55,279232.0,15357760.0,0.0,6.7884375,7.434977213541667,3.6456841323637392,92718.6819396019
121,55,55.0,19.46875,24.15625,55,0.12973711,55,281536.0,15484480.0,0.0,7.9259375,6.957994249131945,3.4220980378225208,93490.57273960114
122,55,55.0,21.03125,24.15625,55,0.14587614,55,283904.0,15614720.0,0.0,5.9603125,7.876926731418919,2.5517604791533137,94255.11736440659
123,55,55.0,21.03125,24.15625,55,0.15067528,55,286208.0,15741440.0,0.0,12.6834375,8.005967881944445,4.877078192854688,95026.83300280571
124,55,55.0,22.59375,24.15625,55,0.140404,55,288576.0,15871680.0,0.0,6.274375,7.52003272804054,2.4417494208814716,95795.51711988449
125,55,55.0,22.59375,24.15625,55,0.15954605,55,290880.0,15998400.0,0.0,13.87875,8.66457790798611,4.335061634509941,96564.13780117035
126,55,55.0,22.59375,24.15625,55,0.16295405,55,293184.0,16125120.0,0.0,5.7853125,8.625542534722221,2.3031129367051784,97338.25188589096
127,55,55.0,20.25,24.15625,55,0.1379754,55,295552.0,16255360.0,0.0,7.525,7.505991342905405,3.45369197833999,98107.54431176186
128,55,55.0,20.25,24.15625,55,0.12742099,55,297856.0,16382080.0,0.0,6.099375,6.823092990451389,2.345396838090518,98879.21291661263
129,55,55.0,22.59375,24.15625,55,0.15506376,55,300160.0,16508800.0,0.0,9.330625,8.180921766493055,3.933557500453628,99652.64316344261
130,55,55.0,21.8125,24.15625,55,0.14714481,55,302528.0,16639040.0,0.0,7.936875,8.017776076858109,3.658893221914927,100425.14827823639
131,55,55.0,21.8125,24.15625,55,0.14627175,55,304832.0,16765760.0,0.0,7.4378125,7.777425130208333,3.2600909897913506,101193.56308054924
132,55,55.0,21.03125,24.15625,55,0.13640492,55,307136.0,16892480.0,0.0,5.691875,7.183186848958333,2.2109149512984434,101965.92805314064
133,55,55.0,22.59375,24.15625,55,0.13644496,55,309504.0,17022720.0,0.0,6.1425,7.518092799831081,2.548139333415659,102734.67401719093
134,55,55.0,21.03125,24.15625,55,0.14282899,55,311808.0,17149440.0,0.0,8.95375,7.577460394965278,3.776850436375526,103506.27420592308
135,55,55.0,20.25,24.15625,55,0.15504467,55,314176.0,17279680.0,0.0,7.038125,8.305281355574325,3.142623990692332,104280.4097468853
