epcount,tcount,eprew,eplen_std,eplen_recent_best,wait_step,rets_ext,eplen,eprew_best,eprew_recent_best,rets_int,time_elapsed,wait_policy_inference,eplen_best,eplen_histmean,eprew_std,eprew_histmean,wait_update,n_updates
40452,8118302,79.96703345070422,16.61038507628477,80,357.69179582595825,49.141438,114.65140845070422,94.1,94.1,0.37788475,13463.014652490616,17.7466402053833,80,113.79,9.905005243594857,80.491,220.27035212516785,31
42820,8381321,81.49514358108108,15.171912554991927,81,352.5324227809906,51.832317,111.07221283783784,94.1,93.7,0.3747947,13815.598458528519,17.697919368743896,80,114.69,8.266472962077772,80.233,216.84817028045654,32
45268,8643587,83.184477124183,13.388817075230042,77,353.2696282863617,54.177876,107.13480392156863,95.3,95.3,0.38747343,14168.897397518158,17.83459186553955,77,104.88,6.273885409002438,84.17000000000002,218.22321248054504,33
47810,8905873,84.7319433516916,12.56252276217794,72,351.9874641895294,56.40009,103.18095987411488,97.3,97.3,0.39569786,14520.902640581131,17.702104330062866,72,102.87,6.750168753896083,84.949,216.78588390350342,34
50434,9168526,86.04737042682926,11.001430864639536,72,352.7448875904083,58.0663,100.09641768292683,97.4,97.4,0.417742,14873.68441605568,17.690375328063965,72,100.07,4.408652880358272,86.01899999999999,219.22030782699585,35
53122,9430067,87.15003720238096,10.142326431495801,75,352.78174448013306,58.922554,97.29947916666667,97.4,96.2,0.40696785,15226.49378490448,17.59540605545044,72,97.47,4.072843060302481,87.07799999999999,219.0941333770752,36
55907,9693518,88.24057450628366,9.441235885332922,73,357.4226095676422,60.980125,94.5964093357271,97.4,96.9,0.42295292,15583.941366434097,17.741424798965454,72,94.67,3.7839999108402154,88.14200000000001,221.94299840927124,37
58730,9955459,88.92408784980518,9.048875921832554,71,350.3339023590088,62.266563,92.78816861494863,97.7,97.7,0.43770978,15934.298506259918,17.596590757369995,71,94.07,4.778950851971494,88.449,217.30999493598938,38
61618,10217317,89.76921745152355,8.26268645990068,70,355.2529559135437,63.35459,90.67105263157895,98.0,98.0,0.44937998,16289.575134277344,17.46234154701233,70,92.96,4.503883882243968,88.87200000000001,220.91343069076538,39
64559,10479996,90.31982318939136,8.079592090520077,71,355.4452176094055,64.544624,89.31621897313839,98.0,97.8,0.44602132,16645.03304553032,17.701850175857544,70,88.89,4.437765438874086,90.55799999999999,220.82932949066162,40
67553,10741896,91.05193720774884,7.769100651342451,69,356.8184540271759,65.355576,87.4749498997996,98.6,98.6,0.46067813,17002.045600652695,17.767655611038208,69,87.65,4.174637683397243,91.07199999999997,222.9907443523407,41
70593,11004393,91.50565789473684,7.593744912962968,70,353.898720741272,65.81089,86.34769736842105,98.6,98.0,0.46939793,17355.97460913658,17.692841291427612,69,85.43,4.270502508187728,91.869,219.7406210899353,42
73668,11266586,91.97284552845528,6.983660341976357,69,355.2108473777771,66.30032,85.2660162601626,98.6,98.5,0.4752788,17711.1885535717,17.61199641227722,69,84.19,2.8123550066546747,92.411,219.82477521896362,43
76787,11529097,92.40782302019878,7.199666123058476,69,353.7763912677765,66.95463,84.1651170246874,98.6,98.6,0.49326313,18065.0210146904,17.681228399276733,69,83.44,2.903598563217998,92.713,218.04823756217957,44
79961,11791940,92.92306238185255,7.300248077516455,69,354.6418046951294,67.683304,82.81127914303718,98.6,98.6,0.5119117,18419.68301486969,17.536539554595947,69,81.51,4.159107642404997,93.47,220.99969577789307,45
83152,12053649,93.23447195236604,7.020681891483924,67,357.9769244194031,69.10928,82.01472892510185,99.3,99.3,0.49975476,18777.683438539505,17.61960244178772,67,81.62,4.0800247971960655,93.434,222.8760950565338,46
86383,12315634,93.61429897864438,6.803306400494994,67,355.46636509895325,69.57218,81.08480346641906,99.3,99.2,0.49021184,19133.184263706207,17.5664541721344,67,81.0,4.00435307034402,93.66,221.55309534072876,47
89647,12577580,93.97631740196078,6.034799241739192,66,351.3916685581207,69.79395,80.2530637254902,99.7,99.7,0.50317883,19484.600850343704,17.602703094482422,66,79.36,2.436122620839477,94.316,217.37198138237,48
92954,12839904,94.31920169337769,6.40787209497323,65,351.95627307891846,69.57637,79.32385848200786,100.2,100.2,0.50284225,19836.579949855804,17.669984102249146,65,79.75,3.93864997433662,94.16599999999998,217.0033254623413,49
96294,13102201,94.65335329341316,5.586863660014928,64,352.3176021575928,69.84808,78.53203592814371,100.5,100.5,0.51869524,20188.92849636078,17.732051372528076,64,78.85,2.2547190992452095,94.50099999999999,219.40436148643494,50
99663,13364369,94.96052241021074,5.305790184525685,64,349.640576839447,70.43226,77.81775007420599,100.5,100.5,0.527728,20538.733493089676,17.584190607070923,64,77.34,2.1308940037311657,95.14399999999999,216.2142722606659,51
103060,13626338,95.2049749779217,5.983366690697279,64,352.0559952259064,70.61589,77.11775095672652,100.5,100.5,0.52843505,20890.81310915947,17.62177324295044,64,77.02,3.7451664825486235,95.25,218.32394576072693,52
