epbestrew,policy_loss,serial_timesteps,time_elapsed,fps,value_loss,curbestlen,explained_variance,policy_entropy,eplenmean,epbestlen,curbestrew,eprewmean,approxkl,nupdates,total_timesteps,clipfrac
-98,0.001305438,272384,16795.253,2124,6.078602,1500,0.643324614,1.6628661,1500,1500,-140,-141.42,0.002696726,133,34865152,0.14210701
-98,0.002621052,274432,16918.62376,2124,5.903559,1500,0.672653556,1.6699407,1500,1500,-140,-141.44,0.003768416,134,35127296,0.20322609
-98,0.00426821,276480,17044.10974,2089,6.674227,1500,0.570856214,1.6714123,1500,1500,-140,-141.6,0.005018299,135,35389440,0.24320602
-98,0.000909344,278528,17168.85524,2101,6.1727777,1500,0.563234001,1.6910546,1500,1500,-140,-141.18,0.002568051,136,35651584,0.14915562
-98,0.003439375,280576,17294.2496,2090,5.982572,1500,0.676990986,1.65009,1500,1500,-140,-141.48,0.004589982,137,35913728,0.24437141
-98,0.006082584,282624,17420.8501,2070,6.4810295,1500,0.530425966,1.703665,1500,1500,-134,-141.32,0.006393725,138,36175872,0.28604126
-98,5.95E-05,284672,17546.10076,2093,6.1072774,1500,0.626859128,1.6419913,1500,1500,-140,-141.26,0.002206132,139,36438016,0.11341858
-98,0.001462261,286720,17672.32116,2076,6.224191,1500,0.535010129,1.6877657,1500,1500,-136,-141.04,0.002902324,140,36700160,0.16938591
-98,0.002900092,288768,17798.54612,2078,6.201017,1500,0.66882056,1.6361374,1500,1500,-134,-140.62,0.004214286,141,36962304,0.23661232
-98,0.004132589,290816,17925.22235,2069,5.1744356,1500,0.716941416,1.6151891,1500,1500,-134,-140.26,0.007596897,142,37224448,0.25129223
-98,0.0087138,292864,18051.69425,2072,5.24686,1500,0.759278923,1.5819978,1500,1500,-134,-139.56,0.012527907,143,37486592,0.35005856
-98,0.004345151,294912,18178.01946,2075,5.5664763,1500,0.747225732,1.5552537,1500,1500,-130,-138.14,0.00569946,144,37748736,0.26486874
-98,0.002252968,296960,18306.22306,2044,5.063849,1500,0.690797806,1.6030908,1500,1500,-126,-136.52,0.00470279,145,38010880,0.24064445
-98,0.001225002,299008,18431.23864,2096,5.3317084,1500,0.739795685,1.4966292,1500,1500,-126,-135.52,0.002522537,146,38273024,0.13819218
-98,0.005665287,301056,18556.35255,2095,5.2830296,1500,0.723512352,1.5077971,1500,1500,-126,-135.38,0.006869979,147,38535168,0.2973385
-98,0.000302743,303104,18682.28412,2081,5.3879113,1500,0.725453168,1.4230459,1500,1500,-126,-134.3,0.002033463,148,38797312,0.12043285
-98,0.003936531,305152,18808.91766,2070,5.269827,1500,0.723711193,1.3806533,1500,1500,-126,-134,0.005532476,149,39059456,0.21697712
-98,0.00244935,307200,18933.51516,2103,6.3660727,1500,0.726908594,1.3699245,1500,1500,-126,-135.6,0.00366904,150,39321600,0.18246174
-98,0.000403897,309248,19060.02353,2074,5.6398807,1500,0.716377944,1.3053558,1500,1500,-126,-135.46,0.001845674,151,39583744,0.087171555
-98,0.00039464,311296,19185.82132,2083,6.113914,1500,0.702528924,1.2677388,1500,1500,-126,-134.96,0.001656737,152,39845888,0.085951805
-98,0.000301445,313344,19310.97598,2094,5.8196073,1500,0.700874746,1.2611978,1500,1500,-126,-134.88,0.001558476,153,40108032,0.075312614
-98,6.19E-05,315392,19437.11419,2078,5.975503,1500,0.649803817,1.2459701,1500,1500,-126,-134.36,0.001385132,154,40370176,0.053518295
-98,0.0003168,317440,19562.49746,2090,5.4754643,1500,0.678607106,1.2537674,1500,1500,-126,-134.92,0.001525664,155,40632320,0.06868553
-98,0.001793117,319488,19688.17147,2086,5.8127637,1500,0.624070942,1.2720748,1500,1500,-126,-133.48,0.002594342,156,40894464,0.103201866
-98,0.001183491,321536,19812.63883,2106,6.2937236,1500,0.650281101,1.2468191,1500,1500,-126,-135.52,0.001718571,157,41156608,0.08401966
-98,0.00164426,323584,19936.70523,2113,6.311772,1500,0.622409552,1.1911613,1500,1500,-130,-136.8,0.001795064,158,41418752,0.09129143
-98,0.000560024,325632,20062.59744,2082,6.09853,1500,0.615302205,1.2437907,1500,1500,-130,-136.56,0.001341174,159,41680896,0.058739662
-98,0.000695974,327680,20188.29503,2085,6.16642,1500,0.603658885,1.2203512,1500,1500,-130,-136.36,0.001520771,160,41943040,0.05802536
-98,0.000396537,329728,20317.15627,2036,6.2283,1500,0.623673409,1.2260108,1500,1500,-134,-137.3,0.001301641,161,42205184,0.05335617
-98,0.00016344,331776,20447.80351,2006,5.910188,1500,0.600037605,1.2212522,1500,1500,-130,-137.2,0.000752259,162,42467328,0.027046204
-98,0.000173434,333824,20572.67066,2099,6.425089,1500,0.588008225,1.2270964,1500,1500,-130,-137.24,0.000738154,163,42729472,0.029930115
-98,0.000667857,335872,20698.23516,2087,5.898975,1500,0.556315213,1.2635667,1500,1500,-130,-137.04,0.001366305,164,42991616,0.05350399
-98,0.001263738,337920,20824.42721,2077,7.1539116,1500,0.500098497,1.2517068,1500,1500,-130,-137.72,0.002427213,165,43253760,0.11740589
-98,0.00201123,339968,20949.19369,2101,6.263872,1500,0.481815279,1.2647359,1500,1500,-134,-137.74,0.003306648,166,43515904,0.16582394
-98,0.001057983,342016,21075.67222,2072,7.4609404,1500,0.448029816,1.3342018,1500,1500,-130,-137.32,0.001804948,167,43778048,0.07974815
-98,0.000107571,344064,21200.88964,2093,6.004067,1500,0.510002375,1.3242625,1500,1500,-134,-137.64,0.001399448,168,44040192,0.047234535
-98,0.000317711,346112,21324.2777,2124,6.319565,1500,0.498473942,1.2959318,1500,1500,-134,-137.74,0.001493954,169,44302336,0.06221199
-98,0.000944631,348160,21450.75879,2072,6.791717,1500,0.495347917,1.3091772,1500,1500,-134,-137.96,0.002031735,170,44564480,0.09903526
-98,0.000766123,350208,21576.93846,2078,6.367179,1500,0.490966082,1.268866,1500,1500,-130,-137.86,0.00153584,171,44826624,0.06590176
-98,0.000440271,352256,21701.49847,2104,6.9761367,1500,0.517640352,1.2794496,1500,1500,-134,-137.8,0.001347311,172,45088768,0.052788734
-98,0.001205677,354304,21825.80969,2108,6.228769,1500,0.47379005,1.2692498,1500,1500,-134,-137.88,0.002955792,173,45350912,0.118634224
-98,0.000452303,356352,21950.15972,2108,6.853307,1500,0.49928844,1.2749165,1500,1500,-130,-137.82,0.001859988,174,45613056,0.08784771
-98,0.001236472,358400,22076.27243,2078,6.4267235,1500,0.498756349,1.2855974,1500,1500,-130,-137.6,0.002596894,175,45875200,0.102954865
-98,0.000437703,360448,22202.88916,2070,7.1850147,1500,0.478055298,1.3153383,1500,1500,-130,-137.44,0.001339209,176,46137344,0.07054138
-98,0.000215876,362496,22328.67257,2084,6.3712807,1500,0.488994062,1.3230404,1500,1500,-130,-137.28,0.001331868,177,46399488,0.040221214
-98,5.29E-05,364544,22454.80012,2078,7.862308,1500,0.438589692,1.3318459,1500,1500,-130,-137.64,0.000781032,178,46661632,0.029289246
-98,0.001458141,366592,22582.20275,2057,6.6319566,1500,0.45400238,1.343406,1500,1500,-130,-137.7,0.003079771,179,46923776,0.11841965
-98,0.000830532,368640,22707.68241,2089,7.9035864,1500,0.459252894,1.3431175,1500,1500,-130,-137.64,0.001962102,180,47185920,0.098303795
-98,0.000217974,370688,22832.27558,2105,6.578427,1500,0.492774785,1.3651596,1500,1500,-130,-137.68,0.001730344,181,47448064,0.061689377
-98,0.00049004,372736,22959.62464,2058,6.7126594,1500,0.528799713,1.3165002,1500,1500,-134,-138.04,0.001749196,182,47710208,0.06891155
-98,0.000907192,374784,23085.96551,2074,7.3003297,1500,0.523595363,1.3386575,1500,1500,-134,-138.04,0.002482515,183,47972352,0.1031723
-98,0.001840916,376832,23212.00972,2079,6.626756,1500,0.515657932,1.298977,1500,1500,-134,-138.06,0.003640074,184,48234496,0.12560844
-98,0.000434788,378880,23338.33023,2075,7.2444987,1500,0.56043449,1.3326892,1500,1500,-138,-138.4,0.001708191,185,48496640,0.07232189
-98,0.00027361,380928,23464.59799,2076,6.4027915,1500,0.554460108,1.3263282,1500,1500,-138,-138.36,0.001251732,186,48758784,0.049099922
-98,0.000522969,382976,23589.89913,2092,7.036963,1500,0.57549125,1.3279066,1500,1500,-138,-138.38,0.001631201,187,49020928,0.0776968
-98,6.46E-05,385024,23717.61606,2052,6.254099,1500,0.574071109,1.2910041,1500,1500,-138,-138.44,0.001049979,188,49283072,0.03660679
-98,0.001139401,387072,23843.72984,2078,7.4837327,1500,0.570391625,1.2981808,1500,1500,-134,-138.58,0.002348226,189,49545216,0.11296368
-98,0.000261397,389120,23972.25812,2039,6.213698,1500,0.584754467,1.2694606,1500,1500,-138,-138.58,0.001421082,190,49807360,0.057845116
-98,0.000381027,391168,24099.31911,2064,7.8669734,1500,0.538787305,1.2959867,1500,1500,-136,-138.5,0.001719941,191,50069504,0.06373596
-98,0.000489118,393216,24226.61787,2059,6.4994245,1500,0.554930329,1.3096781,1500,1500,-138,-138.36,0.001623376,192,50331648,0.0704155
-98,0.000992374,395264,24353.98849,2058,7.8881807,1500,0.525990605,1.2719567,1500,1500,-134,-138.22,0.001906048,193,50593792,0.083664894
-98,8.61E-05,397312,24480.95447,2064,6.330546,1500,0.583398312,1.2736071,1500,1500,-138,-138.5,0.000731634,194,50855936,0.024301529
-98,0.000146271,399360,24608.25057,2059,6.6003237,1500,0.559475631,1.2465426,1500,1500,-134,-138.28,0.001518788,195,51118080,0.044643402
-98,0.000295715,401408,24734.36247,2078,6.964804,1500,0.58649376,1.2472275,1500,1500,-138,-138.78,0.001436942,196,51380224,0.055036545
-98,1.96E-05,403456,24859.53761,2094,6.547623,1500,0.542329431,1.2468861,1500,1500,-138,-138.38,0.001509269,197,51642368,0.049586296
-98,0.000478937,405504,24984.32621,2100,7.633462,1500,0.538803846,1.2803179,1500,1500,-134,-138.34,0.001760615,198,51904512,0.084854126
-98,0.000280894,407552,25109.27878,2098,6.6578283,1500,0.555781782,1.2522095,1500,1500,-138,-138.28,0.001578887,199,52166656,0.056303024
-98,0.000444632,409600,25235.25269,2080,7.3646064,1500,0.566521198,1.2644782,1500,1500,-134,-138.6,0.001230617,200,52428800,0.05825138
-98,0.000601018,411648,25360.58504,2092,6.90478,1500,0.54822284,1.2477174,1500,1500,-138,-138.76,0.002049214,201,52690944,0.0822649
-98,0.000337186,413696,25486.46624,2082,7.485554,1500,0.570347786,1.228469,1500,1500,-134,-138.8,0.001298759,202,52953088,0.05482292
-98,0.000469823,415744,25613.7156,2060,6.4609313,1500,0.586388767,1.2279757,1500,1500,-134,-138.68,0.001289159,203,53215232,0.06531525
-98,0.000646023,417792,25739.7832,2079,7.987705,1500,0.545794249,1.2577152,1500,1500,-134,-138.18,0.001786546,204,53477376,0.0840044
