curbestlen,serial_timesteps,eprewmean,policy_entropy,explained_variance,approxkl,clipfrac,epbestrew,fps,value_loss,eplenmean,total_timesteps,time_elapsed,nupdates,epbestlen,policy_loss,curbestrew
1000,860000,-95.96,1.6945333,0.39567476511001587,0.0021995548,0.09874805,55.5,2083,9.181633,1000.0,55040000,26365.93505167961,430,705,0.00071180647,-92.0
1000,862000,-96.0,1.6915238,0.3945080041885376,0.0020645158,0.05567384,55.5,2113,9.074943,1000.0,55168000,26426.56218600273,431,705,-0.00015497762,-96.0
1000,864000,-96.02,1.694436,0.3865516781806946,0.0016415415,0.067679696,55.5,2098,9.228358,1000.0,55296000,26487.564409971237,432,705,0.00022417174,-96.0
1000,866000,-96.04,1.7047962,0.37290751934051514,0.0011892427,0.036029294,55.5,2066,9.213844,1000.0,55424000,26549.498210668564,433,705,0.00018877033,-96.0
1000,868000,-96.0,1.7146373,0.36594468355178833,0.0012065609,0.034876958,55.5,2083,9.276371,1000.0,55552000,26610.938725471497,434,705,-4.569847e-05,-96.0
1000,870000,-96.0,1.70298,0.3932814598083496,0.0012987291,0.037490234,55.5,2154,9.201834,1000.0,55680000,26670.357865571976,435,705,8.203988e-07,-96.0
1000,872000,-96.02,1.7045512,0.37682563066482544,0.0031658837,0.16736323,55.5,2102,9.235643,1000.0,55808000,26731.24210500717,436,705,0.0011902153,-96.0
1000,874000,-96.06,1.6882994,0.3773650527000427,0.0031548417,0.1381211,55.5,2103,9.250391,1000.0,55936000,26792.08811354637,437,705,0.0010156704,-96.0
1000,876000,-96.0,1.6903483,0.3600161075592041,0.0016318699,0.06688476,55.5,2078,9.243682,1000.0,56064000,26853.66135621071,438,705,0.00048291194,-96.0
1000,878000,-96.0,1.6941395,0.3516133427619934,0.0056489008,0.25012693,55.5,2080,9.305433,1000.0,56192000,26915.178923368454,439,705,0.003342298,-96.0
1000,880000,-96.04,1.6713979,0.35822296142578125,0.002247617,0.08957617,55.5,2112,9.126218,1000.0,56320000,26975.768620729446,440,705,0.0010374809,-96.0
1000,882000,-96.08,1.6777836,0.3499292731285095,0.003521188,0.1338242,55.5,2107,9.355254,1000.0,56448000,27036.540567159653,441,705,0.002841818,-96.0
1000,884000,-95.94,1.682239,0.36276769638061523,0.0013824408,0.03423242,55.5,2060,9.437178,1000.0,56576000,27098.65162563324,442,705,-7.455439e-05,-92.0
1000,886000,-96.02,1.6780043,0.37796497344970703,0.0015530915,0.062345706,55.5,2099,9.20115,1000.0,56704000,27159.631117343903,443,705,0.0003498014,-96.0
1000,888000,-96.02,1.6891811,0.36708736419677734,0.0015970711,0.07116601,55.5,2112,9.080795,1000.0,56832000,27220.224908828735,444,705,-9.859688e-06,-96.0
1000,890000,-96.02,1.7004346,0.3316391706466675,0.0017742015,0.041624993,55.5,2073,9.247186,1000.0,56960000,27281.95324611664,445,705,-0.00016827199,-96.0
1000,892000,-96.04,1.7097173,0.34215861558914185,0.001021639,0.025339844,55.5,2096,9.399688,1000.0,57088000,27343.014009714127,446,705,-5.267595e-06,-96.0
1000,894000,-95.96,1.7090048,0.3362325429916382,0.0015913084,0.051445313,55.5,2059,9.422863,1000.0,57216000,27405.183169841766,447,705,-5.963787e-05,-92.0
1000,896000,-96.0,1.707821,0.3365081548690796,0.0014223641,0.061076164,55.5,2057,9.482363,1000.0,57344000,27467.385150432587,448,705,0.00011288696,-96.0
1000,898000,-96.0,1.7126973,0.33876097202301025,0.0011946238,0.04301758,55.5,2079,9.591369,1000.0,57472000,27528.955488681793,449,705,0.00033294893,-96.0
1000,900000,-95.98,1.7013544,0.33707964420318604,0.0011579883,0.041412108,55.5,2109,9.588687,1000.0,57600000,27589.642601013184,450,705,6.383204e-05,-94.0
1000,902000,-96.02,1.711527,0.3499472737312317,0.0014463922,0.036941405,55.5,2096,9.506645,1000.0,57728000,27650.745205640793,451,705,-8.6690394e-05,-96.0
1000,904000,-96.0,1.7132671,0.34379154443740845,0.0032744866,0.11546095,55.5,2121,9.892175,1000.0,57856000,27711.08889913559,452,705,0.0010305946,-96.0
1000,906000,-96.0,1.7024192,0.3527255654335022,0.0033363092,0.15228514,55.5,2125,9.456654,1000.0,57984000,27771.32140135765,453,705,0.00084058114,-96.0
1000,908000,-96.0,1.7250338,0.3505656123161316,0.001812423,0.07537696,55.5,2082,9.768909,1000.0,58112000,27832.783487319946,454,705,7.789282e-05,-96.0
1000,910000,-96.0,1.7295563,0.358609676361084,0.001953753,0.098925784,55.5,2114,9.591053,1000.0,58240000,27893.336656570435,455,705,0.0005740573,-96.0
1000,912000,-96.0,1.7409219,0.34954726696014404,0.0015317608,0.05572852,55.5,2106,9.325096,1000.0,58368000,27954.107367277145,456,705,0.00015288065,-96.0
1000,914000,-96.0,1.7302598,0.35248082876205444,0.0013996336,0.039222658,55.5,2083,9.44206,1000.0,58496000,28015.539661884308,457,705,-0.00012528397,-96.0
1000,916000,-95.96,1.7307237,0.35892796516418457,0.0028458391,0.15919924,55.5,2047,9.420528,1000.0,58624000,28078.07275080681,458,705,0.0016356533,-92.0
1000,918000,-96.0,1.7365243,0.3644025921821594,0.0018788071,0.10070704,55.5,2009,9.671655,1000.0,58752000,28141.783331394196,459,705,0.00076476147,-96.0
1000,920000,-96.0,1.7362213,0.36508023738861084,0.005006338,0.25306833,55.5,2100,9.488239,1000.0,58880000,28202.725096464157,460,705,0.0030242025,-96.0
1000,922000,-96.0,1.7296854,0.35640954971313477,0.0029039115,0.11061523,55.5,2105,9.582113,1000.0,59008000,28263.56440448761,461,705,0.0011269832,-96.0
1000,924000,-96.0,1.7183177,0.38275110721588135,0.002806786,0.15848245,55.5,2090,9.308851,1000.0,59136000,28324.811145544052,462,705,0.0012437729,-96.0
1000,926000,-96.0,1.7432035,0.3493494391441345,0.001796136,0.06592773,55.5,2127,9.331105,1000.0,59264000,28384.99162721634,463,705,0.00015022025,-96.0
1000,928000,-95.92,1.746875,0.35609400272369385,0.0007386614,0.010724609,55.5,2108,9.322905,1000.0,59392000,28445.69502568245,464,705,-4.844801e-05,-92.0
1000,930000,-96.0,1.7482123,0.3603295087814331,0.001176941,0.021833992,55.5,2059,9.343316,1000.0,59520000,28507.854667186737,465,705,-0.00014187118,-96.0
1000,932000,-95.96,1.7462455,0.36195188760757446,0.0012167199,0.020615231,55.5,2072,9.303705,1000.0,59648000,28569.619646549225,466,705,-0.00012826879,-92.0
1000,934000,-95.96,1.7429091,0.3547966480255127,0.0011098306,0.016855467,55.5,2087,9.283471,1000.0,59776000,28630.940905332565,467,705,-0.00013089189,-92.0
1000,936000,-96.0,1.7464767,0.3571985363960266,0.0012534929,0.051646482,55.5,2069,9.381516,1000.0,59904000,28692.810212373734,468,705,0.00020216359,-96.0
1000,938000,-95.92,1.7564855,0.337319016456604,0.001729756,0.09364256,55.5,2085,9.461258,1000.0,60032000,28754.179034233093,469,705,0.00053323334,-92.0
1000,940000,-95.96,1.7529808,0.3563879132270813,0.0016162569,0.058167968,55.5,2085,9.525536,1000.0,60160000,28815.566654205322,470,705,0.0007688208,-92.0
1000,942000,-96.0,1.7303178,0.36635124683380127,0.0019949025,0.09001757,55.5,2090,9.41943,1000.0,60288000,28876.837957382202,471,705,0.00026363495,-96.0
1000,944000,-96.0,1.7198153,0.35686254501342773,0.0017438154,0.0805176,55.5,2103,9.427122,1000.0,60416000,28937.694844007492,472,705,0.00034426304,-92.0
1000,946000,-96.0,1.7155535,0.3521328568458557,0.0010856433,0.027480463,55.5,2077,9.595437,1000.0,60544000,28999.324253082275,473,705,0.00013731567,-96.0
1000,948000,-96.0,1.7162997,0.3533840775489807,0.00095573487,0.023062501,55.5,2096,9.770865,1000.0,60672000,29060.373705387115,474,705,6.405912e-05,-96.0
1000,950000,-96.0,1.6982564,0.336381196975708,0.0035012783,0.11207031,55.5,2109,9.915123,1000.0,60800000,29121.04378080368,475,705,0.0015172694,-96.0
1000,952000,-96.0,1.6781213,0.3621289134025574,0.0027595276,0.14373241,55.5,2085,9.912298,1000.0,60928000,29182.43287706375,476,705,0.0010819724,-96.0
1000,954000,-96.0,1.685883,0.3738158941268921,0.0023177674,0.12036328,55.5,2062,9.897596,1000.0,61056000,29244.51259636879,477,705,0.0007160697,-96.0
1000,956000,-96.0,1.6881949,0.37399208545684814,0.0020099187,0.105849616,55.5,2108,9.8261795,1000.0,61184000,29305.235022068024,478,705,0.000566347,-96.0
