recent_worst_eplen,eplen,recent_best_ext_ret,epcount,eprew_recent,recent_best_eplen,best_eplen,total_secs,eplen_std,best_ext_ret,n_updates,eprew,rew_mean,tcount,eprew_std
500,293.55,136.9,87846.0,69.90176056338028,198,184,59454.12938833237,88.91067146299144,144.5,165,72.44599999999998,0.23995079,42221077.0,97.34082845342954
500,275.03,136.9,88746.0,85.35033333333334,193,184,59806.98099374771,67.50221551919611,144.5,166,94.963,0.3065238,42476541.0,67.39557352675321
500,295.99,137.1,89640.0,77.46129753914988,199,184,60161.727786540985,93.64822422235245,144.5,167,67.58800000000001,0.28001952,42734082.0,104.43295675216709
500,268.49,140.5,90588.0,93.42162447257385,193,184,60515.24543094635,70.93807087876016,144.5,168,95.5,0.35381076,42991447.0,73.4722723209239
500,268.66,141.8,91524.0,93.05438034188033,191,184,60872.77806472778,68.71829741779113,144.5,169,95.12100000000001,0.34468684,43244568.0,73.2164411795602
500,259.45,141.2,92513.0,99.67108190091001,192,184,61223.33776640892,57.70257793201271,144.5,170,104.98899999999999,0.39631537,43504485.0,56.36555489835968
500,254.44,146.5,93503.0,105.54545454545455,179,179,61581.44159889221,59.21474816293657,146.5,171,106.531,0.41385096,43759198.0,58.38858740370415
500,259.8,141.7,94491.0,103.05232793522266,191,179,61935.14606022835,71.29866758923339,146.5,172,101.25699999999999,0.40393186,44013107.0,68.96812779103114
500,246.9,143.3,95523.0,105.81637596899225,179,179,62293.096174001694,57.849546238496984,146.5,173,109.545,0.43732756,44272703.0,58.424161739814465
500,252.5,144.1,96549.0,109.23245614035088,184,179,62649.51786327362,62.38501422617454,146.5,174,105.676,0.44693178,44527937.0,64.52827460888753
500,239.1,145.7,97583.0,108.34439071566732,175,175,63008.60342168808,52.68329906146728,146.5,175,114.81800000000003,0.44408858,44784513.0,50.56180649462596
500,236.58,143.8,98637.0,113.48074003795067,178,175,63364.1693649292,45.99482144763691,146.5,176,118.01999999999998,0.4738398,45038919.0,42.27199545798614
500,240.67,146.2,99689.0,110.52813688212929,180,175,63716.79089188576,58.06566196987683,146.5,177,112.55699999999997,0.46169892,45295656.0,58.66340470003424
500,243.59,144.5,100739.0,110.2807619047619,181,175,64069.038117170334,63.61054865350557,146.5,178,109.272,0.4607373,45551165.0,64.85141799529136
500,232.01,145.1,101809.0,115.70794392523365,181,175,64425.82029438019,46.34468577949364,146.5,179,119.53499999999998,0.48701456,45805090.0,42.079095463186945
500,236.58,149.9,102894.0,113.02442396313364,171,171,64780.99435901642,53.184806100990905,149.9,180,117.63400000000001,0.49261323,46064631.0,43.61679084939652
500,235.72,148.7,103976.0,116.97190388170054,174,171,65139.24466896057,57.72799667405755,149.9,181,114.09200000000001,0.4983686,46318100.0,58.5708249557747
500,231.53,146.9,105085.0,116.20568079350767,178,171,65496.26849651337,58.84206913425123,149.9,182,116.184,0.51519436,46576474.0,59.18004515037142
500,226.66,146.3,106204.0,119.9508489722967,170,170,65853.44351172447,47.604877901324365,149.9,183,121.44,0.53213257,46832951.0,43.593114135147545
500,227.34,146.9,107332.0,120.8109929078014,177,170,66210.15744423866,52.02426741435192,149.9,184,119.95100000000002,0.53989977,47089600.0,51.06146001633718
