eprew_recent,n_updates,epcount,tcount,recent_best_ext_ret,recent_best_eplen,eprew_std,recent_worst_eplen,total_secs,best_eplen,eplen,eprew,best_ext_ret,eplen_std,rew_mean
104.74276595744682,20,14161.0,5101298.0,215.9,88,103.3354548255341,375,4221.16997385025,88,280.16,96.324,215.9,73.03940306437342,0.39251697
112.40272177419355,21,15153.0,5358067.0,210.7,101,103.2728380311106,375,4430.752792358398,88,258.94,107.735,215.9,77.23636708183523,0.44415426
140.47688808007277,22,16252.0,5615409.0,218.9,80,71.30541791476998,375,4637.1842212677,80,224.99,146.024,218.9,72.5176523337594,0.6091228
154.82261306532664,23,17446.0,5872188.0,215.9,88,57.324537189584014,375,4847.317398309708,80,209.6,158.894,218.9,65.7329445559835,0.7281917
174.92873160476523,24,18873.0,6132178.0,222.6,71,45.647544632762006,375,5055.409289121628,71,190.84,169.93699999999998,222.6,66.71637280308336,0.98504305
183.0301423027167,25,20419.0,6387559.0,223.0,70,21.228502796947318,375,5266.18731713295,70,165.19,184.56300000000007,223.0,52.96464764349896,1.1126695
189.48895953757227,26,22149.0,6645244.0,224.0,67,35.0738964331025,375,5477.172045707703,67,147.22,189.03300000000002,224.0,45.02700967197356,1.2875407
195.3352134949921,27,24046.0,6902555.0,226.4,61,14.252490133306532,375,5690.690066814423,61,131.7,197.74499999999998,226.4,35.451234111099716,1.4554889
197.579353861686,28,26027.0,7158288.0,226.8,60,19.018310624237895,375,5902.612908840179,60,126.56,199.319,226.8,47.14219341524108,1.5348176
202.36106800547694,29,28218.0,7416079.0,226.1,62,14.909459547548998,375,6113.23752117157,60,116.4,203.59600000000003,226.8,34.84393777976307,1.7433237
203.99625668449198,30,30462.0,7672293.0,228.2,57,15.007011694537988,375,6324.974689245224,57,113.43,204.62000000000006,228.2,35.33136142296246,1.793965
206.5457805907173,31,32832.0,7928703.0,228.4,56,16.665146744028387,375,6534.40682554245,56,109.3,206.72199999999998,228.4,40.28138527905911,1.9230214
209.4985594237695,32,35331.0,8184026.0,229.4,54,10.904320244747034,342,6746.612501382828,54,98.6,210.81999999999996,229.4,25.84337439267558,2.0491476
211.4554307116105,33,38001.0,8440946.0,228.8,55,15.031872105629425,375,6958.047374248505,54,98.28,210.78900000000002,229.4,32.86337779352573,2.2143185
213.64925053533193,34,40803.0,8697514.0,229.1,55,14.317145630327296,375,7170.531985044479,54,90.45,214.07899999999998,229.4,34.46487342208005,2.3463705
215.46086659843058,35,43734.0,8954085.0,228.6,56,8.6429106208499,290,7380.866581916809,54,86.44,215.93599999999998,229.4,19.85160950653624,2.4755535
216.75474934036936,36,46766.0,9210432.0,230.0,52,9.560915175860522,375,7594.601395368576,52,84.83,216.449,230.0,21.429911339060645,2.5737033
218.02191348279126,37,49933.0,9467085.0,229.1,55,8.808897490605734,375,7808.289596319199,52,80.68,218.49499999999998,230.0,21.752186097034016,2.7082112
218.8814803344689,38,53162.0,9722715.0,230.0,52,7.874138429060031,238,8023.007674455643,52,81.35,217.888,230.0,18.303210100963167,2.767404
220.03399940351923,39,56515.0,9978657.0,230.0,52,7.531560263318617,375,8235.252700567245,52,77.91,219.26000000000005,230.0,16.011305380886345,2.8910532
220.29408284023668,40,59895.0,10234804.0,230.0,52,6.918888928144461,328,8446.034228801727,52,75.43,220.57599999999994,230.0,16.675883784675403,2.9144306
221.00740420628063,41,63366.0,10490868.0,230.4,51,4.244918844925071,375,8657.001994609833,51,72.34,221.892,230.4,10.429017211607237,3.0083678
221.9265716680637,42,66945.0,10746880.0,230.0,52,6.172048606419104,375,8869.037462472916,51,73.34,221.30399999999997,230.4,14.281610553435494,3.1063044
222.4625619834711,43,70575.0,11003214.0,229.6,53,5.41141903755383,304,9080.526988744736,51,70.98,222.28800000000004,230.4,12.84443848519662,3.1650462
222.8666847090663,44,74270.0,11259529.0,231.0,50,6.509881412130331,375,9292.531557559967,50,68.9,223.26199999999997,231.0,16.21141573089778,3.2232244
223.88963798530952,45,78082.0,11515153.0,230.0,52,5.172933017157673,171,9505.491738796234,50,69.16,223.24200000000002,231.0,12.88853754310395,3.3427873
224.27708172209333,46,81961.0,11771646.0,233.2,44,7.096664780021669,296,9721.253803253174,44,66.9,223.69300000000004,233.2,16.71496335622666,3.4072964
224.73851419878295,47,85905.0,12027804.0,230.6,51,12.13049875314284,375,9933.082925796509,44,67.42,223.90000000000003,233.2,30.3058344217743,3.4702253
225.3111055900621,48,89930.0,12283843.0,230.4,51,3.5941923988568,262,10144.574366807938,44,62.99,225.70899999999997,233.2,9.03049832512027,3.551311
225.6080815524441,49,94001.0,12539907.0,230.2,51,3.1002580537755238,283,10357.532637119293,44,62.51,225.8,233.2,7.742732075953552,3.5971653
226.07269435055525,50,98143.0,12795729.0,231.2,49,5.450109264959739,158,10569.130701065063,44,62.89,225.403,233.2,12.363571490471513,3.6664875
226.2750598945855,51,102317.0,13051526.0,230.8,50,3.068174701675248,258,10785.148039102554,44,60.58,226.65200000000002,233.2,7.7138576600816275,3.6993818
226.54613927048794,52,106539.0,13307680.0,230.8,50,3.1511902513177454,323,10998.395102024078,44,59.93,226.86,233.2,7.805453221946821,3.743724
226.72093735280262,53,110785.0,13563562.0,230.8,50,3.5761055633188463,244,11211.191546916962,44,60.43,226.713,233.2,8.961311287975661,3.7708523
226.8999299719888,54,115069.0,13819780.0,230.8,50,7.237852167597787,219,11423.400958299637,44,61.43,226.164,233.2,18.012359645532285,3.8027363
227.07735805330245,55,119384.0,14076041.0,231.0,50,2.4477113800446335,232,11637.033294916153,44,59.2,227.15299999999996,233.2,6.1090097397205065,3.8375144
227.26612160294795,56,123726.0,14332116.0,231.2,49,3.25009169101427,259,11849.409274339676,44,58.62,227.44799999999998,233.2,8.10404837103037,3.866087
227.41593507087336,57,128100.0,14588253.0,230.6,51,6.8925974059131,225,12062.834398031235,44,59.39,227.14899999999997,233.2,17.24580818633908,3.8901803
227.5973433242507,58,132504.0,14844300.0,230.8,50,3.0371163955304703,173,12273.611289024353,44,58.43,227.482,233.2,7.5249651161982145,3.925466
227.6548357870895,59,136919.0,15100307.0,231.2,49,2.9821768894550833,215,12486.248129367828,44,57.84,227.73899999999998,233.2,7.395566239308521,3.9381738
227.74968383017162,60,141347.0,15356267.0,230.7,51,3.492902947406353,204,12699.293828010559,44,58.12,227.577,233.2,8.631662644010133,3.9471016
227.81055004508565,61,145783.0,15612039.0,231.8,48,3.847700092262909,204,12916.423823595047,44,58.52,227.502,233.2,9.612991209816018,3.9581254
227.93173076923077,62,150255.0,15868306.0,232.9,45,2.623020396413266,164,13130.34159207344,44,56.9,228.142,233.2,6.55972560401729,3.9884524
227.9505366726297,63,154727.0,16124400.0,231.4,49,1.8920687091118027,165,13347.73183131218,44,56.82,228.174,233.2,4.714615572875481,3.9905102
228.00382037533515,64,159203.0,16380187.0,231.6,48,2.5743006817386345,164,13562.015650749207,44,57.52,227.87599999999998,233.2,6.306314296005235,3.9979928
228.30063848524878,65,163745.0,16636569.0,231.4,49,1.73485907208626,147,13774.015110254288,44,56.11,228.39200000000005,233.2,4.178265190243434,4.0582643
228.22059278920594,66,168266.0,16892563.0,230.8,50,1.036436201606255,136,13987.798742055893,44,55.96,228.49999999999997,233.2,2.349127497604164,4.041027
228.17157079646017,67,172786.0,17148466.0,232.0,47,1.7423464064301337,375,14200.741975069046,44,55.93,228.57299999999995,233.2,4.357189461109076,4.03927
228.33792344918612,68,177332.0,17404511.0,231.2,49,3.0003259822892576,199,14415.6560754776,44,56.87,228.062,233.2,6.576708903395375,4.062312
228.29364378724344,69,181863.0,17660167.0,231.4,49,1.7909692906356613,192,14632.020645141602,44,56.39,228.32299999999998,233.2,4.39748791925572,4.0515447
228.33751101321587,70,186403.0,17915929.0,231.4,49,3.9979868684126516,345,14847.393431425095,44,57.02,228.099,233.2,10.005978213048436,4.057833
