ev,opt_approxkl,eplen,epcount,opt_ent,best_ext_ret,opt_feat_var,opt_tot,opt_pg,recent_best_ext_ret,retstd,advstd,tps,rank,opt_dyn_loss,vpredstd,opt_clipfrac,advmean,n_updates,total_secs,opt_vf,tcount,eprew,ups,vpredmean,retmean,eprew_recent,rew_mean
0.9910741038620472,2.2781933e-11,403.94,167731.0,0.61369616,401.2,0.24478532,23.854753,0.6501423,398.5,82.06007,7.7527857,552.5735191272273,0,0.07333648,82.002495,0.0,-0.8907432,1211,134503.67704463005,23.205225,309989728.0,369.444,0.0021584903090907316,95.75637,94.86562,377.49164062500006,0.95058376
0.9912584815174341,2.2190043e-11,402.1,168368.0,0.5927204,401.2,0.2512779,24.211855,0.4836243,398.25,83.54534,7.811163,556.4011749584707,0,0.07425737,84.36077,0.0,-0.8960714,1212,134963.776720047,23.728823,310245653.0,374.92599999999993,0.0021734420896815263,97.05008,96.15401,376.26789638932496,0.94632107
0.9917159406468272,2.2631966e-11,394.37,169007.0,0.6035349,401.2,0.24388053,24.489607,0.77830166,399.85,82.10177,7.472641,554.3239200805406,0,0.072488636,82.29664,0.0,-1.0022007,1213,135425.6005575657,23.711908,310500397.0,387.194,0.0021653278128146115,97.250626,96.24845,376.82738654147107,0.9516002
0.9921935936436057,2.2526382e-11,396.57,169660.0,0.6212234,401.2,0.2413951,32.320053,0.7279083,399.05,82.10781,7.2545424,559.6743173664223,0,0.07180464,82.027756,0.0,-0.31862223,1214,135883.00943279266,31.592766,310760226.0,378.395,0.0021862278022125874,94.890976,94.57236,378.9401990811639,0.97228926
0.9926444478332996,2.3389795e-11,392.96,170306.0,0.5920283,401.2,0.25205386,17.570173,-0.5375215,398.7,80.85957,6.9348826,555.5072175663577,0,0.0748889,80.04636,0.0,-0.072376415,1215,136343.8495297432,18.108286,311014719.0,387.414,0.0021699500686185847,94.93875,94.86638,382.97360681114554,0.9777007
0.9920184975489974,2.2095093e-11,398.34,170947.0,0.60210204,401.2,0.25104648,20.47844,-0.5685491,398.7,82.09436,7.334249,548.3428019029535,0,0.07462882,81.66824,0.0,0.28728336,1216,136810.71076893806,21.04759,311267925.0,378.716,0.002141964069933412,91.769135,92.0564,381.0525741029641,0.96155876
0.9910464249551296,2.1794289e-11,396.46,171587.0,0.6154997,401.2,0.24722058,21.758799,-0.18494031,400.4,81.55676,7.7171726,555.3253705962924,0,0.07445289,81.08036,0.0,-0.02916565,1217,137271.70177268982,21.944355,311525078.0,378.77899999999994,0.0021692397288917667,91.674164,91.645,373.908515625,0.9456995
0.9915353218093514,2.3088588e-11,389.7,172237.0,0.6127776,401.2,0.24683753,31.404125,0.7253057,399.65,81.67012,7.5139523,543.1049841076104,0,0.07414989,81.07175,0.0,-0.26061198,1218,137743.06551909447,30.679432,311782504.0,384.098,0.0021215038441703537,94.30093,94.04033,380.11353846153844,0.9722312
0.9918214464560151,2.1247821e-11,394.1,172876.0,0.6226632,401.2,0.2485548,51.187675,0.8686119,398.65,81.867065,7.403677,555.5707038152879,0,0.07504808,81.46185,0.0,-0.56390655,1219,138203.8529548645,50.319687,312036632.0,383.17800000000005,0.0021701980617784685,93.88425,93.32035,375.70297339593117,0.94726586
0.9910529935732484,2.2997536e-11,397.72,173518.0,0.6060764,401.2,0.24656725,26.515247,0.79028225,399.6,82.24788,7.779713,560.6268256524104,0,0.07386218,82.03166,0.0,-0.8156027,1220,138660.48468971252,25.72557,312293409.0,375.0905,0.002189948537704728,94.90481,94.0892,373.1720404984424,0.9442087
0.9906448358669877,2.3727152e-11,397.82,174157.0,0.617921,401.2,0.24969098,48.416267,0.6214441,399.4,82.72166,8.001012,560.3283925216388,0,0.075457394,82.64166,0.0,-0.51475155,1221,139117.35962843895,47.79544,312550750.0,378.62,0.002188782783287651,92.134254,91.619484,371.32527386541466,0.93305385
