policy_loss,nupdates,curbestlen,eplenmean,fps,time_elapsed,eprewmean,total_timesteps,curbestrew,explained_variance,policy_entropy,clipfrac,serial_timesteps,approxkl,epbestlen,value_loss,epbestrew
-0.00014594884,85,2000,2000.0,1092,20542.996723890305,-195.18,22282240,-194.0,0.46312469244003296,1.4201553,0.019548416,174080,0.00078194396,2000,8.008796,-152.0
-0.00018159057,86,2000,2000.0,1091,20783.19104552269,-195.26,22544384,-194.0,0.4818633794784546,1.3872131,0.019462585,176128,0.0008276942,2000,7.854764,-152.0
6.3703585e-05,87,2000,2000.0,1098,21021.938667297363,-195.12,22806528,-194.0,0.49456560611724854,1.3987992,0.011929512,178176,0.0006237424,2000,8.132837,-152.0
-9.843341e-05,88,2000,2000.0,1098,21260.62307548523,-195.12,23068672,-194.0,0.5130756795406342,1.3948298,0.0042295456,180224,0.00069465075,2000,7.716655,-152.0
-0.000100413774,89,2000,2000.0,1095,21499.966077804565,-195.26,23330816,-194.0,0.5211836695671082,1.3956228,0.013516426,182272,0.0008609914,2000,7.831008,-152.0
-9.947434e-05,90,2000,2000.0,1074,21743.903139829636,-195.32,23592960,-194.0,0.5375961661338806,1.4339173,0.004609108,184320,0.0010952356,2000,7.8926034,-152.0
4.302594e-05,91,2000,2000.0,1090,21984.256764650345,-194.94,23855104,-194.0,0.5632379353046417,1.4634628,0.026367188,186368,0.0011114536,2000,8.244619,-152.0
-6.8695605e-05,92,2000,2000.0,1080,22226.890963554382,-195.2,24117248,-194.0,0.579986035823822,1.4811251,0.01204586,188416,0.0008007164,2000,8.05659,-152.0
0.0006444269,93,2000,2000.0,1100,22465.070056915283,-195.3,24379392,-194.0,0.5976054668426514,1.5102154,0.07263088,190464,0.0016684696,2000,8.438673,-152.0
-0.00010142087,94,2000,2000.0,1077,22708.257380247116,-195.16,24641536,-194.0,0.5945272147655487,1.4819438,0.011680603,192512,0.00078716624,2000,8.301248,-152.0
-7.677354e-05,95,2000,2000.0,1077,22951.617914438248,-195.14,24903680,-194.0,0.604773223400116,1.4909583,0.0034484863,194560,0.00044236257,2000,7.7837787,-152.0
-0.000111661044,96,2000,2000.0,1080,23194.12878513336,-195.16,25165824,-194.0,0.6195342540740967,1.4821553,0.0073337555,196608,0.0005858319,2000,7.7638965,-152.0
4.9562168e-05,97,2000,2000.0,1084,23435.880190372467,-195.2,25427968,-194.0,0.6304730474948883,1.496493,0.016402245,198656,0.000834444,2000,7.726863,-152.0
-4.4943536e-05,98,2000,2000.0,1074,23679.803195238113,-195.1,25690112,-194.0,0.6337010860443115,1.4863031,0.018472672,200704,0.0011939663,2000,7.3594117,-152.0
0.00015160415,99,2000,2000.0,1073,23923.917728424072,-195.18,25952256,-194.0,0.6539084315299988,1.4972407,0.026925087,202752,0.00080785446,2000,7.8777633,-152.0
-4.2456835e-05,100,2000,2000.0,1087,24164.86296892166,-195.2,26214400,-194.0,0.6552276909351349,1.518569,0.008998871,204800,0.000747965,2000,7.331436,-152.0
-8.25377e-05,101,2000,2000.0,1090,24405.25789618492,-195.1,26476544,-194.0,0.667371541261673,1.5496074,0.015968323,206848,0.0013326388,2000,7.4969673,-152.0
1.22481415e-05,102,2000,2000.0,1086,24646.594138860703,-195.08,26738688,-194.0,0.6804705262184143,1.5750954,0.017762184,208896,0.001151461,2000,7.639571,-152.0
-0.00010960641,103,2000,2000.0,1091,24886.69744348526,-195.16,27000832,-194.0,0.6743049621582031,1.5871631,0.057318687,210944,0.0021008216,2000,7.706344,-152.0
3.363321e-05,104,2000,2000.0,1086,25128.047194719315,-195.18,27262976,-194.0,0.6813562512397766,1.5861351,0.012040138,212992,0.0009278886,2000,7.1200314,-152.0
2.7986325e-05,105,2000,2000.0,1073,25372.236275196075,-195.16,27525120,-194.0,0.6805399358272552,1.583223,0.0035734177,215040,0.0005598631,2000,7.348873,-152.0
-0.00013026444,106,2000,2000.0,1078,25615.266957998276,-194.9,27787264,-194.0,0.7000354826450348,1.5715905,0.015864372,217088,0.0012731202,2000,6.9642754,-152.0
