n_updates,eprew_std,best_ext_ret,eprew,eplen,total_secs,eprew_recent,recent_worst_eplen,recent_best_eplen,best_eplen,recent_best_ext_ret,eplen_std,epcount,tcount,rew_mean,,,,
99,122.0765388,375.95,-87.0775,989.43,45443.13115,-98.51821705,1000,770,451,312.1,41.63418187,25315,25290244,-0.093313254,,,,
100,119.8922539,375.95,-80.24,991.23,45915.03956,-94.71795367,1000,803,451,305.5,33.53680217,25574,25547959,-0.089543544,,,,
101,133.5839298,375.95,-80.4545,984.5,46374.4827,-86.15930233,1000,670,451,332,52.46779965,25832,25802791,-0.08137048,,,,
102,137.8746107,375.95,-71.5525,983.2,46847.32641,-80.01692308,1000,632,451,339.7,53.22217583,26092,26059521,-0.075172424,,,,
103,144.7625204,375.95,-57.8875,982.46,47315.5687,-61.84115385,1000,663,451,333.5,56.54014857,26352,26315462,-0.05744263,,,,
104,158.2177314,375.95,-43.5865,980,47777.98479,-53.05135659,1000,696,451,326.95,53.61865347,26610,26568230,-0.05021881,,,,
105,148.126166,375.95,-55.1445,983.76,48231.13122,-58.70769231,1000,701,451,325.95,51.74497464,26870,26824121,-0.05397666,,,,
106,161.2174259,375.95,-39.4715,979.62,48691.39568,-49.19307692,1000,578,451,350.45,51.76152625,27130,27079645,-0.04415408,,,,
107,121.239734,375.95,-79.7385,986.92,49154.63478,-66.07779923,1000,656,451,334.95,54.32746635,27389,27334275,-0.06255598,,,,
108,149.013294,375.95,-45.008,984.28,49619.57979,-44.85115385,1000,675,451,331.1,46.66477901,27649,27589073,-0.042074885,,,,
109,156.4023272,375.95,-39.7215,982.26,50076.60893,-41.16049618,1000,565,451,353.1,52.35372384,27911,27845068,-0.036354985,,,,
110,176.8836583,375.95,-16.663,957.99,50540.54515,-33.67164751,1000,604,451,345.2,90.54264134,28172,28097797,-0.029082157,,,,
111,164.1222838,375.95,-32.063,975.18,51010.08214,-4.147169811,1000,687,451,328.65,55.58082043,28437,28354286,0.001276192,,,,
112,153.9787651,375.95,-36.447,976.3,51468.7135,-31.75267176,1000,550,451,356,63.27282197,28699,28608818,-0.027208442,,,,
113,174.9202205,375.95,-14.5,969.79,51931.77648,-14.43505747,1000,685,451,329,68.25822954,28960,28860951,-0.011803118,,,,
114,159.5817603,375.95,-39.4995,974.56,52388.64082,-20.22883895,1000,630,451,340.05,67.22801797,29227,29119628,-0.013983015,,,,
115,192.0930119,375.95,11.831,955.16,52849.04999,7.033272059,1000,599,451,346.25,86.30141598,29499,29380750,0.013844819,,,,
116,174.4870066,375.95,-27.3775,974.16,53310.96446,-10.95858779,1000,690,451,328,62.15862289,29761,29633887,-0.004319678,,,,
117,200.4007861,375.95,52.383,943.02,53779.80571,20.77063197,1000,645,451,337.05,91.59028114,30030,29889791,0.027420148,,,,
118,188.2985816,375.95,-7.8095,956.76,54236.71315,15.29632353,1000,506,451,364.8,90.8124573,30302,30148220,0.023056414,,,,
119,198.2791028,375.95,22.925,942.67,54703.55799,24.32249071,1000,570,451,352.1,100.281609,30571,30402945,0.03012916,,,,
120,199.4883255,375.95,39.23,935.55,55158.48,19.69626866,1000,479,451,370.25,110.2501134,30839,30656096,0.026277496,,,,
121,202.8965352,375.95,46.4055,932.3,55616.73044,49.79029851,1000,491,451,367.95,108.8257782,31107,30906835,0.056141764,,,,
122,197.8465756,375.95,8.296,944.83,56082.84871,34.9625448,1000,524,451,361.3,102.9616487,31386,31169004,0.04569237,,,,
123,205.3543002,375.95,35.9975,927.68,56552.88503,53.25857664,1000,562,451,353.65,116.3634719,31660,31423110,0.06185234,,,,
124,204.3338916,375.95,37.947,936.01,57020.7219,33.2700361,1000,521,451,361.95,103.1026183,31937,31683297,0.04495646,,,,
125,204.0602708,375.95,35.224,929.78,57485.30799,46.44032258,1000,522,451,361.6,113.041902,32216,31944199,0.058319297,,,,
126,209.3397748,375.95,50.475,923.18,57939.28458,47.19517857,1000,460,451,374.1,119.6474304,32496,32202760,0.060050003,,,,
127,210.4690951,375.95,56.4305,924.37,58400.12288,59.8562724,1000,497,451,366.6,113.9978645,32775,32458987,0.06899115,,,,
128,213.7676806,375.95,70.48,913.35,58861.0282,48.60735294,1000,466,451,372.8,121.4653346,33047,32709379,0.0559762,,,,
129,208.7620745,378.7,57.312,919.77,59322.51932,52.23754579,1000,437,437,378.7,122.5910971,33320,32961142,0.060043506,,,,
130,214.6129147,378.7,60.4625,914.01,59791.16349,46.33727599,1000,532,437,359.65,123.695715,33599,33218985,0.05823365,,,,
131,212.3221674,378.7,69.7825,917.44,60260.99817,79.9971831,1000,513,437,363.4,120.7881054,33883,33477476,0.09521656,,,,
132,204.3727031,378.7,24.2535,931.03,60724.92024,44.54802867,1000,569,437,352.35,120.9144702,34162,33734815,0.057837415,,,,
133,219.6496791,378.7,88.9025,888.29,61194.256,62.19525547,1000,506,437,364.95,141.5081125,34436,33982192,0.06570104,,,,
134,211.5324922,378.7,64.755,913.41,61661.06233,82.51695502,1000,482,437,369.7,128.1003587,34725,34243212,0.104124576,,,,
135,216.3005786,378.7,92.1235,888.96,62122.76471,83.83829787,1000,455,437,375.05,134.994068,35007,34498828,0.09483435,,,,
136,209.5555281,386.25,71.5275,921.69,62589.60129,70.0193662,1000,399,399,386.25,116.3999738,35291,34758142,0.085778944,,,,
137,216.4904497,386.25,70.8815,903.96,63047.68238,79.39498208,1000,530,399,360.15,135.1731423,35570,35010820,0.09301651,,,,
138,214.2157476,386.25,45.971,918.68,63503.02414,79.51445993,1000,473,399,371.5,120.9684984,35857,35269433,0.09346012,,,,
139,221.7761102,386.25,69.116,886.94,63965.427,64.36961806,1000,458,399,374.4,153.7872439,36145,35528602,0.08009911,,,,
140,218.5889514,386.25,80.887,893.33,64442.01093,74.15071429,1000,418,399,382.55,138.9911548,36425,35777973,0.082910426,,,,
141,212.0181555,386.25,44.039,919.94,64908.05409,69.68245614,1000,441,399,377.8,133.2387196,36710,36034588,0.08351362,,,,
142,223.6529216,386.25,63.8615,884.66,65379.12312,66.77689655,1000,456,399,374.9,160.5258372,37000,36293351,0.08432154,,,,
143,224.299265,386.25,84.5275,879.13,65850.99383,66.74364261,1000,442,399,377.6,162.8176068,37291,36552898,0.082040645,,,,
144,224.0101976,386.25,89.0815,876.94,66313.86508,97.59659864,1000,435,399,379.05,152.2499143,37585,36809520,0.120435424,,,,
145,220.0291962,386.25,66.8845,895.56,66776.64746,98.31507092,1000,418,399,382.5,140.7512217,37867,37056251,0.10537205,,,,
146,223.6911864,386.25,90.574,874.32,67247.04217,74.38631757,1000,462,399,373.65,158.2145303,38163,37317486,0.0953385,,,,
147,219.9047384,386.25,117.9605,865.97,67709.11128,119.4654639,1000,405,399,385.1,159.9093152,38454,37570248,0.14107616,,,,
148,224.701011,386.25,112.995,865.64,68177.73637,103.0408475,1000,411,399,383.85,156.1317726,38749,37829546,0.12463168,,,,
149,227.5183456,388.95,75.6245,883.85,68645.35951,106.7503289,1000,386,386,388.95,171.4309992,39053,38092281,0.13813995,,,,
150,224.8678801,388.95,123.05,845.78,69113.14944,131.8996599,1000,438,386,378.4,166.940623,39347,38340810,0.15173522,,,,
151,225.4939044,389.7,116.286,846.76,69588.48389,114.5951987,1000,382,382,389.7,169.8695452,39649,38600750,0.14462505,,,,
152,226.0394106,391.45,91.3335,868.54,70064.72268,93.34051724,1000,373,373,391.45,172.0908144,39939,38853560,0.1099432,,,,
153,225.7056743,391.45,120.986,840.7,70530.49422,140.8715686,1000,390,373,388.15,181.0483085,40245,39109031,0.17320712,,,,
154,214.5059658,391.45,161.655,822.39,70993.96,140.4717532,1000,445,373,377,172.8312411,40553,39365708,0.1779914,,,,
155,204.0423874,391.45,189.9335,811.17,71452.09491,134.8115132,1000,437,373,378.65,172.2871472,40857,39623178,0.16507362,,,,
156,221.373708,391.45,138.516,838.66,71921.72899,123.1044408,1000,382,373,389.6,176.2426293,41161,39882302,0.15408902,,,,
157,220.3717294,395.4,158.3315,811.98,72378.94273,128.2420266,1000,353,353,395.4,188.1651923,41462,40134892,0.15510733,,,,
158,216.9890427,395.4,139.6625,851.89,72834.71587,142.1335987,1000,411,353,383.85,164.7080991,41776,40399487,0.18509282,,,,
159,220.6724925,395.4,145.002,834.76,73299.36962,165.2354515,1000,358,353,394.5,170.1635167,42075,40643274,0.19105048,,,,
160,211.5927707,395.4,177.4475,812.01,73767.7063,149.6389968,1000,378,353,390.5,177.5451207,42384,40900558,0.19013382,,,,
161,210.9489958,400.15,181.508,808.51,74232.08867,156.5887097,1000,330,330,400.15,179.0728061,42694,41155259,0.19483784,,,,
162,198.6452759,400.15,195.234,813.86,74694.66508,179.1541925,1000,402,330,385.7,170.8879762,43016,41416896,0.23326348,,,,
163,222.3090494,400.15,138.85,840.17,75162.14906,148.5582237,1000,416,330,382.9,167.6947855,43320,41669789,0.18142003,,,,
164,226.4942503,400.15,110.842,850.36,75630.07051,127.7543974,1000,376,330,390.95,179.1213845,43627,41928051,0.15994856,,,,
165,216.2008134,403.05,164.556,812.05,76103.49212,159.5558544,1000,315,315,403.05,183.7851667,43943,42185763,0.20692593,,,,
166,193.7497225,403.05,229.32,745.91,76576.36454,204.4802115,1000,407,315,384.7,189.0866518,44274,42443830,0.26991174,,,,
167,202.7079881,403.05,195.2045,796.82,77054.70165,201.2358025,1000,318,315,402.5,178.9531436,44598,42697336,0.26266253,,,,
168,201.9904558,403.05,194.023,802.97,77526.00469,200.5749231,1000,399,315,386.25,172.1215533,44923,42953340,0.25876704,,,,
169,183.6702283,403.05,241.494,743.93,77987.41056,206.6096096,1000,362,315,393.65,187.4904934,45256,43207843,0.27418384,,,,
170,212.4413992,403.05,193.2115,773.99,78455.59029,206.4865607,1000,341,315,397.9,205.5868427,45602,43472475,0.29009128,,,,
171,199.2920819,403.05,215.3525,763.28,78909.66636,224.4463127,1000,376,315,390.8,190.1136544,45941,43727525,0.30121145,,,,
172,208.6342801,404.5,207.354,754.87,79370.36237,212.2188596,1000,308,308,404.5,192.5694501,46283,43982493,0.28966624,,,,
173,206.7102608,404.5,210.282,749.24,79829.92773,215.1736686,1000,387,308,388.75,200.3501994,46621,44236401,0.2876378,,,,
174,200.1606654,404.5,207.894,780.44,80290.21854,227.3910819,1000,371,308,391.9,170.0348388,46963,44492903,0.31298617,,,,
175,192.3686285,404.5,235.1825,726.58,80747.45157,228.2962644,1000,347,308,396.65,193.4941953,47311,44750364,0.31691706,,,,
176,225.0662603,404.5,157.4475,801.36,81218.21238,192.718,1000,362,308,393.6,186.1204728,47636,45003834,0.25131977,,,,
177,199.057102,404.5,216.3605,768.9,81687.46378,220.9493994,1000,353,308,395.4,188.8270902,47969,45258459,0.2913615,,,,
178,204.2283651,404.5,202.0555,770.37,82162.60616,209.0994186,1000,316,308,402.9,192.606576,48313,45520359,0.29247245,,,,
179,205.2203813,404.5,201.98,775.16,82631.8957,229.7558824,1000,351,308,395.95,194.4399506,48653,45772882,0.31089887,,,,
180,223.1540677,404.5,151.72,809.84,83090.4687,205.7356716,1000,371,308,391.85,198.7342809,48988,46027951,0.27243528,,,,
181,200.3861482,404.5,214.252,758.82,83555.17351,210.9296562,1000,350,308,396.15,193.5521315,49337,46289021,0.29739422,,,,
182,170.7274512,404.5,253.057,738.03,84019.27712,224.1837349,1000,327,308,400.7,182.7651747,49669,46538208,0.29475585,,,,
183,194.0281091,404.5,231.425,729.95,84475.7953,229.0514409,1000,377,308,390.6,193.2998901,50016,46798714,0.32287306,,,,
184,184.4945006,404.5,243.1775,726.38,84931.91363,231.2541176,1000,374,308,391.25,183.7461717,50356,47052638,0.30758265,,,,
185,192.9361474,404.5,223.995,747.49,85393.32245,214.4763848,1000,338,308,398.4,200.8954701,50699,47311931,0.297494,,,,
186,193.4791967,404.5,225.7625,753.61,85857.76136,222.6528358,1000,365,308,393,197.6208438,51034,47563823,0.2959616,,,,
187,186.7366863,404.5,228.815,762.98,86311.18122,226.4415698,1000,416,308,382.95,178.8459102,51378,47820437,0.3116689,,,,
188,198.2630861,404.5,210.248,775.63,86767.92355,214.1523952,1000,355,308,395.05,179.5603884,51712,48075414,0.28351423,,,,
189,205.7323684,404.5,203.056,769.61,87229.67374,209.199115,1000,335,308,399.15,195.710955,52051,48332107,0.28406936,,,,
190,176.1537056,404.5,254.263,716.21,87692.63196,238.7173789,1000,379,308,390.35,198.1771579,52402,48589387,0.33538753,,,,
191,185.9636602,404.5,243.7375,714.59,88160.93015,240.6334734,1000,347,308,396.65,199.3157844,52759,48847532,0.3444656,,,,
192,183.5536489,404.5,246.6435,716.23,88626.25478,225.9822157,1000,334,308,399.25,201.5996952,53102,49099836,0.3057189,,,,
193,153.780778,404.5,288.8075,655.7,89088.7241,255.7882432,1000,330,308,400.15,182.6500205,53472,49360850,0.38205132,,,,
194,191.0988001,404.5,231.8065,734.04,89555.10073,247.7945225,1000,318,308,402.5,201.9531589,53828,49616976,0.35020164,,,,
