eplen,total_secs,recent_best_ext_ret,epcount,tcount,recent_best_eplen,eprew_std,n_updates,recent_worst_eplen,eplen_std,best_ext_ret,rew_mean,eprew,best_eplen,eprew_recent
152.49,19062.64679,204.8,70557,16373139,118,5.916361973,64,340,14.53650233,204.8,1.2708062,190.981,118,191.3666074
152.89,19362.26162,204.4,72239,16630766,119,6.865653647,65,375,16.62882738,204.8,1.2596476,190.74,118,190.0869798
151.05,19662.0554,204.8,73939,16885853,118,7.108818749,66,336,17.65580641,204.8,1.2861463,191.536,118,191.8915294
148.85,19963.00385,204,75656,17142503,120,5.305802861,67,375,12.84552451,204.8,1.2944989,192.416,118,192.016657
149.65,20266.45526,205.2,77378,17397843,117,7.063365982,68,375,17.51192451,205.2,1.3043116,192.181,117,192.5134146
147.61,20569.30888,206.4,79108,17653405,114,5.294553428,69,375,12.73333813,206.4,1.3108145,192.852,114,192.6784393
148.89,20868.38254,205.8,80848,17910138,116,6.303092812,70,375,15.64985303,206.4,1.3214309,192.339,114,192.7568391
145.36,21167.96093,207.2,82598,18166110,112,4.811242979,71,267,11.81483813,207.2,1.3332555,193.829,112,193.4401143
147.13,21471.28675,205.7,84358,18422708,116,7.219231538,72,354,17.60491693,207.2,1.3403718,193.064,112,193.6086932
145.92,21770.25085,207.7,86117,18678213,111,4.888868581,73,274,11.47752587,207.7,1.3418489,193.458,111,193.8150085
146.55,22069.71883,206.4,87886,18934430,114,6.39316033,74,375,15.7546025,207.7,1.3515179,193.399,111,193.9070661
145.28,22372.14063,206.8,89674,19190751,113,7.26877782,75,278,18.07212218,207.7,1.3689898,193.913,111,194.6181208
143.67,22670.82728,207,91462,19446186,113,5.490021767,76,306,13.12939831,207.7,1.3698299,194.269,111,194.7798098
141.43,22975.52859,206.4,93272,19703173,114,6.004542947,77,269,14.62754593,207.7,1.3915246,195.292,111,195.1538674
140.72,23278.80861,206.4,95070,19958676,114,4.851143783,78,375,11.65596843,207.7,1.3805885,195.602,111,194.9979422
