n_updates,epcount,total_secs,best_ext_ret,eprew_recent,tcount,eprew_std,eplen_std,recent_worst_eplen,eplen,recent_best_eplen,best_eplen,rew_mean,eprew,recent_best_ext_ret
459,704631,136333.7784,236.5,231.8553369,117495679,0.84950515,2.072944765,192,125.77,120,114,1.8525368,231.971,234.3
460,706667,136629.1511,236.5,231.9056974,117752077,1.283384198,3.194620478,174,125.88,119,114,1.8574597,231.925,234.7
461,708701,136925.9818,236.5,231.8852016,118008322,1.015741601,2.528458028,189,125.63,120,114,1.8559183,232.037,234.3
462,710735,137224.3769,236.5,231.9513274,118264256,1.441561306,3.528115644,275,125.82,120,114,1.8535528,231.951,234.3
463,712764,137519.0985,236.5,231.9706259,118519450,1.595935776,3.927136361,211,125.76,119,114,1.8524354,231.983,234.7
464,714796,137821.1875,236.5,231.7198819,118775640,1.576711451,3.922690403,375,125.95,119,114,1.8481584,231.909,234.7
465,716827,138116.1659,236.5,231.8439193,119031709,1.829057408,4.533916629,341,126.06,120,114,1.8521607,231.843,234.3
466,718855,138418.7009,236.5,231.7319527,119287364,1.250110395,3.115942875,375,126.03,120,114,1.8478907,231.868,234.3
467,720894,138716.8289,236.5,232.0115743,119543617,0.963574076,2.357032032,186,125.62,118,114,1.8586426,232.035,235.1
468,722934,139013.3644,236.5,231.9957843,119800069,1.564116044,3.878711126,301,125.66,120,114,1.8615984,232.021,234.3
469,724975,139314.2226,236.5,232.0366487,120056457,1.072042443,2.657066051,179,125.4,119,114,1.8621277,232.125,234.7
470,727009,139619.5732,236.5,232.0598328,120311836,2.493005415,6.141693578,228,126.14,119,114,1.8574619,231.818,234.7
471,729050,139923.8692,236.5,232.044929,120568180,1.618331239,4.013614331,225,125.47,119,114,1.8610715,232.102,234.7
472,731090,140224.2087,236.5,232.0869608,120824184,2.115800321,5.248799863,177,125.51,121,114,1.8616167,232.083,233.9
473,733124,140525.2001,236.5,232.1522124,121079100,0.826372192,2.027313493,153,125.1,120,114,1.8558582,232.247,234.3
