total_secs,recent_worst_eplen,n_updates,best_ext_ret,epcount,eprew_recent,tcount,eprew_std,rew_mean,recent_best_eplen,eplen,eplen_std,best_eplen,eprew,recent_best_ext_ret
134082.007,269,577,216.8,1192979,214.260318,147705500,1.586600139,2.2754922,89,94.63,3.948809947,88,214.23,216.4
134314.8202,165,578,216.8,1195699,214.4110662,147961607,1.118722039,2.290449,89,93.76,2.778920654,88,214.569,216.4
134552.0404,208,579,216.8,1198416,214.3203165,148218112,1.491668529,2.28683,89,94.49,3.801302408,88,214.295,216.4
134786.8779,182,580,216.8,1201125,214.3143226,148473882,1.529896729,2.2792993,88,94.69,3.861851887,88,214.196,216.8
135020.6193,138,581,216.8,1203837,214.3533555,148729650,1.428793547,2.2835174,89,94.22,3.618231612,88,214.407,216.4
135256.7681,225,582,216.8,1206551,214.3855564,148985434,1.55764277,2.2834706,89,94.25,3.925238846,88,214.407,216.4
135491.6795,208,583,216.8,1209281,214.4447985,149242283,1.697246005,2.3000507,89,94.34,4.322545546,88,214.334,216.4
135724.0475,128,584,216.8,1212004,214.4069409,149498742,2.072568214,2.290577,89,94.38,4.60169534,88,214.281,216.4
135953.4862,142,585,216.8,1214718,214.466986,149753945,1.081177136,2.2856042,89,93.78,2.722425389,88,214.584,216.4
136185.4595,375,586,216.8,1217430,214.256674,150009818,0.998426762,2.2810318,89,93.53,2.586329445,88,214.688,216.7
136421.1396,137,587,216.8,1220146,214.4764728,150265173,1.84442159,2.2889376,89,94.13,4.605768123,88,214.447,216.7
136651.1389,158,588,216.8,1222877,214.5195167,150521636,1.779796337,2.296039,89,93.69,3.887659965,88,214.575,216.4
136880.6643,227,589,216.8,1225607,214.4906227,150778185,5.500187179,2.2972488,89,95.37,13.75474827,88,213.929,216.7
137111.9333,195,590,216.8,1228330,214.518509,151033896,1.760163629,2.292715,89,94.44,4.427911472,88,214.332,216.7
137346.423,375,591,216.8,1231054,214.3975771,151289978,33.11621553,2.2923198,89,96.72,28.18158264,88,211.213,216.7
137578.7225,295,592,216.8,1233760,214.2248707,151545970,1.571974555,2.276575,89,93.54,3.953277122,88,214.664,216.4
137808.472,319,593,216.8,1236481,214.4495406,151801895,1.589005664,2.2943454,88,94.66,4.008041916,88,214.231,216.8
138040.339,150,594,216.8,1239208,214.5358269,152057794,1.238739278,2.2955077,89,93.7,3.160696126,88,214.585,216.4
138272.0765,307,595,216.8,1241938,214.4741392,152314355,1.281552184,2.2978337,89,93.5,3.269556545,88,214.668,216.7
138503.113,166,596,216.8,1244662,214.5671806,152569726,1.068239673,2.294202,89,93.18,2.692136698,88,214.792,216.7
138734.5472,241,597,216.8,1247401,214.575648,152826476,1.328886376,2.3063407,89,93.25,3.404041715,88,214.781,216.4
138964.3754,375,598,216.8,1250130,214.5082814,153082209,2.16938217,2.2982495,88,94.2,5.412947441,88,214.409,216.8
139194.637,208,599,216.8,1252858,214.5646261,153337929,1.439878814,2.2997646,89,93.51,3.648273564,88,214.643,216.4
139421.1014,263,600,216.8,1255592,214.6059254,153593948,1.51157666,2.3000197,89,94.08,3.918367007,88,214.456,216.7
139652.3279,254,601,217.2,1258326,214.6079005,153849960,1.46950706,2.3044925,87,93.76,3.64450271,87,214.557,217.2
139880.499,271,602,217.2,1261061,214.6101645,154106045,1.254035087,2.3047652,89,93.33,3.206415444,87,214.714,216.4
140113.3672,216,603,217.2,1263790,214.6059362,154361612,2.471007082,2.300164,89,94.35,6.189305292,87,214.318,216.4
140346.8743,320,604,217.2,1266526,214.6012427,154617837,1.709788291,2.3029602,89,93.73,4.272832784,87,214.568,216.4
140574.5804,214,605,217.2,1269264,214.6206355,154874107,1.046825678,2.3059955,89,93.05,2.639602243,87,214.834,216.4
140804.3298,338,606,217.2,1271990,214.5887748,155129454,3.301196601,2.2980757,89,94.29,8.248993878,87,214.349,216.4
141037.4252,328,607,217.2,1274725,214.5646435,155385792,0.928965015,2.30294,89,93.06,2.428250399,87,214.832,216.4
141268.539,375,608,217.2,1277458,214.4564215,155642087,1.123966192,2.300581,88,93.24,2.807561219,87,214.75,216.8
141499.1749,152,609,217.2,1280190,214.6114202,155897817,1.352517652,2.3022897,89,93.6,3.346640106,87,214.636,216.4
141730.4822,199,610,217.2,1282926,214.5903143,156154084,1.360294086,2.3066432,89,93.65,3.421622422,87,214.6,216.7
