epcount,eprew_std,eplen_std,best_ext_ret,tcount,recent_worst_eplen,eprew_recent,eplen,total_secs,recent_best_ext_ret,recent_best_eplen,rew_mean,best_eplen,n_updates,eprew
372434,4.585194761,11.38410734,220.8,45050124,375,215.5440028,89.89,50594.6709,220,80,2.3866632,78,176,216.183
375226,5.901938241,14.7073961,220.8,45305937,375,215.3149355,91.95,50886.81704,220.4,79,2.3640327,78,177,215.345
378045,5.444412181,13.53562337,220.8,45561745,375,215.5072721,91.13,51177.60415,220,80,2.3844657,78,178,215.676
380845,5.930765886,14.74835245,220.8,45818026,375,215.4173571,91.81,51466.92098,220.6,79,2.37206,78,179,215.404
383656,4.923248826,11.95682232,220.8,46073955,375,215.5272857,90.12,51758.32897,220.4,79,2.3783534,78,180,216.039
386481,5.282747013,13.13993531,220.8,46330232,217,215.8289204,90.89,52049.89532,220.3,80,2.3967597,78,181,215.772
389288,6.386728349,15.88537378,220.8,46586241,375,215.3939793,92.93,52338.2727,220.5,79,2.375858,78,182,214.951
392107,3.975061761,9.918144988,220.8,46842924,252,215.6915928,88.48,52626.03262,220.3,80,2.3891451,78,183,216.722
394908,7.402288497,18.44597246,220.8,47097962,375,215.3093181,92.69,52916.09695,220,80,2.36793,78,184,215.045
397739,4.974611141,12.37474848,220.8,47354267,282,215.8954433,90.16,53204.54911,220.5,79,2.4031982,78,185,216.062
400574,3.794951383,9.401148866,220.8,47609391,375,216.0477954,88.72,53493.96796,220.4,79,2.4068587,78,186,216.612
403409,6.635123134,16.47093197,220.8,47866135,375,215.6639859,93.22,53782.95724,220.2,80,2.4007208,78,187,214.829
406259,4.184959259,10.40924589,220.8,48122260,375,216.0159649,88.74,54073.4807,220.3,80,2.4191968,78,188,216.654
409098,7.834348473,19.5821245,221.1,48378119,375,215.9090877,90.98,54364.19575,221.1,78,2.4098048,78,189,215.728
411940,5.613385788,13.98642199,221.1,48634146,375,215.9279733,89.8,54654.91206,221.1,78,2.4095473,78,190,216.21
414786,6.173547117,15.1310112,221.1,48890051,240,216.1503162,90.85,54944.46371,220,80,2.4167516,78,191,215.746
417620,3.943355297,9.829928789,221.1,49145737,375,215.8740296,88.15,55234.52648,220.3,80,2.4056575,78,192,216.843
420471,5.932959127,14.79994595,221.1,49402495,375,215.7755174,89.96,55526.27019,220,80,2.4140716,78,193,216.114
423307,5.884250165,14.62663324,221.1,49657251,375,216.0309944,90.04,55823.45527,220.7,79,2.40728,78,194,216.12
426143,4.912583333,12.21842461,221.1,49914060,375,215.4307475,89.99,56115.45944,220,80,2.4018812,78,195,216.115
429009,4.034178975,10.03810739,221.1,50170193,375,216.2921493,88.58,56406.40471,220.4,79,2.4352767,78,196,216.68
431862,4.686288083,11.62708476,221.1,50426215,375,216.1525762,89.47,56698.01643,220.3,80,2.4206896,78,197,216.348
434726,5.250246756,13.05730064,221.1,50682372,375,216.2645251,89.13,56986.67748,220.8,78,2.4355564,78,198,216.447
437573,33.37503342,31.70836483,221.1,50937361,375,216.1415525,91.86,57277.8565,220.4,79,2.417976,78,199,213.188
440439,4.173921298,10.36677385,221.1,51194502,375,215.7781926,87.5,57567.05911,220.7,79,2.4272118,78,200,217.141
443315,6.934226705,17.298841,221.1,51450749,311,216.4795897,89.99,57855.83283,220.4,79,2.4458168,78,201,216.13
446174,5.334088488,12.97714915,221.1,51706313,375,216.2941588,89.44,58146.42023,220.4,79,2.4307399,78,202,216.31
449046,7.972902295,19.87660937,221.1,51962480,244,216.4420613,91.02,58434.57132,220.4,79,2.4419487,78,203,215.727
451907,5.541362648,13.83546168,221.1,52218058,375,216.3083188,88.8,58723.70967,220.7,79,2.4298956,78,204,216.61
454772,6.998681233,17.46483324,221.1,52473831,375,216.1849564,90.86,59012.03192,220.8,78,2.4353068,78,205,215.769
457633,6.529362603,16.25404257,221.1,52729801,375,216.1806711,92.19,59303.02765,221.1,78,2.4288874,78,206,215.232
460502,33.25179749,30.99836125,221.1,52986180,375,216.147473,92.04,59593.89467,220.7,79,2.4358,78,207,213.142
463363,4.815356269,11.95693941,221.1,53241353,375,216.2954561,88.54,59883.81506,220.7,79,2.433519,78,208,216.712
466222,9.06962491,22.58835762,221.1,53498041,375,215.6802378,90.69,60174.78708,221.1,78,2.4223855,78,209,215.848
469096,4.516947088,11.18436409,221.1,53753402,375,216.5030619,87.9,60467.19845,220.4,79,2.4429545,78,210,216.983
471962,5.837265113,14.51586718,221.2,54010443,375,216.0081996,88.64,60763.98752,221.2,77,2.431931,77,211,216.644
474816,5.629501843,13.4711952,221.2,54265886,375,216.082761,89.13,61057.42524,221.1,78,2.4245205,77,212,216.447
477676,6.138170411,15.05224236,221.2,54521472,375,216.213042,89.5,61348.73288,220.8,78,2.4279802,77,213,216.292
480551,4.602401982,10.98642799,221.2,54777847,375,216.2124174,87.72,61639.92488,220.8,78,2.4425464,77,214,216.964
483420,33.71861913,31.44443353,221.2,55034414,375,216.0294179,91.74,61936.76382,220.4,79,2.4335363,77,215,213.218
486278,33.27133457,30.93343014,221.2,55290097,375,216.1014346,90.77,62224.71496,220.7,79,2.4275455,77,216,213.636
489123,7.115444891,17.56057801,221.2,55545922,375,215.9065026,90.81,62519.86174,220.8,78,2.4132502,77,217,215.738
491978,7.539595215,18.78994146,221.2,55801742,375,216.0401751,92.41,62814.34657,220.7,79,2.4254944,77,218,215.152
494837,6.317564325,15.71496102,221.2,56057931,375,216.1101084,90,63111.47494,220.8,78,2.4245665,77,219,216.141
497720,6.203771111,15.45800763,221.2,56313700,375,216.3836629,88.7,63401.67864,220.8,78,2.4529035,77,220,216.632
500576,9.83627831,24.42268413,221.2,56569890,375,215.9270308,90.55,63693.50796,221.1,78,2.4221878,77,221,215.873
503473,5.00230307,12.42955751,221.2,56826379,304,216.6985502,87.81,63985.05597,220.4,79,2.4659758,77,222,217.042
506347,5.471523006,13.64065614,221.2,57082088,375,216.2930411,89.35,64279.49667,220.8,78,2.4432962,77,223,216.394
509217,13.24384276,33.03709884,221.2,57337525,375,216.2082927,92.01,64571.74977,220.8,78,2.4350505,77,224,215.323
512112,5.311447543,13.23544861,221.2,57594103,375,216.57962,87.73,64862.43801,220.8,78,2.4636023,77,225,217.035
