rew_mean,recent_best_eplen,eplen_std,best_eplen,best_ext_ret,eprew,total_secs,n_updates,eprew_std,eprew_recent,epcount,recent_best_ext_ret,recent_worst_eplen,tcount,eplen
3.4934573,66,7.368656594,61,257.6,252.982,31380.20101,124,2.913224331,253.0010227,291281,255.6,171,31739706,72.73
3.4975314,62,6.355116049,61,257.6,252.884,31634.92666,125,2.527002968,253.1094806,294804,257.2,210,31994837,73.05
3.5343642,65,4.154804448,61,257.6,253.365,31889.38677,126,1.650961841,253.2481315,298363,256,304,32251313,71.76
3.5154529,65,5.350102803,61,257.6,253.461,32142.85489,127,2.130018545,253.0833521,301907,256,375,32507072,71.58
3.524598,65,5.779930795,61,257.6,253.211,32397.58903,128,2.287657973,253.2317939,305458,256.2,162,32763197,72.18
3.556955,65,5.061778344,61,257.6,253.574,32654.5935,129,1.991814248,253.4035455,309040,256.2,159,33020017,71.28
3.5448494,65,3.293933818,61,257.6,253.701,32909.19589,130,1.322005673,253.4623948,312606,256.1,134,33275172,70.9
3.5467837,65,6.593936609,61,257.6,253.21,33164.47374,131,2.624519004,253.4017917,316178,256.3,285,33531320,72.2
3.5671372,64,4.987624685,61,257.6,253.651,33422.06777,132,1.95731934,253.5606685,319768,256.4,150,33787333,71.06
3.5749602,64,4.651838346,61,257.6,253.696,33675.44148,133,1.865203474,253.6007506,323365,256.4,143,34043507,70.98
3.574837,65,5.55045944,61,257.6,253.633,33929.07299,134,2.213280597,253.6442158,326961,256.2,142,34299184,71.18
3.5862741,65,6.408307109,61,257.6,253.52,34184.96293,135,2.546095049,253.627613,330568,256.3,215,34555776,71.44
3.6037753,64,4.417001245,61,257.6,253.884,34440.80186,136,1.765373615,253.820723,334192,256.5,132,34811825,70.51
3.5900462,64,5.884377622,61,257.6,253.79,34697.4693,137,2.326821867,253.7719867,337801,256.4,158,35067248,70.71
3.6071339,64,6.61135387,61,257.6,253.563,34953.72201,138,2.62909319,253.8244622,341427,256.4,187,35323435,71.3
3.599303,64,5.141011574,61,257.6,253.807,35208.09702,139,2.046472819,253.7927328,345046,256.6,139,35579426,70.7
3.6104443,64,8.741229891,61,257.6,253.488,35460.7189,140,3.476788173,253.8772414,348671,256.7,133,35835084,71.47
3.6308334,63,5.77036394,61,257.6,253.959,35712.52199,141,2.2881038,253.991863,352321,256.9,155,36091423,70.27
3.6273408,64,9.107683569,61,257.6,253.488,35968.20501,142,3.6346191,253.968213,355964,256.5,143,36347515,71.51
3.6235673,62,6.05054543,61,257.6,253.691,36220.90493,143,2.400920448,253.9248422,359607,257.5,375,36603452,71.03
3.6469266,64,6.879614815,61,257.6,253.9,36474.73489,144,2.758622845,254.130847,363267,256.6,151,36859241,70.47
