recent_worst_eplen,tcount,total_secs,epcount,rew_mean,eprew_recent,best_ext_ret,recent_best_ext_ret,n_updates,eplen,best_eplen,recent_best_eplen,eprew,eplen_std,eprew_std,,,,
1000,42691499,67927.38054,44536,0.09367729,73.35689655,396.7,379,167,908.51,347,435,69.1725,133.4292693,216.6358696,,,,
1000,42948022,68334.42865,44827,0.103090905,85.78505155,396.7,361.4,168,878.34,347,523,95.09,149.0777126,224.1444316,,,,
1000,43202325,68747.25236,45110,0.088892885,74.93250883,396.7,364.2,169,895.56,347,509,63.758,147.4165744,220.091274,,,,
1000,43456074,69157.53171,45393,0.08265497,68.23144876,396.7,373.3,170,892.09,347,464,82.177,145.3368566,221.3853661,,,,
1000,43713928,69564.28948,45682,0.08710177,70.4216263,396.7,369.35,171,923.02,347,484,22.5855,134.0053715,212.7390281,,,,
1000,43973966,69969.38032,45973,0.09429689,74.11649485,396.7,383.4,172,895.43,347,413,85.905,137.7358526,217.6968316,,,,
1000,44229718,70373.74361,46262,0.10325997,86.34480969,396.7,375.25,173,870.22,347,454,108.3555,160.1133711,224.7868813,,,,
1000,44491448,70782.97604,46560,0.13108408,102.4718121,396.7,375.95,174,870.46,347,451,103.903,154.3038185,225.2394378,,,,
1000,44744005,71189.63356,46849,0.106688276,91.44757785,396.7,380.8,175,876.43,347,426,88.1845,163.9454943,222.8239843,,,,
1000,45001136,71597.63104,47141,0.09579925,77.21780822,396.7,384.6,176,898.21,347,407,42.6645,151.632206,218.4929687,,,,
1000,45257235,72005.23673,47436,0.121358566,98.08745763,396.7,381.05,177,881.99,347,425,75.2265,164.3880467,225.2695636,,,,
1000,45512592,72424.55607,47727,0.111828044,90.69845361,396.7,375.05,178,865.16,347,455,112.085,150.8417528,222.5000665,,,,
1000,45761450,72839.3992,48016,0.12490016,109.8602076,396.7,380.5,179,852.12,347,428,118.2165,166.4689929,224.4171979,,,,
1000,46026391,73253.53685,48320,0.13284662,99.29769737,396.7,386.05,180,871.06,347,400,92.303,157.741486,226.3382413,,,,
1000,46274287,73665.47984,48609,0.14046061,122.9261246,396.7,388.75,181,836.53,347,387,134.128,173.1073918,222.9576443,,,,
1000,46536385,74074.81088,48919,0.16136518,125.1525806,396.7,373.6,182,835.96,347,462,129.773,172.8316476,224.8729829,,,,
