best_ext_ret,recent_best_eplen,eplen,tcount,eprew_std,recent_worst_eplen,recent_best_ext_ret,best_eplen,n_updates,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std
247.2,88,105.27,36345248,4.337014065,203,246.8,87,142,2.2868373,239.997,240.0171746,221855,35468.5635,10.8598849
247.2,90,106.01,36601206,3.779250058,196,246.2,87,143,2.3113253,239.713,240.3021233,224304,35720.54104,9.469419201
247.2,89,104.84,36857299,3.607259902,195,246.4,87,144,2.3141463,240.174,240.3491643,226757,35973.80946,9.066112728
247.2,90,104.5,37114207,3.71237983,231,246.2,87,145,2.3337796,240.306,240.5031579,229227,36226.38054,9.304300081
247.2,90,103.91,37369078,3.674949115,375,246.2,87,146,2.3142467,240.543,240.433279,231679,36478.72271,9.212051889
247.2,88,103.51,37625697,5.24775533,247,246.8,87,147,2.3474262,240.708,240.7621828,234162,36729.40716,13.15028137
247.2,90,102.59,37881531,2.650245272,375,246.2,87,148,2.346644,241.08,240.8001208,236645,36983.98765,6.652961746
247.2,87,102.92,38136890,4.072402731,375,247.2,87,149,2.3561344,240.944,240.9872691,239135,37236.64081,10.25346771
247.2,88,102.76,38393385,4.878175479,217,246.9,87,150,2.3637187,240.998,241.0168202,241632,37490.55878,12.19353927
247.2,88,100.59,38649333,3.53486011,321,247.1,87,151,2.365045,241.858,241.137615,244131,37741.22317,8.8883013
247.2,88,101.91,38905784,3.218480853,193,246.8,87,152,2.3889837,241.341,241.413328,246652,37992.31216,8.108137887
247.8,86,103.92,39161686,6.075045597,198,247.8,86,153,2.4054003,240.539,241.7248521,249187,38244.36679,15.26150713
247.8,87,101.43,39417690,3.61538601,191,247.2,86,154,2.415993,241.528,241.8474843,251731,38497.68975,9.073318026
247.8,88,99.5,39673495,2.220832952,180,247,86,155,2.419609,242.299,241.9445447,254279,38749.61501,5.566866264
247.8,87,100.13,39929303,3.936685916,211,247.5,86,156,2.4251623,242.052,242.0237368,256832,39000.15206,9.848507501
247.8,87,100.07,40185658,3.311422051,239,247.2,86,157,2.4481595,242.078,242.2773981,259407,39251.86802,8.317758111
247.8,88,98.49,40441530,2.906842961,201,247,86,158,2.4333088,242.692,242.1359625,261968,39503.06222,7.304101587
247.8,86,99.91,40697776,4.000484346,185,247.6,86,159,2.4663684,242.145,242.5577546,264560,39756.94752,10.065878
247.8,86,96.7,40953767,1.868085651,227,247.7,86,160,2.469583,243.416,242.5945216,267152,40009.01584,4.670117772
247.8,87,98.62,41209864,2.926379845,229,247.3,86,161,2.4748158,242.649,242.6984615,269752,40259.53391,7.31680258
247.8,87,98.84,41465945,3.291940917,298,247.4,86,162,2.464253,242.555,242.5183926,272340,40510.2246,8.238592113
247.8,86,97.54,41721814,3.317223387,185,247.6,86,163,2.4974988,243.077,243.0478443,274961,40759.27803,8.283018773
247.8,88,97.38,41977775,2.445844639,184,246.8,86,164,2.5011003,243.138,243.0752668,277585,41013.23964,6.160811635
247.8,87,98.2,42233640,3.803105442,195,247.3,86,165,2.5050547,242.817,243.1210967,280211,41265.52057,9.531002046
247.8,87,97.32,42489379,3.064995922,212,247.4,86,166,2.5073218,243.16,243.1850514,282840,41517.24022,7.693997661
247.8,86,98.74,42746041,4.136337873,207,247.6,86,167,2.526723,242.597,243.3118247,285487,41770.73321,10.3668896
247.8,87,98.11,43001546,4.415503935,198,247.3,86,168,2.5281196,242.855,243.486173,288134,42018.94813,11.04798172
248,85,95.53,43257692,2.488898552,302,248,85,169,2.537429,243.872,243.5190512,290790,42271.02884,6.231300025
248,86,96.12,43513276,2.597203111,199,247.6,85,170,2.5425894,243.656,243.6629699,293450,42522.94511,6.52116554
248,87,95.39,43769874,2.20719981,224,247.4,85,171,2.55371,243.937,243.7224299,296125,42771.77024,5.506169267
248,87,97.05,44025738,3.988,176,247.3,85,172,2.554452,243.284,243.7632959,298795,43021.10471,9.967321606
248,87,94.93,44281860,2.280356113,231,247.3,85,173,2.5641854,244.124,243.8967562,301477,43271.96066,5.71533901
248,86,94.8,44538043,2.286804539,185,247.6,85,174,2.5684102,244.175,243.9418838,304163,43521.76546,5.725382083
248,85,93.95,44793803,1.434786047,185,248,85,175,2.585113,244.517,244.174166,306861,43772.84228,3.567562193
248,86,94.2,45049513,1.943331161,184,247.8,85,176,2.584779,244.408,244.2100741,309561,44026.70267,4.866210024
248,85,94.28,45305712,1.976452377,175,248,85,177,2.6043959,244.394,244.3453775,312276,44278.62709,4.98413483
248,86,94.78,45561908,4.460529565,197,247.6,85,178,2.5947447,244.174,244.3042404,314988,44531.8945,11.13964093
248,86,94.41,45817934,2.917991604,225,247.8,85,179,2.599018,244.335,244.3144965,317699,44785.80972,7.311764493
248,87,94.23,46073918,2.461378476,171,247.4,85,180,2.6108437,244.404,244.4863753,320422,45036.14677,6.164178777
248,85,93.61,46329835,1.792343717,225,248,85,181,2.6201985,244.652,244.6185212,323154,45288.23766,4.489755004
248,87,93.92,46585720,2.824871679,184,247.3,85,182,2.6232955,244.53,244.6367362,325887,45542.09318,7.111511794
248.4,84,93.39,46841962,1.909973822,195,248.4,84,183,2.630982,244.74,244.7336006,328631,45793.08539,4.814343154
248.4,86,94.18,47097500,3.769767102,191,247.8,84,184,2.6362407,244.416,244.8226759,331374,46045.2839,9.42908267
248.4,86,92.57,47353990,1.80634742,199,247.6,84,185,2.6481326,245.053,244.8873822,334132,46294.9323,4.528255735
248.4,85,93.21,47609984,2.870051567,164,248.1,84,186,2.6516194,244.802,245.0001087,336893,46548.42451,7.16002095
