best_ext_ret,eplen_std,eprew_recent,total_secs,eprew,tcount,best_eplen,recent_worst_eplen,recent_best_ext_ret,eprew_std,eplen,n_updates,epcount,recent_best_eplen,rew_mean
219.2,14.69093598,210.0928249,26195.66636,210.637,26361448,82,319,217.5,5.884635163,103.58,103,169623,87,2.0179806
219.2,15.37850448,209.8765957,26456.67733,210.411,26617210,82,375,217.6,6.175773555,104.04,104,172067,86,2.0180743
219.2,17.43491898,210.0665166,26716.1495,209.69,26872685,82,375,217.7,6.991459075,105.94,105,174510,86,2.0204887
219.2,16.20488815,210.2880827,26975.62973,210.486,27129353,82,375,219.1,6.485090901,103.96,106,176977,83,2.043482
219.2,12.72499902,210.4272321,27234.52821,210.932,27384889,82,375,218.2,5.096368903,102.88,107,179441,85,2.0432737
219.2,30.30094883,210.6219976,27493.40513,208.087,27640723,82,375,217.5,33.2078655,104.55,108,181914,87,2.0487592
219.2,23.18771011,209.6482391,27758.05153,210.243,27896629,82,375,218.3,9.29223606,104.51,109,184356,85,2.01541
219.2,12.18894581,209.9259862,28019.81545,211.451,28152603,82,375,217.6,4.878677997,101.64,110,186815,86,2.0318024
219.2,16.30404551,210.2140422,28279.57129,210.663,28408436,82,375,218.1,6.51741751,103.59,111,189279,85,2.0396998
219.2,25.90713415,210.1040371,28538.17619,210.096,28665658,82,375,218.7,10.38307199,104.98,112,191756,84,2.0506089
219.2,12.21750793,210.9544141,28797.44527,211.315,28921401,82,375,218.5,5.018054902,101.85,113,194248,84,2.068542
219.2,23.70332255,210.3665994,29055.08846,210.163,29177202,82,375,217.5,9.497648709,104.75,114,196727,87,2.0533414
219.2,16.63255543,211.0903495,29312.17297,210.908,29433713,82,375,218.6,6.671951439,102.91,115,199245,84,2.0929492
219.2,14.69933332,211.1152061,29568.17303,211.056,29689229,82,375,218.5,5.87934214,102.64,116,201744,84,2.0769694
219.2,14.59606454,211.2569164,29826.19324,211.143,29945794,82,375,218.2,5.865189767,102.43,117,204267,85,2.0981698
219.2,6.153860577,211.4930939,30083.11007,212.963,30201352,82,375,218.4,2.569422309,97.7,118,206801,84,2.1099172
219.2,11.49460308,211.3390891,30342.73513,211.956,30457036,82,375,218.2,4.607804683,100.29,119,209326,85,2.099798
219.2,16.58379932,211.643098,30593.66069,211.415,30713871,82,375,218.6,6.644221173,101.76,120,211876,84,2.1268277
219.2,17.58425148,211.8513982,30857.19545,211.381,30968809,82,375,218.4,7.063493399,101.71,121,214415,84,2.1155188
219.2,11.24463872,212.0220016,31114.50296,212.567,31225560,82,375,218.6,4.512317697,98.91,122,216983,84,2.1432579
219.2,14.47065997,211.7100157,31372.48069,211.884,31481531,82,375,218.8,5.803614736,100.6,123,219529,83,2.1213503
219.2,18.44055043,211.9372211,31633.44904,212.182,31737492,82,375,218.9,7.390214882,99.81,124,222084,83,2.1324549
219.2,15.64164633,211.7593187,31892.80553,211.79,31993486,82,375,218.3,6.265819978,100.83,125,224638,85,2.127703
219.2,13.84576108,211.9162373,32150.55008,212.068,32249712,82,375,218.8,5.547429675,100.07,126,227200,83,2.1370485
219.2,10.27688669,211.9834636,32409.14002,212.813,32505613,82,375,218.8,4.148822845,98.16,127,229758,83,2.135332
219.2,17.5673874,212.2687427,32668.15445,211.455,32761367,82,233,218.8,7.029358079,101.63,128,232327,83,2.1446576
219.2,9.780204497,211.5262662,32924.89149,213.029,33017399,82,375,219.2,3.906335751,97.74,129,234874,82,2.1221616
219.4,12.84431392,212.4291909,33184.3501,212.485,33273565,82,248,219.4,5.162119235,99.06,130,237457,82,2.1620648
219.4,15.4248987,212.005439,33445.12194,211.303,33529882,82,375,218.9,6.26310554,101.85,131,240031,83,2.1459672
219.4,11.5251898,212.3898764,33704.75677,213.149,33785652,82,375,218.9,4.873058485,97.3,132,242619,83,2.1615841
219.4,5.258089006,212.6994611,33966.14779,213.977,34041000,82,375,218.9,2.103704114,95.35,133,245217,83,2.1757305
219.4,12.32335587,212.6794039,34223.95978,213.042,34297759,82,375,218.8,4.969088045,97.57,134,247834,83,2.1900687
219.4,21.98138076,212.7457154,34482.42896,212.787,34554381,82,375,219.2,8.809774742,98.33,135,250448,82,2.1879725
219.7,16.23481136,212.6447744,34741.50726,212.288,34809592,81,375,219.7,6.505263715,99.53,136,253041,81,2.1707754
219.7,15.52962009,212.8541015,35000.25715,212.87,35065639,81,375,219.6,6.23874186,98.03,137,255662,81,2.198767
219.7,12.54063396,212.992868,35260.74349,213.45,35321324,81,375,219.6,5.057222558,96.55,138,258284,81,2.1941812
219.7,12.39068602,213.0314949,35518.63044,213.319,35578083,81,351,219.2,4.956807339,96.97,139,260913,82,2.203541
219.9,13.0143152,213.2689328,35778.63908,213.035,35833634,81,262,219.9,5.218282764,97.74,140,263546,81,2.2098997
219.9,15.94896862,212.7746656,36035.12452,212.296,36089376,81,375,219,6.389709227,99.48,141,266163,83,2.19257
220.5,16.6815347,213.1207719,36292.10193,212.515,36345810,79,375,220.5,6.677085816,98.92,142,268806,79,2.216042
220.5,16.55893716,213.5368639,36552.05317,213.274,36601637,79,363,219.9,6.624433863,97.04,143,271459,81,2.2264814
220.5,11.70386261,213.5656896,36813.23472,213.779,36858014,79,211,219.1,4.692510948,95.86,144,274120,83,2.236098
220.5,12.89391717,213.2551985,37069.26144,214.008,37113245,79,375,219.6,5.182464279,95.13,145,276765,81,2.2199156
220.5,30.64732288,213.3382242,37327.04011,210.721,37369697,79,375,219.8,33.05398704,97.96,146,279423,81,2.2303667
220.8,29.70046464,213.03731,37583.37376,211.373,37625038,78,375,220.8,33.33938768,96.32,147,282055,78,2.2038183
221.1,13.65100363,213.0614748,37843.99853,213.894,37881664,78,375,221.1,5.471102631,95.49,148,284713,78,2.2291963
221.1,17.6742072,213.3415286,38102.32133,212.613,38137920,78,375,220.2,7.093048075,98.68,149,287369,80,2.2282321
221.1,14.82455733,213.6268539,38357.58285,213.161,38393611,78,375,219.8,5.930529403,97.35,150,290039,81,2.2440069
221.1,13.34749415,213.6711603,38611.82703,214.247,38649406,78,241,220.2,5.352036155,94.62,151,292702,80,2.2384567
221.1,11.7204906,213.6110572,38867.47859,214.301,38905318,78,375,219.4,4.69888274,94.49,152,295379,82,2.2490344
221.1,10.12052864,213.9423836,39123.24041,214.611,39161431,78,206,220,4.260560879,93.57,153,298064,80,2.2610552
221.1,10.1843802,214.0765185,39380.27867,214.393,39417528,78,375,220.1,4.083240257,94.28,154,300764,80,2.2709918
221.1,14.0904897,213.8609294,39636.75171,213.895,39673620,78,375,220.4,5.652545887,95.59,155,303454,79,2.2644596
221.1,9.4522537,214.1963388,39891.15406,215.155,39929844,78,255,220.2,3.795849707,92.43,156,306158,80,2.2766724
221.1,10.41369771,213.9852471,40144.25279,214.928,40185679,78,375,220.4,4.180265063,92.93,157,308849,79,2.2645135
221.1,14.18786806,214.1791513,40402.68092,213.941,40442071,78,375,220.2,5.68427823,95.38,158,311559,80,2.2825344
221.1,11.45382032,214.4698231,40659.57893,214.776,40697408,78,310,220.2,4.590623487,93.3,159,314273,80,2.2890403
221.1,13.19704134,214.4115681,40917.14477,214.457,40953971,78,248,220.2,5.297664674,94.09,160,316996,80,2.2967038
221.1,11.68417734,214.5768977,41173.31006,214.829,41209761,78,231,220.4,4.692702739,93.2,161,319723,79,2.3005652
221.1,12.02139343,214.5412582,41431.82566,214.598,41466408,78,202,220.2,4.818816867,93.69,162,322457,80,2.3038077
221.1,9.920055443,214.6120309,41690.65403,215.561,41721129,78,283,220,3.985571352,91.35,163,325175,80,2.293315
221.1,14.85372344,214.7876498,41948.8518,214.345,41977874,78,213,219.9,5.962958578,94.37,164,327928,81,2.3253467
221.1,15.02377782,214.6199927,42208.12838,214.631,42234166,78,375,219.9,6.02407993,93.69,165,330669,81,2.3129494
221.1,15.69485266,214.9582398,42466.16588,214.716,42490490,78,204,220.4,6.273543178,93.46,166,333430,79,2.3354955
221.1,10.12724543,214.9822505,42722.33027,215.578,42745571,78,375,220.5,4.060950135,91.33,167,336185,79,2.3274844
221.1,8.92575487,214.9813987,42981.13936,215.897,43002358,78,375,219.9,3.562989054,90.53,168,338959,81,2.343668
221.1,12.63465077,215.2681196,43238.70613,215.369,43257962,78,219,220.4,5.081214323,91.84,169,341735,79,2.3493257
221.1,13.72041909,215.2108303,43500.3357,215.493,43513376,78,208,220.7,5.506255624,91.51,170,344505,79,2.3416195
221.1,8.686771552,215.3039871,43758.83972,216.307,43769393,78,248,220.4,3.51753479,89.4,171,347289,79,2.3566763
221.1,21.66900782,215.3686562,44016.2549,214.404,44025747,78,375,220.8,8.67556246,94.21,172,350087,78,2.3695226
221.1,9.369498386,215.4244723,44271.14997,216.458,44281967,78,172,220.6,3.771264509,89.15,173,352882,79,2.3643992
221.1,8.982783533,215.4808594,44528.57926,216.656,44538738,78,375,220.4,3.595116688,88.64,174,355698,79,2.3830345
221.1,13.01895157,215.7858159,44783.65576,215.044,44793586,78,375,220.4,5.215674836,92.63,175,358511,79,2.3856196
221.1,10.73153763,215.7461402,45037.94159,215.813,45049679,78,375,220.4,4.307891712,90.71,176,361335,79,2.3939295
221.1,8.705693539,215.9816226,45293.59479,216.44,45305661,78,206,220.4,3.503198538,89.03,177,364170,79,2.406391
221.1,15.38030884,216.0264251,45548.56045,215.419,45561962,78,272,220.8,6.146717742,91.69,178,367012,78,2.4122763
221.1,10.09235354,216.0803515,45802.97212,216.645,45818145,78,217,220.6,4.032179932,88.62,179,369857,79,2.4186797
221.1,8.07021685,215.9248767,46054.09306,216.683,46073668,78,375,220.6,3.366186418,88.46,180,372695,79,2.4069917
221.1,10.77038068,216.1433029,46310.58289,216.242,46329508,78,375,221.1,4.317017026,89.67,181,375547,78,2.422462
221.1,7.984052856,216.1051049,46567.4063,216.536,46586332,78,375,220.8,3.195356631,88.93,182,378407,78,2.4284098
221.1,14.06895874,216.2331463,46826.88948,215.53,46841944,78,183,220.8,5.626659755,91.38,183,381258,78,2.4217463
221.1,8.170826152,216.3526867,47084.96292,217.008,47098054,78,204,220.6,3.271839849,87.76,184,384124,79,2.435566
221.1,8.494816066,216.545111,47342.99224,216.845,47354382,78,182,220.4,3.396303137,88.09,185,387008,79,2.4544978
221.1,13.90888565,216.4904662,47602.28547,216.018,47610232,78,192,220.7,5.578286117,90.23,186,389882,79,2.4424596
221.1,9.007086099,216.4879346,47860.81259,216.98,47866304,78,207,220.8,3.601832867,87.82,187,392758,78,2.4450166
222.2,8.418283673,216.4623264,48116.09072,217.122,48122369,75,375,222.2,3.384481644,87.45,188,395638,75,2.4480808
222.2,9.828651993,216.651266,48368.49412,216.604,48377866,75,225,221,3.937865412,88.76,189,398521,78,2.4536798
222.2,12.36365642,216.6421397,48623.75395,216.889,48634965,75,375,220.4,4.961489595,88,190,401428,79,2.4719658
222.2,7.869663271,216.825233,48880.81793,217.215,48890375,75,186,221.2,3.15228092,87.22,191,404325,77,2.4659543
222.2,11.88535233,216.7692521,49137.55652,216.623,49145453,75,211,220.8,4.762454304,88.72,192,407213,78,2.4563959
222.2,10.05323331,216.5539573,49397.88956,216.993,49401983,75,375,221.1,4.035870538,87.75,193,410119,78,2.468963
222.2,10.92309022,216.9576765,49650.88875,216.989,49658273,75,208,220.4,4.362886544,87.81,194,413037,79,2.4860244
222.2,10.66907212,217.0340062,49907.10887,216.682,49914411,75,205,220.8,4.275216486,88.53,195,415960,78,2.4908671
222.2,10.76568623,216.9874399,50161.62319,217.05,50170154,75,231,221.5,4.319571738,87.6,196,418874,77,2.481121
222.2,15.01299437,216.7955716,50417.34219,216.522,50426100,75,375,220.8,6.024858173,88.9,197,421787,78,2.4801638
222.2,6.701305843,216.8664266,50674.12408,217.835,50682335,75,375,221.5,2.68705694,85.65,198,424703,77,2.4833248
222.2,7.364855735,217.0443116,50932.64508,217.616,50938231,75,375,221.1,2.945699238,86.17,199,427630,78,2.49125
222.2,13.20095072,217.1737022,51187.61028,216.11,51193814,75,197,221,5.288090393,89.93,200,430558,78,2.4983659
222.2,10.56278372,217.221448,51443.25636,217.404,51450247,75,229,221,4.219453045,86.74,201,433500,78,2.5074265
222.2,10.7959761,217.0119536,51698.51013,217.231,51706461,75,375,220.8,4.311094873,87.13,202,436428,78,2.4948971
222.2,12.13290979,217.3044558,51954.99918,216.828,51962061,75,221,220.8,4.850960317,88.15,203,439368,78,2.5093174
222.2,10.5960889,217.2380904,52210.51722,217.376,52218445,75,328,221.2,4.249073311,86.73,204,442311,77,2.5083954
222.2,11.79947033,217.2984343,52466.09412,217.164,52473932,75,239,221.3,4.718633701,87.25,205,445249,77,2.5057344
222.2,8.761797761,217.4488514,52723.81259,217.48,52730268,75,264,221.2,3.515053342,86.47,206,448209,77,2.5270076
222.2,17.68665881,217.490752,52982.05649,216.327,52985538,75,206,220.8,7.08280813,89.39,207,451161,78,2.5209017
222.2,12.65566671,217.4630017,53242.25172,216.954,53242159,75,172,221.2,5.07478906,87.79,208,454126,77,2.529617
222.2,7.022385635,217.6166274,53503.46123,217.969,53498182,75,162,221,2.815410982,85.31,209,457097,78,2.5384994
222.2,12.07381878,217.3423884,53760.2785,217.195,53754372,75,375,220.8,4.835646286,87.23,210,460053,78,2.5217679
222.2,8.09985185,217.5562036,54016.79383,217.771,54010394,75,214,220.8,3.232964429,85.82,211,463019,78,2.531309
222.2,19.12996602,217.6039354,54274.2822,217.546,54266654,75,255,221.2,7.663751301,86.38,212,465992,77,2.5384624
222.2,10.38850807,217.5631898,54531.49191,217.954,54522587,75,375,221.6,4.140686417,85.33,213,468964,76,2.5425942
222.2,9.305503748,217.8159182,54787.35642,217.806,54778220,75,171,221.2,3.729767285,85.74,214,471948,77,2.5481625
222.2,5.30022641,217.6244527,55048.17168,218.755,55034008,75,234,221.2,2.104014021,83.26,215,474917,77,2.5354486
222.2,12.86273299,217.4746208,55307.37696,217.277,55290711,75,204,221.2,5.150434059,87.01,216,477884,77,2.5336292
222.2,9.657510031,217.580668,55563.69029,218.066,55546392,75,256,221.2,3.859746624,85.05,217,480848,77,2.530592
222.2,9.622239864,217.8378803,55821.91262,217.948,55802433,75,196,221.6,3.852310476,85.35,218,483839,76,2.5560446
222.2,10.29859699,217.748075,56080.20957,217.952,56058821,75,200,221.6,4.113866308,85.33,219,486826,76,2.5506284
222.2,11.93272391,217.826769,56341.16224,217.671,56314272,75,375,221.5,4.755571364,85.99,220,489822,77,2.5602202
222.2,8.997438524,217.9383128,56600.61508,218.381,56570257,75,256,221.2,3.610531678,84.31,221,492821,77,2.566198
222.2,5.293118174,218.1541005,56858.045,218.76,56826201,75,375,221.6,2.12433519,83.27,222,495845,76,2.5878818
222.2,16.36635573,217.8699333,57115.84335,217.163,57082257,75,375,221.6,6.56438352,87.32,223,498845,76,2.5644066
222.2,6.481018438,218.092805,57370.80255,218.711,57338522,75,178,221.6,2.593372129,83.42,224,501861,76,2.5817602
222.2,8.327514635,218.1409738,57629.55526,218.22,57594685,75,176,221.6,3.386827424,84.55,225,504880,76,2.5833507
