eplen,best_eplen,rew_mean,n_updates,total_secs,best_ext_ret,recent_worst_eplen,recent_best_ext_ret,epcount,tcount,eplen_std,recent_best_eplen,eprew_std,eprew,eprew_recent
374.55,214,-0.26057586,25,7142.996835,196.6,375,196.6,17025,6380346,2.829752639,214,42.87034559,-99.537,-101.205487
372.93,180,-0.23941892,26,7431.050389,210.1,375,210.1,17686,6625213,12.69980709,180,46.38040211,-97.13,-88.84720121
367.54,177,-0.22127931,27,7714.641652,211.4,375,211.4,18399,6889217,24.08294832,177,83.30523583,-75.522,-84.5227209
368.11,177,-0.20828493,28,8003.824574,211.4,375,210.2,19089,7142775,29.49233629,180,70.98003648,-83.111,-78.20289855
357.26,177,-0.16434592,29,8292.085526,211.4,375,205.8,19800,7401149,42.07793246,191,113.0243859,-38.391,-61.72995781
358.79,143,-0.14352222,30,8580.748477,225,375,225,20510,7656015,37.91972969,143,108.2886091,-42.807,-53.2
352.55,143,-0.12136526,31,8871.583728,225,375,217.5,21239,7913252,49.08428975,162,113.1006734,-39.678,-44.65679012
346.12,133,-0.08100253,32,9161.589344,229,375,229,21978,8169794,56.58909436,133,122.13586,-28.65,-30.15723951
347.79,133,-0.06465171,33,9454.186591,229,375,225.7,22728,8427087,55.1712416,141,119.2063267,-34.374,-23.69213333
341.37,133,-0.05795718,34,9740.46205,229,375,225.5,23471,8679480,61.87982789,142,125.2661399,-22.76,-19.9846568
327.13,133,0.04592287,35,10025.59081,229,375,225.5,24279,8939587,69.03733121,142,137.6232044,5.004,11.46856436
318.63,133,0.11516669,36,10314.77023,229,375,225.4,25100,9193299,72.46456444,142,141.5604188,20.239,35.27040195
289.74,132,0.20250845,37,10607.95535,229.3,375,229.3,25970,9453877,81.54809869,132,143.1032636,71.207,57.00977011
274.55,132,0.29609698,38,10898.19784,229.3,375,226.4,26865,9707379,77.61834513,139,131.7850048,103.752,84.09195531
288.46,132,0.30443376,39,11188.93797,229.3,375,227,27770,9964508,82.54494776,138,143.167595,73.412,84.77292818
269.61,128,0.3297588,40,11481.29849,230.8,375,230.8,28695,10220050,83.29560553,128,138.8409555,98.237,89.66810811
260.31,119,0.48740783,41,11771.57729,234.5,375,234.5,29694,10477438,77.13853706,119,130.1258026,116.27,123.4812813
259.19,119,0.59463257,42,12060.26668,234.5,375,229.9,30739,10732306,80.81011013,131,129.8896771,118.424,143.9325359
231.78,118,0.7205054,43,12350.03738,234.8,375,234.8,31855,10993347,68.14272962,118,85.03067618,169.047,163.6667563
216.38,118,0.78893316,44,12645.31479,234.8,375,231.7,32991,11248559,58.91889001,126,71.68346632,181.984,176.6037852
217.28,118,0.8469088,45,12932.96159,234.8,375,233.7,34153,11504245,62.51545089,121,68.53752035,183.452,185.4737522
199.23,117,0.9393139,46,13222.297,235.2,375,235.2,35391,11762443,43.62564727,117,34.12426415,200.114,192.358643
200.39,117,0.9788973,47,13514.101,235.2,375,234.5,36652,12017594,48.20889856,119,34.73054383,199.695,197.785567
210.81,117,0.99111587,48,13805.20829,235.2,375,234.6,37915,12273608,56.0065523,119,22.40405488,197.805,199.6072051
201.12,114,1.0177773,49,14096.4524,236.7,375,236.7,39203,12530084,47.9835972,114,19.19976195,201.671,200.7613354
196.27,114,1.0358601,50,14387.75141,236.7,375,232.8,40510,12787456,45.57891069,123,34.26562248,201.346,202.1393267
187.48,110,1.0533737,51,14682.34484,238.1,375,238.1,41828,13043205,42.80805532,110,17.1850826,207.056,203.4402124
197.09,110,1.0968053,52,14969.84314,238.1,375,236.3,43185,13299637,49.19575083,115,35.68334652,200.841,205.8502579
183.47,110,1.1270527,53,15265.14913,238.1,375,236.5,44568,13555555,42.47763058,114,33.96269977,206.468,207.4665944
183.58,105,1.1435313,54,15557.37539,240.2,375,240.2,45966,13812029,44.58277246,105,17.83240587,208.699,208.0740343
176.51,105,1.1907421,55,15846.34455,240.2,375,236.9,47410,14068820,38.5197339,113,15.40091358,211.519,210.0548476
175.28,105,1.1868504,56,16137.25917,240.2,375,235.3,48846,14323398,35.44152367,117,14.19490116,212.009,210.1185237
178.17,103,1.2274305,57,16428.52977,240.8,375,240.8,50320,14580033,35.1761439,103,14.07543591,210.848,212.3204206
174.69,103,1.2229145,58,16717.27014,240.8,375,239.8,51787,14835331,37.3332814,106,14.93368889,212.256,212.1889571
172.18,103,1.2505585,59,17010.97067,240.8,375,237.9,53284,15092866,38.40817101,111,15.3837081,213.265,212.8516366
172.41,103,1.2732289,60,17302.3379,240.8,375,239.7,54800,15348759,40.47865981,106,35.32285565,210.713,213.9974934
166.04,103,1.2935898,61,17593.32443,240.8,375,239.5,56330,15604016,42.32845851,107,43.6492338,211.433,214.96
164.53,103,1.325972,62,17884.67212,240.8,375,239.3,57898,15861331,29.89630579,107,11.94429316,216.319,215.6174745
164.07,103,1.3333232,63,18176.10153,240.8,375,240.8,59469,16118584,29.34970358,103,11.75440275,216.496,216.1784214
162.74,100,1.3509691,64,18468.54531,242.1,375,242.1,61053,16373533,31.28917385,100,12.518948,217.029,217.3167929
160.72,100,1.3875203,65,18759.63453,242.1,375,239.7,62670,16629298,33.44849174,106,13.3993586,217.833,218.4266543
158.76,100,1.3751204,66,19054.96777,242.1,375,238.9,64276,16885002,34.79802293,108,33.22113621,216.353,218.1531133
156.42,100,1.4241458,67,19347.99854,242.1,375,240.6,65930,17142262,38.95951232,104,34.01926954,217.27,219.2059855
160.02,97,1.4289852,68,19642.07397,243.3,375,243.3,67582,17397575,30.51654633,97,12.2028706,218.107,220.1797821
150.5,97,1.4313275,69,19938.79143,243.3,361,242.6,69237,17652864,23.56798676,99,9.45604669,221.941,220.419577
153.5,97,1.4773993,70,20232.77225,243.3,375,240,70936,17909722,33.07279849,105,33.0803599,218.433,221.3879341
152.48,97,1.4869949,71,20528.01221,243.3,375,242.8,72645,18166109,25.79165757,98,10.30218598,221.158,221.9885898
151.14,97,1.5209492,72,20821.01047,243.3,283,242.4,74380,18422613,28.62586942,99,11.44806097,221.67,222.9965418
144.53,97,1.5127672,73,21115.22543,243.3,375,241.8,76110,18677991,22.17496561,101,8.875160618,224.318,222.9510405
147.91,97,1.5471402,74,21409.72851,243.3,307,242.1,77872,18934989,25.64335976,100,10.24485412,222.958,223.7875709
145.42,97,1.5544261,75,21703.50566,243.3,274,242.5,79638,19190310,22.183859,99,8.879307631,223.964,224.2981314
145.27,97,1.537471,76,21992.07703,243.3,375,241.8,81388,19445521,21.56703735,101,8.616246282,224.03,223.6700571
141.7,97,1.5598804,77,22283.0327,243.3,375,241.9,83164,19702402,21.63261427,101,8.647904428,225.457,224.1503378
146.94,96,1.6021955,78,22575.48931,243.9,295,243.9,84974,19959601,28.50537493,96,11.38583906,223.363,225.2945304
139.72,96,1.605186,79,22867.04713,243.9,285,243.2,86785,20214595,21.11638227,97,8.424542955,226.174,225.8093871
144.4,96,1.6320113,80,23157.56541,243.9,274,243.6,88624,20471660,26.8551671,96,10.74659365,224.355,226.2163132
133.44,96,1.6182835,81,23450.57443,243.9,375,243.4,90451,20726658,19.34699977,97,7.739625314,228.76,225.7944718
136.61,96,1.6645365,82,23749.00114,243.9,375,243.2,92318,20983290,25.56634311,97,10.22959061,227.474,227.0284949
