best_ext_ret,eprew,rew_mean,recent_best_eplen,best_eplen,n_updates,epcount,eplen_std,total_secs,recent_worst_eplen,eprew_std,recent_best_ext_ret,eprew_recent,tcount,eplen
-1.725,-7.790625,-0.030063769,68,68,241,95040.0,0.0,24680.062495946884,68,1.2771236909066404,-3.6,-7.5331896551724125,15422720.0,68.0
-1.725,-7.4,-0.028699815,68,68,242,95968.0,0.0,24920.848563194275,68,1.1614914980317335,-3.2875,-7.390072737068964,15485824.0,68.0
-1.725,-7.65625,-0.030607503,68,68,243,96928.0,0.0,25162.43319582939,68,1.0383091724048286,-2.6625,-7.495833333333332,15551104.0,68.0
-1.725,-7.78125,-0.029578194,68,68,244,97856.0,0.0,25404.42559814453,68,1.0904235129067972,-2.975,-7.505576508620688,15614208.0,68.0
-1.725,-7.2875,-0.03224723,68,68,245,98816.0,0.0,25647.461807489395,68,1.40937153547246,-3.2875,-7.579817708333332,15679488.0,68.0
-1.725,-7.409375,-0.027787166,68,68,246,99744.0,0.0,25888.345089435577,68,1.1731826038068414,-3.2875,-7.351683728448274,15742592.0,68.0
-1.725,-7.8875,-0.028727675,68,68,247,100704.0,0.0,26130.78247499466,68,1.2562966409252236,-3.2875,-7.383854166666665,15807872.0,68.0
-1.725,-7.63125,-0.028113658,68,68,248,101632.0,0.0,26371.13098502159,68,1.2394082509407462,-2.975,-7.332825969827584,15870976.0,68.0
-1.725,-7.36875,-0.028500028,68,68,249,102560.0,0.0,26613.833793640137,68,1.2883340744931027,-3.2875,-7.452033943965516,15934080.0,68.0
-1.725,-7.9,-0.030053172,68,68,250,103520.0,0.0,26853.25710773468,68,1.2694733159858067,-3.2875,-7.446354166666665,15999360.0,68.0
-1.725,-7.4,-0.026903555,68,68,251,104448.0,0.0,27092.446141719818,68,1.258347130167189,-3.2875,-7.335856681034481,16062464.0,68.0
-1.725,-7.35,-0.030908255,68,68,252,105408.0,0.0,27331.196400880814,68,1.1625672023586422,-4.225,-7.486718749999998,16127744.0,68.0
-1.725,-7.165625,-0.028053239,68,68,253,106336.0,0.0,27568.73672056198,68,1.1405993147792963,-3.6,-7.369194504310343,16190848.0,68.0
-1.725,-7.296875,-0.02821174,68,68,254,107264.0,0.0,27808.743402719498,68,1.1524896623722924,-3.6,-7.428124999999998,16253952.0,68.0
-1.725,-7.684375,-0.032028962,68,68,255,108224.0,0.0,28048.911132097244,68,1.0709726522535485,-3.2875,-7.537174479166665,16319232.0,68.0
-1.725,-7.603125,-0.02629202,68,68,256,109152.0,0.0,28290.28440928459,68,1.1063515137039404,-2.975,-7.326427801724136,16382336.0,68.0
-1.725,-7.34375,-0.029069478,68,68,257,110112.0,0.0,28530.331959486008,68,1.165067728717949,-3.9125,-7.337304687499998,16447616.0,68.0
-1.725,-7.36875,-0.028777668,68,68,258,111040.0,0.0,28771.478536605835,68,1.06875,-2.35,-7.447992995689654,16510720.0,68.0
