recent_best_ext_ret,eprew_std,eplen,recent_best_eplen,tcount,best_eplen,recent_worst_eplen,rew_mean,eprew,eprew_recent,epcount,total_secs,eplen_std,best_ext_ret,n_updates
2.3125,1.922593768031874,70.0,70,10236800.0,70,70,0.0036581708,0.563125,-0.09305245535714286,146240.0,59617.80196976662,0.0,9.4375,80
6.21875,1.7906423428479514,70.0,70,10366720.0,70,70,0.0031844934,-1.44,-0.08693089978448276,148096.0,60365.815640211105,0.0,9.4375,81
5.4375,2.2922478051031043,70.0,70,10492160.0,70,70,0.007849149,-0.16,0.04248046875,149888.0,61114.88486146927,0.0,9.4375,82
3.875,1.8521339044464362,70.0,70,10622080.0,70,70,-0.0033318654,-1.36,-0.42808795797413796,151744.0,61853.47293496132,0.0,9.4375,83
3.09375,2.135790251873999,70.0,70,10747520.0,70,70,0.0023667046,0.28,-0.26646205357142855,153536.0,62607.18731021881,0.0,9.4375,84
7.78125,1.6292329483533043,70.0,70,10877440.0,70,70,0.0032044917,1.16,-0.07233297413793104,155392.0,63348.84450054169,0.0,9.4375,85
3.875,1.9627450832236852,70.0,70,11007360.0,70,70,0.007668076,0.4509375,0.1682886584051724,157248.0,64099.79992341995,0.0,9.4375,86
5.4375,2.1166010488516727,70.0,70,11132800.0,70,70,0.0011872561,-0.4,-0.28590611049107145,159040.0,64843.278057575226,0.0,9.4375,87
6.21875,1.9899748742132402,70.0,70,11262720.0,70,70,0.007804032,0.2,0.2222184806034483,160896.0,65581.34037947655,0.0,9.4375,88
4.65625,1.9835322029147902,70.0,70,11388160.0,70,70,0.006252663,-0.84,-0.029750279017857144,162688.0,66331.86829209328,0.0,9.4375,89
6.21875,1.9983993594874871,70.0,70,11518080.0,70,70,0.0018346951,0.08,-0.10620959051724138,164544.0,67079.00197124481,0.0,9.4375,90
4.65625,1.9713236154611955,70.0,70,11643520.0,70,70,0.0027033773,-0.356875,-0.32761928013392855,166336.0,67828.42540764809,0.0,9.4375,91
5.4375,2.0632054664708024,70.0,70,11773440.0,70,70,0.0066307713,-0.276875,0.20455616918103448,168192.0,68567.75536894798,0.0,9.4375,92
3.875,1.9595917942265426,70.0,70,11903360.0,70,70,-0.001976349,-0.4,-0.5012796336206896,170048.0,69318.08100509644,0.0,9.4375,93
7.78125,1.8150482087261484,70.0,70,12028800.0,70,70,0.007275524,0.84,0.13514927455357142,171840.0,70063.68095135689,0.0,9.4375,94
3.09375,1.9742340286804907,70.0,70,12158720.0,70,70,0.0019699405,-0.32,-0.18547952586206898,173696.0,70811.59288597107,0.0,9.4375,95
3.09375,2.0123617964968425,70.0,70,12284160.0,70,70,0.005209353,-0.52,-0.12566266741071427,175488.0,71562.71955943108,0.0,9.4375,96
3.875,1.9983993594874874,70.0,70,12414080.0,70,70,0.00440749,0.08,0.04761584051724138,177344.0,72303.70403075218,0.0,9.4375,97
3.09375,1.98997487421324,70.0,70,12539520.0,70,70,0.0052654543,-0.6,-0.09038434709821429,179136.0,73054.3633415699,0.0,9.4375,98
3.09375,1.9995999599919978,70.0,70,12669440.0,70,70,0.0030036105,0.04,-0.07864695581896551,180992.0,73795.68204903603,0.0,9.4375,99
4.65625,1.9063492545881382,70.0,70,12799360.0,70,70,0.004920912,0.8671875,-0.05093278556034483,182848.0,74547.17510461807,0.0,9.4375,100
6.21875,1.964077391550547,70.0,70,12924800.0,70,70,0.0077941786,-1.32,0.1461181640625,184640.0,75292.33955430984,0.0,9.4375,101
9.34375,2.2902279456352703,70.0,70,13054720.0,70,70,0.006956267,1.1609375,0.17157192887931033,186496.0,76033.79111289978,0.0,9.4375,102
6.21875,1.8499729727755483,70.0,70,13180160.0,70,70,0.009053347,0.76,0.08637346540178571,188288.0,76782.02144742012,0.0,9.4375,103
6.21875,1.901157542130583,70.0,70,13310080.0,70,70,0.008484086,-0.84,0.39417766702586204,190144.0,77527.20937466621,0.0,9.4375,104
7.0,1.9935897271003378,70.0,70,13435520.0,70,70,0.013504162,-0.16,0.4290073939732143,191936.0,78275.49595403671,0.0,9.4375,105
7.0,1.9415457759218557,70.0,70,13565440.0,70,70,0.009006614,0.48,0.33922077047413796,193792.0,79020.48675274849,0.0,9.4375,106
7.0,1.9983993594874871,70.0,70,13695360.0,70,70,0.008489752,-0.08,0.21216662176724138,195648.0,79768.71516680717,0.0,9.4375,107
4.65625,1.9312172327317296,70.0,70,13820800.0,70,70,0.004399539,-0.52,-0.07451520647321429,197440.0,80511.86001825333,0.0,9.4375,108
4.65625,1.9640773915505467,70.0,70,13950720.0,70,70,0.005730317,-0.68,0.032900053879310345,199296.0,81248.2922475338,0.0,9.4375,109
8.65625,1.8160526604768377,70.0,70,14076160.0,70,70,0.0073174676,0.901875,-0.011021205357142858,201088.0,81995.75305581093,0.0,9.4375,110
7.0,1.843474979488466,70.0,70,14206080.0,70,70,0.009042263,0.96,0.35509832974137934,202944.0,82736.91556882858,0.0,9.4375,111
4.65625,1.999599959991998,70.0,70,14331520.0,70,70,0.009368963,0.04,0.12847028459821427,204736.0,83481.43910646439,0.0,9.4375,112
