total_secs,eprew_std,recent_best_ext_ret,recent_best_eplen,eprew_recent,best_ext_ret,epcount,eplen,best_eplen,tcount,recent_worst_eplen,eplen_std,eprew,rew_mean,n_updates
67102.03612,1.157274673,-2.8125,100,-5.573486328,-1.71875,62048,100,100,6204800,100,0,-5.7390625,-0.044108193,97
67774.29862,1.154876718,-1.875,100,-5.178955078,-1.71875,62688,100,100,6268800,100,0,-4.796875,-0.040195074,98
68442.62847,0.992693031,-2.8125,100,-5.692871094,-1.71875,63328,100,100,6332800,100,0,-5.403125,-0.045562487,99
69121.35846,1.187602792,-2.03125,100,-5.424804688,-1.71875,63968,100,100,6396800,100,0,-5.953125,-0.042303056,100
69793.71034,1.395797963,-2.1875,100,-5.465820313,-1.71875,64608,100,100,6460800,100,0,-5.646875,-0.04364089,101
70464.4824,1.061263067,-2.03125,100,-5.427734375,-1.71875,65248,100,100,6524800,100,0,-5.196875,-0.04135935,102
71132.6689,1.157325302,-1.09375,100,-5.052978516,-1.09375,65888,100,100,6588800,100,0,-5.9234375,-0.039703026,103
71803.99786,1.037945829,-0.625,100,-5.302490234,-0.625,66528,100,100,6652800,100,0,-5.5234375,-0.041504946,104
72480.7884,1.097176552,-1.09375,100,-5.167236328,-0.625,67168,100,100,6716800,100,0,-5.0234375,-0.040822003,105
73158.25743,1.329571822,-1.09375,100,-5.50390625,-0.625,67808,100,100,6780800,100,0,-5.4140625,-0.043690387,106
73835.4629,1.284584077,-2.1875,100,-5.677734375,-0.625,68448,100,100,6844800,100,0,-5.525,-0.044706617,107
74506.67668,1.391656043,-1.25,100,-5.241455078,-0.625,69088,100,100,6908800,100,0,-4.8515625,-0.041733168,108
75178.09231,1.014151575,-1.5625,100,-5.28125,-0.625,69728,100,100,6972800,100,0,-5.4453125,-0.039715353,109
75845.611,1.071299727,-0.9375,100,-4.809326172,-0.625,70368,100,100,7036800,100,0,-4.3796875,-0.037795153,110
76514.56505,1.192530463,-1.71875,100,-5.229492188,-0.625,71008,100,100,7100800,100,0,-4.94375,-0.040246837,111
77181.28434,1.112582292,-1.5625,100,-5.175537109,-0.625,71648,100,100,7164800,100,0,-4.9859375,-0.040839255,112
77849.54387,1.58460227,-0.9375,100,-5.277587891,-0.625,72288,100,100,7228800,100,0,-5.0046875,-0.040981498,113
78516.70846,1.225879587,-2.03125,100,-5.102294922,-0.625,72928,100,100,7292800,100,0,-4.5609375,-0.03981049,114
79190.16092,1.064991335,-1.875,100,-5.343505859,-0.625,73568,100,100,7356800,100,0,-5.5828125,-0.04160638,115
79861.30589,0.96260526,-1.40625,100,-5.132324219,-0.625,74208,100,100,7420800,100,0,-4.7171875,-0.040039662,116
80530.67159,1.15647274,-0.15625,100,-5.0234375,-0.15625,74848,100,100,7484800,100,0,-4.1921875,-0.03852271,117
81198.44629,1.153857322,-1.09375,100,-4.994384766,-0.15625,75488,100,100,7548800,100,0,-4.675,-0.038394727,118
81863.95763,1.193042166,-2.03125,100,-5.338378906,-0.15625,76128,100,100,7612800,100,0,-5.446875,-0.04139349,119
82535.64578,1.418091636,-1.25,100,-5.088623047,-0.15625,76768,100,100,7676800,100,0,-5.5453125,-0.040497255,120
83205.92431,1.184340987,-1.875,100,-5.218505859,-0.15625,77408,100,100,7740800,100,0,-4.9421875,-0.040880952,121
83868.7523,1.24574569,-1.5625,100,-5.176269531,-0.15625,78048,100,100,7804800,100,0,-5.4796875,-0.040203407,122
84535.48672,1.116078996,-1.71875,100,-5.143066406,-0.15625,78688,100,100,7868800,100,0,-5.6515625,-0.039218064,123
85186.4686,1.270922555,-1.71875,100,-5.151367188,-0.15625,79328,100,100,7932800,100,0,-5.178125,-0.03977435,124
85840.50544,1.068150188,-1.5625,100,-5.047119141,-0.15625,79968,100,100,7996800,100,0,-5.6046875,-0.03925586,125
86490.967,1.366400666,-1.09375,100,-4.979980469,-0.15625,80608,100,100,8060800,100,0,-4.50625,-0.038679402,126
87145.90955,0.980118526,-0.78125,100,-5.208251953,-0.15625,81248,100,100,8124800,100,0,-5.7109375,-0.040608495,127
87800.18094,1.027616706,-1.71875,100,-5.039550781,-0.15625,81888,100,100,8188800,100,0,-5.6125,-0.038850993,128
88454.58287,1.064790729,-1.875,100,-5.060791016,-0.15625,82528,100,100,8252800,100,0,-5.159375,-0.03929767,129
89105.28322,1.278406716,-1.875,100,-5.265380859,-0.15625,83168,100,100,8316800,100,0,-5.3265625,-0.041078765,130
89755.55635,1.195502436,0,100,-5.209960938,0,83808,100,100,8380800,100,0,-4.5046875,-0.040959604,131
