best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
13.125,0.0,50.0,148448.0,50,0.16131221,7.58740234375,7422400.0,50,50,116,1.5778124690532775,43145.129162073135,7.41875,11.875
13.125,0.0,50.0,149728.0,50,0.1639011,7.781494140625,7486400.0,50,50,117,1.1560768451426575,43517.740023851395,6.809375,12.1875
13.125,0.0,50.0,151008.0,50,0.15896331,7.4052734375,7550400.0,50,50,118,1.5072610714471466,43887.59266400337,7.31875,12.1875
13.125,0.0,50.0,152288.0,50,0.16216041,7.693359375,7614400.0,50,50,119,0.9745341435142231,44257.50800704956,7.790625,11.875
13.125,0.0,50.0,153568.0,50,0.16058926,7.578857421875,7678400.0,50,50,120,1.3957384918028162,44627.30997157097,7.33125,11.5625
13.125,0.0,50.0,154848.0,50,0.1637262,7.6591796875,7742400.0,50,50,121,1.1968178837546672,44996.758222579956,8.046875,11.5625
13.125,0.0,50.0,156128.0,50,0.16028064,7.5732421875,7806400.0,50,50,122,1.2663616683238639,45367.052832603455,7.5875,12.5
13.125,0.0,50.0,157408.0,50,0.16326866,7.732666015625,7870400.0,50,50,123,1.1094586236088302,45737.55369544029,7.70625,12.1875
13.125,0.0,50.0,158688.0,50,0.159234,7.46533203125,7934400.0,50,50,124,1.16081867662439,46107.805829524994,6.575,12.5
13.125,0.0,50.0,159968.0,50,0.15876369,7.470947265625,7998400.0,50,50,125,1.162331977104648,46476.86103415489,6.5125,11.25
