rew_mean,recent_worst_eplen,tcount,recent_best_eplen,eplen,eplen_std,recent_best_ext_ret,n_updates,eprew,best_ext_ret,eprew_recent,total_secs,eprew_std,best_eplen,epcount
-0.11325646,70,9596160.0,70,70.0,0.0,-6.0,75,-9.08,-6.0,-9.001116071428571,57508.47766137123,0.9967948635501689,70,137088.0
-0.11170358,70,9726080.0,70,70.0,0.0,-6.0,76,-8.6,-6.0,-8.863146551724139,58272.09101843834,0.9165151389911681,70,138944.0
-0.11118125,70,9851520.0,70,70.0,0.0,-6.0,77,-9.08,-6.0,-8.878348214285714,59038.41332268715,1.0361467077590893,70,140736.0
-0.11298289,70,9981440.0,70,70.0,0.0,-6.0,78,-8.84,-6.0,-8.913793103448276,59800.73966002464,0.9871170143402455,70,142592.0
-0.11154969,70,10111360.0,70,70.0,0.0,-6.0,79,-8.58,-6.0,-8.883620689655173,60567.63908481598,0.9075241043630742,70,144448.0
-0.10973853,70,10236800.0,70,70.0,0.0,-6.0,80,-8.66,-6.0,-8.771205357142858,61328.84418129921,0.9404254356406997,70,146240.0
-0.10958428,70,10366720.0,70,70.0,0.0,-6.0,81,-8.56,-6.0,-8.692887931034482,62089.330813884735,0.8979977728257459,70,148096.0
-0.110748276,70,10492160.0,70,70.0,0.0,-6.0,82,-8.4,-6.0,-8.872767857142858,62859.83078098297,0.7999999999999999,70,149888.0
-0.110847875,70,10622080.0,70,70.0,0.0,-6.0,83,-9.16,-6.0,-8.835129310344827,63624.61215043068,0.9871170143402455,70,151744.0
-0.10963808,70,10747520.0,70,70.0,0.0,-6.0,84,-8.96,-6.0,-8.772321428571429,64398.430535793304,1.0384603988597734,70,153536.0
-0.112146094,70,10877440.0,70,70.0,0.0,-6.0,85,-8.52,-6.0,-8.91594827586207,65154.14019584656,0.9217374897442329,70,155392.0
-0.10859462,70,11007360.0,70,70.0,0.0,-6.0,86,-8.86,-6.0,-8.701508620689655,65920.88291883469,0.9901515035589251,70,157248.0
-0.10863662,70,11132800.0,70,70.0,0.0,-6.0,87,-8.84,-6.0,-8.691964285714286,66686.68106555939,0.9871170143402455,70,159040.0
-0.10977204,70,11262720.0,70,70.0,0.0,-6.0,88,-8.72,-6.0,-8.758620689655173,67448.86259675026,0.9600000000000001,70,160896.0
-0.10719045,70,11388160.0,70,70.0,0.0,-6.0,89,-8.24,-6.0,-8.661830357142858,68210.34263634682,0.7631513611335566,70,162688.0
-0.10874271,70,11518080.0,70,70.0,0.0,-6.0,90,-8.4,-6.0,-8.65948275862069,68976.3155157566,0.8944271909999157,70,164544.0
-0.10855581,70,11643520.0,70,70.0,0.0,-6.0,91,-8.62,-6.0,-8.737723214285714,69744.93075489998,1.0077698149875298,70,166336.0
-0.10901096,70,11773440.0,70,70.0,0.0,-6.0,92,-8.94,-6.0,-8.701508620689655,70506.09363532066,0.9981983770774226,70,168192.0
-0.1076726,70,11903360.0,70,70.0,0.0,-6.0,93,-9.24,-6.0,-8.664870689655173,71270.09011435509,0.970772887960928,70,170048.0
-0.10646638,70,12028800.0,70,70.0,0.0,-6.0,94,-8.76,-6.0,-8.572544642857142,72031.93756341934,0.9707728879609279,70,171840.0
-0.10735817,70,12158720.0,70,70.0,0.0,-6.0,95,-8.34,-6.0,-8.594827586206897,72792.05699825287,0.8511169132381284,70,173696.0
