value_loss,clipfrac,serial_timesteps,curbestrew,explained_variance,time_elapsed,nupdates,policy_loss,epbestrew,eprewmean,policy_entropy,approxkl,eplenmean,epbestlen,fps,total_timesteps,curbestlen
6.228562,0.07700157,196608,-289.0,0.7035306096076965,23564.393320083618,96,0.00013779986,-259.0,-291.22,1.6623423,0.001986473,3000.0,3000,1073,25165824,3000
5.5217166,0.07785225,198656,-289.0,0.7108579576015472,23808.69651198387,97,0.0009254037,-259.0,-291.0,1.6629597,0.001604028,3000.0,3000,1073,25427968,3000
5.960858,0.058502197,200704,-289.0,0.7193733155727386,24057.61666917801,98,0.0001611384,-259.0,-291.34,1.6500627,0.0014203419,3000.0,3000,1053,25690112,3000
5.805298,0.031157494,202752,-287.0,0.7246550619602203,24300.690126895905,99,0.00012063331,-259.0,-291.32,1.6341169,0.00092688546,3000.0,3000,1078,25952256,3000
6.146715,0.028542519,204800,-289.0,0.6831457614898682,24543.565865039825,100,6.3744585e-05,-259.0,-291.46,1.6476119,0.00097089814,3000.0,3000,1079,26214400,3000
5.287836,0.02478981,206848,-289.0,0.7342760264873505,24784.685724258423,101,0.00010388873,-259.0,-291.38,1.6485307,0.0007400655,3000.0,3000,1087,26476544,3000
5.484459,0.025749207,208896,-289.0,0.7256317436695099,25030.567790985107,102,-0.00014648352,-259.0,-291.54,1.6551509,0.001401688,3000.0,3000,1066,26738688,3000
5.79211,0.02544403,210944,-291.0,0.7236561179161072,25273.799584150314,103,-0.00011110169,-259.0,-291.6,1.6586063,0.0007584175,3000.0,3000,1077,27000832,3000
5.396289,0.016479492,212992,-289.0,0.7132275998592377,25515.3895676136,104,5.1527404e-05,-259.0,-291.56,1.6743652,0.0006468044,3000.0,3000,1085,27262976,3000
5.570304,0.027592659,215040,-289.0,0.722324937582016,25762.710760116577,105,0.00020651285,-259.0,-291.72,1.6546074,0.0008692874,3000.0,3000,1059,27525120,3000
5.3106265,0.023047447,217088,-289.0,0.7095677554607391,26008.061512470245,106,6.424963e-05,-259.0,-291.74,1.6628617,0.00077283,3000.0,3000,1068,27787264,3000
5.647882,0.011470795,219136,-289.0,0.7004883289337158,26254.158315181732,107,-7.1765025e-05,-259.0,-291.94,1.6771371,0.00089097937,3000.0,3000,1065,28049408,3000
5.1173096,0.051727295,221184,-289.0,0.6985441446304321,26505.138227939606,108,0.00021044258,-259.0,-291.6,1.6858538,0.0012888872,3000.0,3000,1044,28311552,3000
5.218381,0.038790703,223232,-289.0,0.7035891711711884,26748.367082357407,109,-4.80393e-05,-259.0,-291.84,1.6817052,0.001010887,3000.0,3000,1077,28573696,3000
5.5563188,0.04929924,225280,-289.0,0.7055704593658447,26995.825829982758,110,-0.00022107753,-259.0,-291.88,1.677939,0.0015430326,3000.0,3000,1059,28835840,3000
5.8785577,0.03363228,227328,-289.0,0.7003524005413055,27238.070603370667,111,0.00011090319,-259.0,-291.84,1.6903483,0.0013957989,3000.0,3000,1082,29097984,3000
4.8266163,0.037236214,229376,-289.0,0.7016990780830383,27482.183596611023,112,-0.00019500803,-259.0,-291.76,1.6913925,0.001342405,3000.0,3000,1073,29360128,3000
5.403706,0.02412796,231424,-291.0,0.7115607559680939,27728.70094180107,113,-3.7994156e-05,-259.0,-292.1,1.667315,0.0008238471,3000.0,3000,1063,29622272,3000
5.6353307,0.04012394,233472,-291.0,0.7105457484722137,27974.56370282173,114,7.234691e-05,-259.0,-292.1,1.6592581,0.001017631,3000.0,3000,1066,29884416,3000
5.742205,0.022410393,235520,-291.0,0.6612152457237244,28218.830179214478,115,-9.221002e-05,-259.0,-292.08,1.6810029,0.0009433231,3000.0,3000,1073,30146560,3000
4.650153,0.031641006,237568,-289.0,0.7300475537776947,28463.792031288147,116,-7.217513e-05,-259.0,-292.14,1.6956818,0.0009122252,3000.0,3000,1070,30408704,3000
