epbestrew,policy_loss,serial_timesteps,time_elapsed,fps,value_loss,curbestlen,explained_variance,policy_entropy,eplenmean,epbestlen,curbestrew,eprewmean,approxkl,nupdates,total_timesteps,clipfrac
-98.0,0.00030274328,303104,18682.284122943878,2081,5.3879113,1500,0.7254531681537628,1.4230459,1500.0,1500,-126.0,-134.3,0.0020334625,148,38797312,0.12043285
-98.0,0.003936531,305152,18808.91766190529,2070,5.269827,1500,0.7237111926078796,1.3806533,1500.0,1500,-126.0,-134.0,0.0055324757,149,39059456,0.21697712
-98.0,0.0024493502,307200,18933.515161037445,2103,6.3660727,1500,0.7269085943698883,1.3699245,1500.0,1500,-126.0,-135.6,0.00366904,150,39321600,0.18246174
-98.0,0.0004038972,309248,19060.023530244827,2074,5.6398807,1500,0.7163779437541962,1.3053558,1500.0,1500,-126.0,-135.46,0.0018456737,151,39583744,0.087171555
-98.0,0.00039464,311296,19185.82132101059,2083,6.113914,1500,0.7025289237499237,1.2677388,1500.0,1500,-126.0,-134.96,0.0016567365,152,39845888,0.085951805
-98.0,0.00030144525,313344,19310.97598028183,2094,5.8196073,1500,0.7008747458457947,1.2611978,1500.0,1500,-126.0,-134.88,0.0015584761,153,40108032,0.075312614
-98.0,6.192447e-05,315392,19437.114191770554,2078,5.975503,1500,0.6498038172721863,1.2459701,1500.0,1500,-126.0,-134.36,0.0013851321,154,40370176,0.053518295
-98.0,0.00031680023,317440,19562.49745798111,2090,5.4754643,1500,0.6786071062088013,1.2537674,1500.0,1500,-126.0,-134.92,0.0015256635,155,40632320,0.06868553
-98.0,0.001793117,319488,19688.17146587372,2086,5.8127637,1500,0.624070942401886,1.2720748,1500.0,1500,-126.0,-133.48,0.0025943418,156,40894464,0.103201866
-98.0,0.0011834905,321536,19812.63883280754,2106,6.2937236,1500,0.6502811014652252,1.2468191,1500.0,1500,-126.0,-135.52,0.001718571,157,41156608,0.08401966
-98.0,0.0016442598,323584,19936.705231666565,2113,6.311772,1500,0.6224095523357391,1.1911613,1500.0,1500,-130.0,-136.8,0.0017950637,158,41418752,0.09129143
-98.0,0.0005600236,325632,20062.597440481186,2082,6.09853,1500,0.6153022050857544,1.2437907,1500.0,1500,-130.0,-136.56,0.0013411735,159,41680896,0.058739662
-98.0,0.00069597387,327680,20188.295028686523,2085,6.16642,1500,0.6036588847637177,1.2203512,1500.0,1500,-130.0,-136.36,0.0015207711,160,41943040,0.05802536
-98.0,0.00039653725,329728,20317.156273126602,2036,6.2283,1500,0.6236734092235565,1.2260108,1500.0,1500,-134.0,-137.3,0.0013016412,161,42205184,0.05335617
-98.0,0.00016344014,331776,20447.803507089615,2006,5.910188,1500,0.6000376045703888,1.2212522,1500.0,1500,-130.0,-137.2,0.00075225864,162,42467328,0.027046204
-98.0,0.00017343368,333824,20572.6706635952,2099,6.425089,1500,0.5880082249641418,1.2270964,1500.0,1500,-130.0,-137.24,0.00073815434,163,42729472,0.029930115
-98.0,0.0006678569,335872,20698.235158920288,2087,5.898975,1500,0.5563152134418488,1.2635667,1500.0,1500,-130.0,-137.04,0.0013663048,164,42991616,0.05350399
-98.0,0.0012637381,337920,20824.42721438408,2077,7.1539116,1500,0.5000984966754913,1.2517068,1500.0,1500,-130.0,-137.72,0.0024272134,165,43253760,0.11740589
-98.0,0.0020112304,339968,20949.193690538406,2101,6.263872,1500,0.48181527853012085,1.2647359,1500.0,1500,-134.0,-137.74,0.0033066475,166,43515904,0.16582394
-98.0,0.0010579831,342016,21075.672223329544,2072,7.4609404,1500,0.4480298161506653,1.3342018,1500.0,1500,-130.0,-137.32,0.0018049475,167,43778048,0.07974815
-98.0,0.00010757091,344064,21200.889641284943,2093,6.004067,1500,0.5100023746490479,1.3242625,1500.0,1500,-134.0,-137.64,0.001399448,168,44040192,0.047234535
-98.0,0.00031771138,346112,21324.27770280838,2124,6.319565,1500,0.4984739422798157,1.2959318,1500.0,1500,-134.0,-137.74,0.0014939544,169,44302336,0.06221199
-98.0,0.0009446312,348160,21450.75878715515,2072,6.791717,1500,0.49534791707992554,1.3091772,1500.0,1500,-134.0,-137.96,0.0020317351,170,44564480,0.09903526
-98.0,0.000766123,350208,21576.93845963478,2078,6.367179,1500,0.4909660816192627,1.268866,1500.0,1500,-130.0,-137.86,0.00153584,171,44826624,0.06590176
-98.0,0.00044027076,352256,21701.498465299606,2104,6.9761367,1500,0.5176403522491455,1.2794496,1500.0,1500,-134.0,-137.8,0.0013473114,172,45088768,0.052788734
-98.0,0.0012056769,354304,21825.80969262123,2108,6.228769,1500,0.4737900495529175,1.2692498,1500.0,1500,-134.0,-137.88,0.0029557922,173,45350912,0.118634224
-98.0,0.0004523031,356352,21950.159723758698,2108,6.853307,1500,0.4992884397506714,1.2749165,1500.0,1500,-130.0,-137.82,0.0018599881,174,45613056,0.08784771
-98.0,0.001236472,358400,22076.27242922783,2078,6.4267235,1500,0.4987563490867615,1.2855974,1500.0,1500,-130.0,-137.6,0.0025968938,175,45875200,0.102954865
-98.0,0.0004377026,360448,22202.88916015625,2070,7.1850147,1500,0.47805529832839966,1.3153383,1500.0,1500,-130.0,-137.44,0.001339209,176,46137344,0.07054138
-98.0,0.00021587574,362496,22328.672565698624,2084,6.3712807,1500,0.4889940619468689,1.3230404,1500.0,1500,-130.0,-137.28,0.0013318675,177,46399488,0.040221214
-98.0,5.2878273e-05,364544,22454.800122976303,2078,7.862308,1500,0.4385896921157837,1.3318459,1500.0,1500,-130.0,-137.64,0.0007810315,178,46661632,0.029289246
-98.0,0.001458141,366592,22582.20274734497,2057,6.6319566,1500,0.45400238037109375,1.343406,1500.0,1500,-130.0,-137.7,0.0030797708,179,46923776,0.11841965
-98.0,0.0008305321,368640,22707.68240737915,2089,7.9035864,1500,0.45925289392471313,1.3431175,1500.0,1500,-130.0,-137.64,0.0019621016,180,47185920,0.098303795
-98.0,0.00021797356,370688,22832.275577545166,2105,6.578427,1500,0.4927747845649719,1.3651596,1500.0,1500,-130.0,-137.68,0.0017303439,181,47448064,0.061689377
-98.0,0.0004900398,372736,22959.62464404106,2058,6.7126594,1500,0.5287997126579285,1.3165002,1500.0,1500,-134.0,-138.04,0.0017491956,182,47710208,0.06891155
