opt_vf,opt_dyn_loss,ev,tps,epcount,total_secs,vpredmean,rank,best_ext_ret,opt_approxkl,opt_clipfrac,retstd,eprew_recent,advstd,recent_best_ext_ret,tcount,eplen,opt_pg,rew_mean,n_updates,opt_tot,vpredstd,advmean,ups,opt_feat_var,eprew,opt_aux,opt_ent,retmean
124.9717,0.20717597,0.769882321357727,1276.5797295400412,11987.0,2988.480989217758,20.475693,0,128.7,6.8028515e-13,0.0,26.646547,92.50676779463244,12.782504,128.7,3834553.0,151.5,-9.404655,0.7203418,30,115.56609,22.220575,8.583114,0.009973279137031572,1.1483521,89.34300000000002,0.0033480076,0.9562058,29.05881
112.65936,0.205534,0.805344894528389,1285.5764657365492,12920.0,3088.047217607498,28.139639,0,128.9,8.892681e-13,0.0,28.100971,96.30010718113613,12.398074,128.9,3963679.0,138.89,-8.077101,0.8051775,31,104.581345,23.904144,8.708823,0.01004356613856679,1.1635126,98.17299999999999,0.0036448909,0.9207424,36.848457
119.74078,0.21557388,0.8226005434989929,1275.4098940856163,13932.0,3188.4071102142334,36.58772,0,132.7,8.4766894e-13,0.0,28.959354,101.84891304347826,12.197337,132.7,4091112.0,126.41,-9.539965,0.91300297,32,110.19998,25.708181,9.120247,0.009964139797543877,1.2350206,100.806,0.003755051,0.84160036,45.70797
104.29308,0.21081552,0.8444674611091614,1272.2610969851303,15037.0,3289.0153896808624,45.925625,0,132.7,9.0336435e-13,0.0,29.823542,105.55782805429864,11.761693,130.1,4219597.0,114.8,-8.524774,1.0219128,33,95.76753,27.416204,9.435816,0.00993953982019633,1.2066971,105.79899999999998,0.003874846,0.7799488,55.361446
130.61475,0.21820952,0.8355503082275391,1284.7606089213632,16237.0,3388.6448452472687,55.058254,0,133.3,1.038831e-12,0.0,30.314243,110.38291666666669,12.293153,133.3,4348284.0,109.3,-10.6689625,1.1415662,34,119.945076,26.672504,9.831072,0.01003719225719815,1.3163819,110.23200000000001,0.0021500145,0.704573,64.88933
128.84732,0.2214722,0.8397285789251328,1270.9935572736513,17557.0,3489.353459596634,65.50949,0,133.3,1.1257165e-12,0.0,31.563004,114.04954545454542,12.635905,132.5,4476572.0,94.65,-10.334709,1.2834572,35,118.51198,28.161419,10.473263,0.0099296371662004,1.3404626,116.09199999999998,0.0018061688,0.6317268,75.98276
139.64906,0.20960443,0.8591756820678711,1269.7170424283577,18953.0,3590.1633217334747,73.984825,0,133.9,1.0652232e-12,0.0,32.66458,116.35164756446991,12.257896,133.9,4605260.0,93.28,-10.969726,1.3736652,36,128.67879,29.121834,10.503256,0.009919664393971545,1.3668733,115.154,0.001493743,0.55399495,84.48809
126.79831,0.20072766,0.8580568581819534,1261.6913606329647,20404.0,3691.6144404411316,83.8297,0,135.3,1.1769579e-12,0.0,33.452366,118.14824259131636,12.603293,135.3,4732851.0,89.6,-10.56017,1.4439185,37,116.2376,28.88815,10.181898,0.009856963754945037,1.2718239,118.89999999999998,0.0005641477,0.5356709,94.011604
115.85301,0.21163583,0.8629933893680573,1266.5163470070268,21904.0,3792.6790657043457,93.854866,0,135.3,1.3282668e-12,0.0,34.711857,119.40920000000001,12.848388,134.5,4860683.0,86.3,-8.41251,1.5008575,38,107.43998,30.428072,9.28692,0.009894658960992396,1.475059,120.45200000000001,0.0012026448,0.5251545,103.1418
127.37412,0.19870096,0.8640702366828918,1273.7163870714442,23484.0,3893.1723947525024,102.31322,0,135.3,1.2568047e-12,0.0,34.32445,120.75601265822785,12.6549635,134.9,4989200.0,81.19,-10.517302,1.5938959,39,116.85635,31.16899,9.541413,0.009950909273995657,1.3616261,120.02900000000001,0.0006203535,0.46315202,111.85462
