nupdates,serial_timesteps,time_elapsed,value_loss,epbestrew,policy_entropy,explained_variance,eprewmean,total_timesteps,approxkl,fps,curbestrew,clipfrac,eplenmean,curbestlen,epbestlen,policy_loss
63,129024,8264.264759540558,9.118348,-168.0,1.7798331,0.61714768409729,-193.22,16515072,0.00087471015,1999,-190.0,0.033608437,2000.0,2000,2000,8.5263906e-05
64,131072,8394.502272605896,9.248524,-168.0,1.7652636,0.6329789459705353,-193.44,16777216,0.0013418,2012,-188.0,0.05772209,2000.0,2000,2000,0.00024116907
65,133120,8523.488979578018,8.795401,-168.0,1.7791382,0.6322244107723236,-192.9,17039360,0.0014084124,2032,-188.0,0.047293663,2000.0,2000,2000,0.00019135547
66,135168,8655.790699005127,8.972311,-168.0,1.7651699,0.6330103278160095,-192.88,17301504,0.0010110328,1981,-186.0,0.029971123,2000.0,2000,2000,6.463684e-05
67,137216,8782.54545044899,8.798715,-168.0,1.7465011,0.6370744705200195,-192.92,17563648,0.0008482172,2068,-188.0,0.029903412,2000.0,2000,2000,-4.9024e-05
68,139264,8912.453015565872,8.679744,-168.0,1.7365904,0.6548580527305603,-192.82,17825792,0.0012015376,2018,-182.0,0.04295349,2000.0,2000,2000,-4.0276413e-05
69,141312,9043.8288834095,8.742556,-168.0,1.7558016,0.6660047173500061,-192.78,18087936,0.0013393454,1995,-188.0,0.0648489,2000.0,2000,2000,0.00057459984
70,143360,9171.825340032578,8.496543,-168.0,1.744975,0.6722772717475891,-192.66,18350080,0.0013597624,2048,-182.0,0.05533409,2000.0,2000,2000,0.00014179652
71,145408,9301.177001714706,8.670563,-168.0,1.7223551,0.6847462952136993,-192.66,18612224,0.0012486844,2026,-184.0,0.06333542,2000.0,2000,2000,0.0001424336
72,147456,9428.234123945236,8.392666,-168.0,1.7527276,0.6927600204944611,-192.52,18874368,0.0011965445,2063,-186.0,0.04015541,2000.0,2000,2000,0.00022874527
73,149504,9555.427423238754,7.9663076,-168.0,1.7699625,0.6839179694652557,-192.0,19136512,0.0011135596,2061,-178.0,0.040848732,2000.0,2000,2000,-0.00016758389
74,151552,9684.147001504898,7.8584433,-168.0,1.7747607,0.7104297578334808,-191.92,19398656,0.0016037284,2036,-184.0,0.06649017,2000.0,2000,2000,-0.00027446964
75,153600,9815.683987855911,7.7346134,-168.0,1.7756355,0.718219518661499,-191.16,19660800,0.0013087842,1992,-184.0,0.054139137,2000.0,2000,2000,-0.00020629863
76,155648,9949.121927022934,7.502946,-168.0,1.7815465,0.7228457033634186,-191.34,19922944,0.0017139,1964,-180.0,0.07600021,2000.0,2000,2000,4.636199e-05
77,157696,10076.311005592346,7.959599,-168.0,1.7496014,0.7260044515132904,-191.62,20185088,0.00197998,2061,-186.0,0.102321625,2000.0,2000,2000,0.00077720813
78,159744,10204.80387711525,7.61043,-168.0,1.7525738,0.7314616441726685,-191.62,20447232,0.0020383168,2040,-184.0,0.08042717,2000.0,2000,2000,0.00018663911
79,161792,10336.827773332596,7.5882463,-168.0,1.7499096,0.744493156671524,-191.98,20709376,0.0019448547,1985,-188.0,0.09368801,2000.0,2000,2000,0.0007766796
80,163840,10467.041582107544,7.6531105,-168.0,1.7282678,0.7450434863567352,-192.06,20971520,0.0019064518,2013,-184.0,0.08943081,2000.0,2000,2000,0.00040464124
81,165888,10598.602759122849,7.44546,-168.0,1.7276376,0.7418578565120697,-191.8,21233664,0.0020428144,1993,-184.0,0.099555016,2000.0,2000,2000,0.0012969674
82,167936,10731.307828187943,7.223804,-168.0,1.7183561,0.7443055808544159,-192.24,21495808,0.0017232825,1975,-184.0,0.07713127,2000.0,2000,2000,0.00017224519
83,169984,10861.117835521698,7.407199,-168.0,1.692054,0.7344430387020111,-192.72,21757952,0.0015530316,2019,-184.0,0.060110092,2000.0,2000,2000,-5.286487e-06
84,172032,10990.515351057053,7.655075,-168.0,1.6829149,0.7215321362018585,-193.26,22020096,0.004084475,2025,-184.0,0.19972324,2000.0,2000,2000,0.0027267628
85,174080,11122.41574549675,7.653209,-168.0,1.662329,0.7366650104522705,-194.34,22282240,0.001651915,1987,-186.0,0.06976509,2000.0,2000,2000,-9.960201e-05
86,176128,11251.746321439743,7.557209,-168.0,1.662041,0.7182424068450928,-194.58,22544384,0.0019501096,2026,-184.0,0.09181881,2000.0,2000,2000,0.000978728
87,178176,11381.104448318481,7.386333,-168.0,1.6393143,0.7103131711483002,-195.24,22806528,0.0025103563,2026,-192.0,0.119374275,2000.0,2000,2000,0.0016610556
88,180224,11509.300171613693,7.4771314,-168.0,1.5883551,0.7104396224021912,-195.32,23068672,0.0022629786,2044,-190.0,0.09708023,2000.0,2000,2000,-5.7063407e-06
89,182272,11637.020658254623,7.5764093,-168.0,1.5676373,0.6864793300628662,-195.78,23330816,0.0018116337,2052,-194.0,0.07022762,2000.0,2000,2000,0.000308917
90,184320,11764.925129413605,7.5400887,-168.0,1.5154624,0.6778105199337006,-195.9,23592960,0.001711458,2049,-194.0,0.062028885,2000.0,2000,2000,-0.0002558326
91,186368,11892.436273813248,7.8104815,-168.0,1.4732015,0.6677918136119843,-195.9,23855104,0.0013138778,2058,-194.0,0.042787552,2000.0,2000,2000,-0.00033172176
92,188416,12018.380467176437,7.661159,-168.0,1.456263,0.6600468158721924,-195.96,24117248,0.0019164466,2081,-194.0,0.08621502,2000.0,2000,2000,0.00071202044
93,190464,12147.403139829636,7.7832417,-168.0,1.4239013,0.6550230979919434,-195.98,24379392,0.0009639274,2031,-194.0,0.04187584,2000.0,2000,2000,-0.000119913224
94,192512,12276.127565383911,8.122115,-168.0,1.4036714,0.6348417103290558,-195.98,24641536,0.0009884052,2036,-194.0,0.052261353,2000.0,2000,2000,0.0002847576
95,194560,12405.634091615677,7.5913463,-168.0,1.4145318,0.6499896347522736,-196.0,24903680,0.001000325,2024,-196.0,0.04606247,2000.0,2000,2000,-0.00011259447
96,196608,12537.406441450119,7.594048,-168.0,1.4090639,0.6241604387760162,-196.0,25165824,0.0008147687,1989,-196.0,0.030338287,2000.0,2000,2000,-5.1316558e-05
97,198656,12672.065281867981,7.5979176,-168.0,1.3864852,0.6243153810501099,-196.0,25427968,0.00097302813,1946,-196.0,0.03717041,2000.0,2000,2000,-0.0002949703
98,200704,12803.327209711075,7.7098584,-168.0,1.366167,0.6201066374778748,-196.0,25690112,0.0009128266,1997,-196.0,0.027752876,2000.0,2000,2000,-0.00012229552
99,202752,12933.565323114395,7.583494,-168.0,1.3453413,0.6077630519866943,-196.0,25952256,0.0015201262,2012,-196.0,0.06587601,2000.0,2000,2000,0.0005780272
100,204800,13065.29467511177,7.5960655,-168.0,1.3470469,0.6147748231887817,-196.0,26214400,0.0011880313,1990,-196.0,0.055895805,2000.0,2000,2000,0.000715099
101,206848,13198.725323438644,7.5778346,-168.0,1.3439236,0.6047661006450653,-196.0,26476544,0.001408283,1966,-196.0,0.07258034,2000.0,2000,2000,0.0007421818
102,208896,13328.341916799545,7.3774395,-168.0,1.3346888,0.6141592562198639,-196.0,26738688,0.0013057515,2022,-196.0,0.06774902,2000.0,2000,2000,0.000531855
103,210944,13455.688685417175,7.464258,-168.0,1.3099773,0.6089664697647095,-196.0,27000832,0.0012994276,2058,-196.0,0.068481445,2000.0,2000,2000,0.0007521288
104,212992,13583.257820606232,7.263727,-168.0,1.3309716,0.6093045771121979,-196.0,27262976,0.0010919767,2054,-196.0,0.05761528,2000.0,2000,2000,0.00041413482
105,215040,13710.345952510834,7.204201,-168.0,1.3205854,0.6054573059082031,-196.0,27525120,0.0010284802,2062,-196.0,0.051926613,2000.0,2000,2000,0.00024500297
106,217088,13840.586644649506,6.7966847,-168.0,1.2753385,0.6089350879192352,-196.0,27787264,0.001394905,2012,-196.0,0.060491562,2000.0,2000,2000,0.00035661072
107,219136,13968.135202407837,6.9341917,-168.0,1.2600876,0.6158221662044525,-196.0,28049408,0.0012414898,2055,-196.0,0.053679466,2000.0,2000,2000,0.0007552858
108,221184,14099.065608024597,6.692012,-168.0,1.2383094,0.6038535833358765,-196.0,28311552,0.0008581638,2002,-196.0,0.025660515,2000.0,2000,2000,-0.00011486328
109,223232,14229.799350261688,6.8315907,-168.0,1.2223063,0.6047135591506958,-196.0,28573696,0.00087529887,2005,-196.0,0.041049004,2000.0,2000,2000,0.00036939257
110,225280,14359.035158634186,6.5385904,-168.0,1.2331177,0.5862882733345032,-196.0,28835840,0.001553803,2028,-196.0,0.07797432,2000.0,2000,2000,0.0010138102
111,227328,14488.607373476028,6.500246,-168.0,1.2331146,0.5818621218204498,-196.0,29097984,0.0014517347,2024,-196.0,0.08118343,2000.0,2000,2000,0.0009309592
112,229376,14618.642793655396,6.5886183,-168.0,1.2113096,0.6029862463474274,-196.0,29360128,0.0018793676,2015,-196.0,0.09990978,2000.0,2000,2000,0.0016865698
113,231424,14747.339632034302,6.5940566,-168.0,1.1912723,0.6018260717391968,-196.0,29622272,0.0010280424,2036,-196.0,0.053530693,2000.0,2000,2000,0.00045721512
114,233472,14878.434162139893,6.683768,-168.0,1.185622,0.5971157550811768,-196.0,29884416,0.0009039833,1999,-196.0,0.04354763,2000.0,2000,2000,0.0005250392
115,235520,15009.21998167038,7.1993804,-168.0,1.1769007,0.5708494484424591,-196.0,30146560,0.0018793411,2004,-196.0,0.0958004,2000.0,2000,2000,0.001691516
116,237568,15141.61775636673,6.5735354,-168.0,1.1890867,0.6001459360122681,-196.0,30408704,0.0010039365,1980,-196.0,0.05008793,2000.0,2000,2000,0.00030177584
117,239616,15273.379017353058,6.5537853,-168.0,1.1806598,0.5869172513484955,-196.0,30670848,0.0011535855,1989,-196.0,0.06107235,2000.0,2000,2000,0.0007539681
118,241664,15407.63935494423,6.258866,-168.0,1.1803335,0.5821924805641174,-196.0,30932992,0.0009257197,1952,-196.0,0.04621029,2000.0,2000,2000,0.00033045877
119,243712,15539.288490056992,6.4153867,-168.0,1.2049905,0.5723724067211151,-196.0,31195136,0.0015563703,1991,-196.0,0.08578491,2000.0,2000,2000,0.0011219876
120,245760,15670.706619024277,6.1733794,-168.0,1.1633874,0.5708121061325073,-196.0,31457280,0.000802571,1994,-196.0,0.03744316,2000.0,2000,2000,0.0001819946
121,247808,15797.695748567581,6.1989255,-168.0,1.1709428,0.5750181972980499,-196.0,31719424,0.0009767961,2065,-196.0,0.049333572,2000.0,2000,2000,0.0005122486
122,249856,15929.566061735153,6.2587724,-168.0,1.1970783,0.5890238881111145,-196.0,31981568,0.0010246898,1988,-196.0,0.05243492,2000.0,2000,2000,0.0004012707
123,251904,16055.468826532364,6.1988316,-168.0,1.1722695,0.5875100791454315,-196.0,32243712,0.0008025301,2082,-196.0,0.038184166,2000.0,2000,2000,0.00012641924
124,253952,16182.508057117462,6.4996743,-168.0,1.1725477,0.5787969827651978,-196.0,32505856,0.0020274112,2063,-196.0,0.103899,2000.0,2000,2000,0.0018899437
125,256000,16313.526051044464,6.569747,-168.0,1.154917,0.5560336410999298,-196.0,32768000,0.0009806914,2000,-196.0,0.054501534,2000.0,2000,2000,0.0002669431
126,258048,16442.30557179451,5.9466286,-168.0,1.1567583,0.6037474274635315,-196.0,33030144,0.00086260267,2035,-196.0,0.037636757,2000.0,2000,2000,0.0002626577
127,260096,16574.403913736343,5.9952955,-168.0,1.1421717,0.5642620325088501,-196.0,33292288,0.0013500912,1984,-196.0,0.06752682,2000.0,2000,2000,0.0007789479
128,262144,16707.54968070984,6.0135813,-168.0,1.1560856,0.5545676648616791,-196.0,33554432,0.00090074865,1968,-196.0,0.04436016,2000.0,2000,2000,0.00036982412
129,264192,16836.696565151215,5.9953914,-168.0,1.1523494,0.5563086271286011,-196.0,33816576,0.0007369454,2029,-196.0,0.037615776,2000.0,2000,2000,0.00015514104
130,266240,16967.735572099686,5.9086995,-168.0,1.1454653,0.5568610429763794,-196.0,34078720,0.00097462744,2000,-196.0,0.034978867,2000.0,2000,2000,0.000111304114
131,268288,17094.322086811066,5.9383197,-168.0,1.1212815,0.5618564784526825,-196.0,34340864,0.00080605596,2072,-196.0,0.04104805,2000.0,2000,2000,0.00021749333
132,270336,17223.284408807755,5.9370313,-168.0,1.1212058,0.5642687380313873,-196.0,34603008,0.0013237324,2032,-196.0,0.068888664,2000.0,2000,2000,0.00082764303
133,272384,17352.345666646957,5.8002796,-168.0,1.0878247,0.5583010613918304,-196.0,34865152,0.001265621,2031,-196.0,0.06891155,2000.0,2000,2000,0.0005539202
134,274432,17480.929885149002,6.07077,-168.0,1.0848646,0.5467408299446106,-196.0,35127296,0.0016662824,2038,-196.0,0.082920074,2000.0,2000,2000,0.0011474361
135,276480,17610.12740111351,6.041436,-168.0,1.0960057,0.5451043844223022,-196.0,35389440,0.0008908393,2029,-196.0,0.047261238,2000.0,2000,2000,0.0005762527
136,278528,17739.32107758522,6.520839,-168.0,1.0886517,0.549787700176239,-196.0,35651584,0.0012061886,2029,-196.0,0.056586266,2000.0,2000,2000,0.00037541328
137,280576,17868.58256316185,5.7052445,-168.0,1.1177608,0.560837596654892,-196.0,35913728,0.0008552034,2028,-196.0,0.022767067,2000.0,2000,2000,-9.8651006e-05
138,282624,17998.597138881683,5.8443685,-168.0,1.0968466,0.5476982593536377,-196.0,36175872,0.0009102164,2016,-196.0,0.04369831,2000.0,2000,2000,0.00031018106
139,284672,18127.650362968445,5.8696074,-168.0,1.0976533,0.531928300857544,-196.0,36438016,0.0011060928,2031,-196.0,0.050798416,2000.0,2000,2000,0.00037775378
140,286720,18259.8664560318,6.108179,-168.0,1.0916548,0.5112507045269012,-196.0,36700160,0.0012025811,1982,-196.0,0.046637535,2000.0,2000,2000,0.00050054264
141,288768,18391.750969409943,5.862262,-168.0,1.0810815,0.5148946642875671,-196.0,36962304,0.0010518245,1988,-196.0,0.053264618,2000.0,2000,2000,0.00014579485
142,290816,18523.52257514,6.059773,-168.0,1.0685388,0.5120308101177216,-196.0,37224448,0.00079329155,1989,-196.0,0.042881012,2000.0,2000,2000,0.00023635762
143,292864,18650.698153734207,6.0317564,-168.0,1.0683637,0.4909544587135315,-196.0,37486592,0.0009809864,2061,-196.0,0.04965973,2000.0,2000,2000,0.00016823207
144,294912,18778.364032030106,5.9953527,-168.0,1.0581589,0.49243301153182983,-196.0,37748736,0.00090109,2053,-196.0,0.050657272,2000.0,2000,2000,0.00024057161
145,296960,18908.904673814774,6.1124253,-168.0,1.0605133,0.4876214861869812,-196.0,38010880,0.001073057,2008,-196.0,0.049780846,2000.0,2000,2000,0.0006604445
146,299008,19038.14605307579,7.240455,-168.0,1.0946323,0.47006338834762573,-196.0,38273024,0.0011967662,2028,-196.0,0.06499767,2000.0,2000,2000,0.0006950209
147,301056,19168.887593507767,6.336622,-168.0,1.1073513,0.49668413400650024,-196.0,38535168,0.0016069936,2005,-196.0,0.079740524,2000.0,2000,2000,0.00094827765
148,303104,19301.941993951797,6.048781,-168.0,1.1058339,0.5001559555530548,-196.0,38797312,0.00095552776,1970,-196.0,0.050180435,2000.0,2000,2000,0.00018648236
149,305152,19435.23104763031,6.1224275,-168.0,1.0977898,0.4905024766921997,-196.0,39059456,0.0009154255,1966,-196.0,0.04367733,2000.0,2000,2000,0.00013860654
150,307200,19562.67117357254,6.3160663,-168.0,1.0986965,0.4991934895515442,-196.0,39321600,0.0013054652,2057,-196.0,0.07079506,2000.0,2000,2000,0.0007660442
151,309248,19690.707262039185,5.9736743,-168.0,1.0712532,0.5046494007110596,-196.0,39583744,0.00085813715,2048,-196.0,0.037519455,2000.0,2000,2000,9.626406e-05
152,311296,19819.086978435516,6.251166,-168.0,1.0682648,0.4758392572402954,-196.0,39845888,0.0062278234,2042,-196.0,0.22623634,2000.0,2000,2000,0.004567108
153,313344,19948.9415743351,6.340424,-168.0,1.0958233,0.4638770818710327,-196.0,40108032,0.0008715873,2018,-196.0,0.04738331,2000.0,2000,2000,0.0002851578
154,315392,20076.264323234558,6.3320312,-168.0,1.0939833,0.48519444465637207,-196.0,40370176,0.0010110614,2058,-196.0,0.050665855,2000.0,2000,2000,0.0004169179
155,317440,20206.461087465286,6.006808,-168.0,1.0652784,0.49304550886154175,-196.0,40632320,0.00083910517,2013,-196.0,0.039416313,2000.0,2000,2000,0.00016573978
156,319488,20335.90805864334,6.3632793,-168.0,1.0719584,0.4956645369529724,-196.0,40894464,0.0017982906,2025,-196.0,0.0828886,2000.0,2000,2000,0.0010448025
157,321536,20464.692465543747,7.066173,-168.0,1.0597124,0.496428906917572,-196.0,41156608,0.00094427465,2035,-196.0,0.051743507,2000.0,2000,2000,0.00032645487
