serial_timesteps,nupdates,clipfrac,policy_loss,eprewmean,eplenmean,policy_entropy,value_loss,curbestlen,time_elapsed,approxkl,explained_variance,curbestrew,total_timesteps,epbestrew,epbestlen,fps
448512,219,0.005554199,-0.00050212146,44.11200000000001,560.68,1.0131397,215.63806,161,11824.06477689743,0.0023586222,0.03881651163101196,104.1,28704768,110.0,102,2391
450560,220,0.008205414,-0.0004505579,34.778999999999996,593.95,0.9846499,230.72458,136,11879.034274101257,0.0023153236,0.04627799987792969,106.6,28835840,110.0,102,2384
452608,221,0.008598328,-8.4466774e-05,34.695,584.78,0.9939003,231.94455,142,11932.605662345886,0.0019952187,0.04083949327468872,106.0,28966912,110.0,102,2447
454656,222,0.0069293976,3.3343204e-06,42.038999999999994,541.37,0.984121,245.51884,152,11986.271821975708,0.0017113417,0.04110676050186157,105.0,29097984,110.0,102,2442
456704,223,0.0036392212,-3.120569e-05,44.515999999999984,566.65,0.9820462,225.8231,150,12040.108143091202,0.001294837,0.04891103506088257,105.2,29229056,110.0,102,2434
458752,224,0.0049037933,-0.00018777266,27.181000000000004,609.87,0.9933491,219.29813,153,12094.777980089188,0.0021926593,0.04289883375167847,104.9,29360128,110.0,102,2397
460800,225,0.003616333,-0.0001679098,42.742000000000004,544.35,0.97122544,242.42012,150,12148.629782915115,0.0015940485,0.048599064350128174,105.2,29491200,110.0,102,2434
462848,226,0.040369034,0.0009798956,42.76400000000002,544.13,0.97086424,243.50305,143,12203.112932682037,0.0034012005,0.050694286823272705,105.9,29622272,110.0,102,2405
464896,227,0.0159626,-0.00063165557,50.82900000000001,533.55,0.94875073,218.121,126,12257.406188249588,0.003199121,0.055196940898895264,107.6,29753344,110.0,102,2414
466944,228,0.013086319,-4.3978707e-05,31.478999999999996,606.93,0.9716181,236.65828,160,12312.332464456558,0.002609383,0.03959697484970093,104.2,29884416,110.0,102,2386
468992,229,0.005056381,-5.0597697e-05,28.27799999999999,628.93,0.96991986,213.62273,118,12366.42694067955,0.0013744769,0.04155606031417847,108.4,30015488,110.0,102,2423
471040,230,0.0027809143,-8.117419e-05,36.779,573.95,0.9620765,223.7786,155,12420.858162879944,0.0015237815,0.04760044813156128,104.7,30146560,110.0,102,2408
473088,231,0.006547928,-0.0003935574,50.00500000000001,551.8,0.971029,230.98895,148,12474.962089538574,0.0017097347,0.04469829797744751,105.4,30277632,110.0,102,2423
475136,232,0.005290985,-0.00047703605,31.706,614.67,0.98399985,211.59406,121,12528.110028266907,0.0024890685,0.046636879444122314,108.1,30408704,110.0,102,2466
477184,233,0.01285553,0.0002773419,40.19,559.86,0.9650474,232.92673,131,12581.818699359894,0.0018296406,0.04780268669128418,107.1,30539776,110.0,102,2440
479232,234,0.024642944,1.4015022e-06,30.252000000000002,619.2,0.93681264,210.12802,144,12636.643970251083,0.0026394783,0.05582845211029053,105.8,30670848,110.0,102,2390
481280,235,0.016012192,-0.0006028203,33.066,591.06,0.94514567,221.41853,144,12691.354034423828,0.0029923157,0.054782211780548096,105.8,30801920,110.0,102,2395
483328,236,0.009988785,-0.00020311488,44.69100000000001,534.87,0.9540802,242.57217,158,12746.900385856628,0.0018728417,0.0499340295791626,104.4,30932992,110.0,102,2359
485376,237,0.019433975,-0.00033049437,39.59499999999999,555.8,0.9463,221.5319,130,12801.063667297363,0.0030931707,0.04987078905105591,107.2,31064064,110.0,102,2420
487424,238,0.0023479462,1.2111541e-05,42.413999999999994,557.64,0.945417,242.06381,153,12855.677847623825,0.0010496372,0.05154848098754883,104.9,31195136,110.0,102,2400
489472,239,0.00799942,-0.00017562511,43.768,554.11,0.9219294,240.79568,113,12909.865901470184,0.0015760742,0.056025564670562744,108.9,31326208,110.0,102,2419
491520,240,0.006948471,-0.0004898562,34.058,601.16,0.9367139,227.04636,120,12964.456340789795,0.0021758042,0.05233931541442871,108.2,31457280,110.0,102,2401
493568,241,0.04584503,0.0010118381,42.211999999999996,549.65,0.9095463,245.50642,157,13020.22529244423,0.0041346382,0.05975693464279175,104.5,31588352,110.0,102,2351
495616,242,0.019641876,-0.0004864588,55.31500000000001,488.69,0.9509064,252.75926,160,13073.609754800797,0.0029979942,0.04761987924575806,104.2,31719424,110.0,102,2455
497664,243,0.009683609,-0.00054048176,50.812000000000005,513.7,0.9390981,264.53662,139,13126.791728019714,0.0027530093,0.05385947227478027,106.3,31850496,110.0,102,2464
499712,244,0.0064754486,-4.507445e-05,54.38300000000001,488.0,0.91575074,269.21402,143,13181.54701256752,0.0014905365,0.05597877502441406,105.9,31981568,110.0,102,2393
