n_updates,advstd,eplen,advmean,opt_vf,best_ext_ret,vpredmean,eprew,ups,opt_feat_var,rank,eprew_recent,vpredstd,total_secs,retmean,recent_best_ext_ret,opt_pg,retstd,ev,opt_ent,opt_tot,opt_clipfrac,tps,epcount,tcount,opt_dyn_loss,rew_mean,opt_approxkl
406,11.836055,876.63,0.22031768,79.12923,370.45,11.613463,136.59050000000002,0.002171412201891929,0.22726366,0,107.9951048951049,52.640057,185909.3200418949,11.833781,366.0,0.050603792,53.294605,0.9506772384047508,0.9941059,79.17883,0.0,555.8815236843338,108682.0,103878508.0,0.077912234,0.12285228,1.512296e-11
407,11.990148,891.9,-0.26363915,62.39594,370.45,16.61882,139.6925,0.0021822723957007685,0.1976749,0,130.2600346020761,55.07793,186367.55797863007,16.355183,354.65,-0.4238265,55.73348,0.9537174999713898,1.0358795,61.971077,0.0,558.6617332993967,108971.0,104134159.0,0.067747265,0.15178804,1.4226215e-11
408,12.383478,869.25,-1.2652487,82.95585,370.45,17.615168,117.62899999999999,0.0021796595340132863,0.20407188,0,108.08689655172414,50.54639,186826.3452270031,16.34992,363.45,1.377661,51.720535,0.9426729865372181,1.0465544,84.332466,0.0,557.9928407074013,109261.0,104389843.0,0.071674705,0.12744018,1.4273661e-11
409,11.828272,875.75,-0.6388089,77.1991,370.45,15.594718,121.45249999999999,0.0021851005285268795,0.19592752,0,108.73512110726642,50.21852,187283.9900753498,14.955909,364.4,1.0008729,51.809547,0.9478777684271336,1.0286467,78.198944,0.0,559.3857353028811,109550.0,104646465.0,0.07089905,0.12957695,1.3833017e-11
410,12.058071,900.75,-0.69137496,73.35585,370.45,15.154798,115.36300000000001,0.002190333045474942,0.1883678,0,110.68067375886524,47.86885,187740.54164958,14.463422,364.45,0.10670047,49.749207,0.9412533156573772,1.0269336,73.461525,0.0,560.7252596415851,109832.0,104897631.0,0.06665712,0.12324298,1.3534771e-11
411,12.11677,873.34,-0.09558713,76.303215,370.45,16.52776,146.81449999999998,0.0021654121563987215,0.210517,0,131.76860465116278,51.37906,188202.34749889374,16.43217,355.7,0.27179518,53.471714,0.948651771992445,1.010672,76.574,0.0,554.3455120380727,110133.0,105163210.0,0.07355141,0.16499244,1.3619098e-11
412,12.15755,852.95,0.28464365,82.46583,370.45,13.28264,153.3735,0.0021485345793852834,0.20573148,0,129.04484536082475,49.85646,188667.78101325035,13.567286,366.25,0.6384584,52.021282,0.9453827291727066,1.0328193,83.10326,0.0,550.0248523226325,110424.0,105416474.0,0.0751096,0.15078565,1.41108245e-11
413,12.109757,887.75,0.21331961,79.27591,370.45,14.619286,120.40700000000001,0.002164503516082255,0.20181175,0,137.71535836177478,51.901775,189129.78072476387,14.832605,365.5,0.7627083,53.779903,0.9492973238229752,1.0447767,80.037575,0.0,554.1129001170573,110717.0,105673604.0,0.072698995,0.16271242,1.4286449e-11
414,11.685409,865.34,0.9441426,73.16448,370.45,10.066576,154.8985,0.0022054929472351274,0.20575339,0,135.65173010380622,49.69008,189583.19409942627,11.010716,370.1,-0.1390184,52.6112,0.9506676904857159,1.0270877,73.02444,0.0,564.6061944921926,111006.0,105926681.0,0.07128697,0.15691473,1.4891114e-11
415,11.79308,878.87,0.31538177,83.478035,370.45,12.368788,115.54549999999999,0.002183965762718443,0.216837,0,126.50672413793103,51.258827,190041.0767352581,12.684169,356.45,-0.3817434,53.12587,0.9507232122123241,1.033639,83.09526,0.0,559.0952352559215,111296.0,106181750.0,0.077732146,0.1480262,1.5918182e-11
