recent_best_eplen,n_updates,eprew_recent,epcount,eprew,eplen,total_secs,recent_worst_eplen,eplen_std,rew_mean,best_ext_ret,tcount,best_eplen,eprew_std,recent_best_ext_ret
52,50,223.2673703901657,97480.0,223.69799999999998,67.99,9371.000400304794,190,10.617433776577089,3.2814941,230.6,12795570.0,51,4.208514702362343,230.0
51,51,223.47926474477654,101261.0,223.838,67.0,9558.926590681076,375,9.645724441429996,3.3152857,230.6,13051888.0,51,4.005141196012945,230.4
51,52,223.95451225873762,105095.0,224.609,65.44,9744.392840862274,215,12.20845608584476,3.3739479,230.6,13307278.0,51,5.048427378897314,230.4
51,53,224.37905665214046,108996.0,224.37000000000003,65.0,9932.22059392929,279,9.162968951164245,3.4340296,230.6,13563536.0,51,4.38443839048971,230.4
51,54,224.75209914011128,112950.0,224.64299999999994,64.81,10123.056708097458,161,9.026289381578678,3.488164,230.6,13819825.0,51,4.032251356252485,230.4
51,55,225.03532350736947,116953.0,225.53800000000007,62.73,10311.402372121811,173,8.352071599309959,3.5410342,230.6,14075921.0,51,3.6226724941678077,230.4
52,56,225.26293723641777,120984.0,224.638,63.52,10498.339100837708,189,10.635299713689314,3.5617409,230.6,14331661.0,51,5.598299384634589,230.2
51,57,225.50874785591765,125065.0,225.73699999999997,62.38,10682.77728509903,375,11.567004798131624,3.611397,230.6,14588136.0,51,4.798034076577616,230.4
51,58,225.9450690574267,129192.0,225.79200000000003,62.09,10869.848547697067,173,9.859102393220187,3.659999,230.6,14843616.0,51,4.101821058993187,230.4
51,59,226.18892329680799,133390.0,226.37300000000008,60.79,11057.557925224304,375,7.986607540126157,3.7267349,230.6,15100045.0,51,3.5635054370661496,230.4
50,60,226.6484499765148,137648.0,227.29000000000005,58.84,11241.018525362015,180,8.139680583413577,3.7848692,230.8,15356047.0,50,3.245258079105575,230.8
51,61,226.7409048288795,141914.0,227.05900000000003,59.21,11426.914384365082,209,8.608478378900653,3.7953384,230.8,15611883.0,50,3.5061687067224825,230.4
50,62,226.76422745280823,146205.0,226.487,60.67,11618.372283220291,195,10.663071790061249,3.8183084,230.8,15868071.0,50,4.2956642094093,230.8
51,63,227.15998624168768,150566.0,226.97799999999995,59.26,11806.34418964386,300,7.181392622604616,3.8875494,230.8,16124326.0,50,3.101469974060687,230.6
50,64,227.29423076923075,154934.0,227.231,58.43,11993.470453500748,139,6.678704964287612,3.8935993,230.8,16380074.0,50,3.104277532695813,230.8
50,65,227.4055921800409,159333.0,227.515,58.08,12180.950590372086,223,8.809858114634991,3.9238691,231.0,16636064.0,50,3.5567506238138193,231.0
51,66,227.37597269624573,163728.0,227.08700000000002,58.59,12368.015322208405,375,7.375764367169006,3.9205997,231.0,16891647.0,50,3.763074673720946,230.4
51,67,227.63105002253266,168166.0,227.56600000000003,57.98,12554.430497646332,369,8.690201378564252,3.9611351,231.0,17147880.0,50,3.5154294190041715,230.4
51,68,227.77379834562933,172639.0,227.831,57.27,12740.13299036026,123,7.987308683154796,3.9970179,231.0,17404194.0,50,3.244123764593454,230.4
51,69,227.77107623318386,177099.0,227.78400000000005,57.6,12928.936979532242,254,7.103520254071217,3.9843957,231.0,17660188.0,50,2.8150921832153193,230.4
51,70,227.91418692839616,181582.0,228.012,57.03,13117.207320928574,250,7.809551843735978,4.004824,231.0,17916095.0,50,3.0837081573975165,230.4
50,71,227.9986465498114,186089.0,228.08100000000002,56.65,13306.51230764389,131,5.89639720507362,4.0332026,231.0,18171986.0,50,2.482365605627018,230.8
51,72,228.03396853534235,190602.0,227.71400000000003,57.37,13493.862925767899,142,7.98580615842884,4.035953,231.0,18428004.0,50,3.957550252365724,230.4
50,73,228.14452763708437,195143.0,228.38800000000003,56.09,13677.799338579178,134,4.292074090693217,4.058581,231.0,18684504.0,50,1.6921749318554509,230.8
50,74,228.14296132596687,199668.0,228.23499999999996,56.26,13867.856141805649,141,7.205026023547728,4.049325,231.0,18939969.0,50,2.9382775566647896,230.8
50,75,228.0871166997573,204201.0,227.32,57.94,14054.147182941437,363,12.674241594667508,4.054812,231.0,19196160.0,50,5.494014925352861,230.8
51,76,228.14509026860415,208743.0,228.34299999999996,56.17,14240.400067806244,375,7.248523987681906,4.064289,231.0,19452109.0,50,2.8762564211140833,230.4
50,77,228.26128749726297,213310.0,227.95600000000002,56.95,14425.789990663528,135,8.172361959678488,4.0847087,231.0,19708521.0,50,3.3297843774034384,230.8
50,78,228.2582583899978,217869.0,228.21900000000002,55.89,14611.999389886856,123,4.70721786196475,4.0814905,231.0,19964187.0,50,2.495062925058203,230.9
51,79,228.20897914379802,222424.0,228.293,55.9,14801.30734372139,375,5.712267500739089,4.075579,231.0,20220173.0,50,2.4911545516085507,230.4
51,80,228.39432562199914,227006.0,228.44,55.96,14988.066890239716,181,4.471957065983528,4.104776,231.0,20476318.0,50,1.7775826281779403,230.4
51,81,228.3926297426952,231592.0,228.36899999999997,55.9,15175.707570314407,126,4.778074926160116,4.10773,231.0,20732297.0,50,2.051618629277867,230.4
51,82,228.36704372416796,236189.0,228.55699999999996,55.66,15362.951078414917,375,3.965400358097528,4.114201,231.0,20988453.0,50,1.5718304615956502,230.4
49,83,228.5178997613365,240798.0,228.47499999999997,55.86,15551.039731025696,136,5.587521812037962,4.1330385,231.3,21244469.0,49,2.1985165453095856,231.3
50,84,228.47374241110145,245410.0,228.48199999999997,55.42,15736.850101709366,375,4.209940617158395,4.129391,231.3,21500528.0,49,2.330509815469567,230.8
51,85,228.5372451193059,250020.0,228.52699999999996,55.72,15923.620435714722,174,7.470046853936059,4.1330924,231.3,21756143.0,49,2.975058150692183,230.5
51,86,228.47953114825265,254627.0,228.48399999999995,55.62,16111.322105884552,266,8.431820681205217,4.1255536,231.3,22012372.0,49,3.465825154274231,230.4
51,87,228.53104646113763,259233.0,228.51,55.57,16298.301802396774,189,5.911438065310335,4.129845,231.3,22267955.0,49,2.480262082925915,230.4
50,88,228.5540090771558,263860.0,228.453,55.1,16487.874342918396,138,3.7802116342871597,4.1441164,231.3,22524384.0,49,2.655125420766408,230.8
50,89,228.59686554258542,268486.0,228.30199999999996,56.28,16676.922132253647,208,8.91524536959023,4.146787,231.3,22780352.0,49,3.556570820326793,230.8
50,90,228.6371200689804,273125.0,228.40600000000006,55.63,16863.410364627838,122,7.3724554932532484,4.157102,231.3,23036436.0,49,3.121308059131618,230.8
51,91,228.60751944684532,277753.0,228.84600000000003,54.72,17048.98591375351,142,3.0235078964672804,4.151974,231.3,23292401.0,49,1.4637226513243529,230.4
50,92,228.6493103448276,282393.0,228.26399999999998,55.38,17237.68188071251,136,6.064288911323405,4.1582255,231.3,23548508.0,49,3.1222594382914437,230.8
49,93,228.76027485505688,287050.0,228.76999999999995,55.11,17425.540365457535,157,4.6581004712221485,4.175328,231.3,23804573.0,49,1.8233211456021656,231.2
50,94,228.67778496013793,291691.0,228.65,55.43,17609.12847828865,148,4.264399137041466,4.1610947,231.3,24060652.0,49,1.6824089871371937,230.8
50,95,228.71256184125616,296340.0,228.82199999999997,54.59,17792.38332772255,375,2.25430698885489,4.168948,231.3,24316028.0,49,1.406526217316974,230.8
50,96,228.74251664161474,300997.0,228.789,54.85,17979.284682750702,331,4.058016756988566,4.20168,231.3,24572366.0,49,1.7963237458765602,230.8
50,97,228.81640959725792,305665.0,228.74399999999997,54.99,18166.77740097046,143,4.0804288990252,4.198469,231.3,24828430.0,49,1.7341464759356395,230.8
50,98,228.77192001720059,310316.0,229.11299999999994,54.27,18351.09526515007,151,1.7369801380557006,4.1814733,231.3,25084003.0,49,0.6661313684251755,230.8
51,99,228.76129931389363,314980.0,228.919,54.74,18536.698289871216,375,7.342506384062599,4.1867385,231.3,25340157.0,49,2.9374374886965673,230.6
50,100,228.86420782552918,319657.0,228.71999999999997,55.23,18722.957899093628,140,5.900601664237302,4.199639,231.3,25596288.0,49,2.333709493488851,230.8
50,101,228.86668804789394,324334.0,228.71399999999994,55.27,18906.85826444626,117,4.444895949288352,4.1993895,231.3,25852383.0,49,1.747055809068501,230.9
50,102,228.88893162393165,329014.0,229.033,54.45,19093.53706431389,140,2.2951034835057005,4.203681,231.3,26108314.0,49,0.8942097069479823,230.8
50,103,228.87154749199578,333699.0,228.826,54.57,19279.302030086517,290,3.0041804206804894,4.2045126,231.3,26364416.0,49,1.9752275818244336,230.8
51,104,228.87276804784275,338381.0,228.67299999999994,54.75,19463.386178970337,174,3.871369266809871,4.204647,231.3,26620344.0,49,1.9947859534295893,230.5
50,105,228.90831024930742,343074.0,228.949,54.66,19651.300063848495,140,4.057634779030759,4.213433,231.3,26876530.0,49,1.5953993230536352,230.8
