eprew_recent,tcount,total_secs,eprew,recent_best_ext_ret,eprew_std,best_eplen,eplen_std,n_updates,epcount,eplen,recent_best_eplen,rew_mean,recent_worst_eplen,best_ext_ret
100.8318622788663,8956703.0,7306.015846729279,101.47200000000001,110.7,5.687232718994362,23,14.233548398062938,35,89101.0,47.19,24,2.0813732,250,111.2
101.02523047977424,9212670.0,7516.234640598297,101.42999999999998,110.4,5.537625845071153,23,13.811647258745065,36,94416.0,47.28,25,2.106708,250,111.2
101.49955882352943,9468507.0,7724.934676647186,100.31500000000004,110.7,7.442746468878274,23,18.68548902223327,37,99856.0,50.05,24,2.166767,250,111.2
101.86184210526316,9724402.0,7931.785351514816,101.443,111.2,6.311200440486739,23,15.785623205942803,38,105404.0,47.29,23,2.2172053,250,111.2
102.08035237586759,9980750.0,8137.862062692642,102.83300000000001,111.1,3.95820805415784,23,9.948487322201299,39,111023.0,43.74,23,2.249732,250,111.2
102.24429530201341,10236804.0,8345.621338367462,101.462,110.7,6.411377075168796,23,16.02895816951308,40,116685.0,47.25,24,2.2723596,250,111.2
102.38847029963203,10492795.0,8555.402123212814,102.52399999999997,110.6,4.448620460322503,23,11.199013349398241,41,122392.0,44.61,24,2.292866,250,111.2
102.58216637781629,10749085.0,8766.277467012405,102.39500000000002,110.6,4.657496645194713,23,11.705635394971091,42,128162.0,44.91,24,2.323213,176,111.2
102.67461578311173,11004944.0,8977.667801141739,102.16799999999999,110.8,4.7455427508347245,23,11.905813705916955,43,133953.0,45.46,24,2.3315797,157,111.2
102.93731317934781,11261196.0,9190.271981954575,102.979,111.4,4.16363531063901,22,10.375061445601178,44,139841.0,43.41,22,2.37699,166,111.4
102.99732112580536,11516998.0,9397.598692417145,102.53400000000002,111.0,4.3773101329469455,22,10.976793703081059,45,145739.0,44.5,23,2.383163,168,111.4
103.04091829844698,11773309.0,9608.639756679535,102.833,110.6,5.028002684963483,22,12.597396556431807,46,151663.0,43.84,24,2.394236,197,111.4
103.34169299850326,12028929.0,9817.906447172165,103.223,111.4,2.479953830215393,22,6.244765808258946,47,157676.0,42.77,22,2.4383366,168,111.4
103.34436514522821,12285028.0,10027.01687669754,103.71599999999998,111.5,4.308659188193005,22,10.787196113912087,48,163701.0,41.58,22,2.4432456,214,111.5
103.42885950413225,12540915.0,10235.154680967331,103.42699999999999,110.4,4.50532695816852,22,11.288826334034907,49,169751.0,42.32,25,2.4542742,211,111.5
103.53470192149778,12796809.0,10445.922681808472,103.73100000000002,111.5,4.227048497474331,22,10.546331115606032,50,175840.0,41.57,22,2.4732559,153,111.5
103.51359016393442,13053244.0,10656.308689832687,103.793,111.1,2.883895109049565,22,7.219272816565391,51,181940.0,41.39,23,2.477582,250,111.5
103.58129508196721,13308882.0,10867.092553853989,103.251,111.0,4.5286751925922015,22,11.363168572189714,52,188040.0,42.72,23,2.47696,173,111.5
103.5484585109872,13564956.0,11078.436399936676,103.10699999999999,110.7,5.575630098921556,22,13.930312272163896,53,194138.0,43.08,24,2.4773836,206,111.5
103.56646491084575,13820833.0,11289.194690704346,103.735,111.1,3.781967080766304,22,9.50079470360243,54,200251.0,41.57,23,2.485795,250,111.5
103.70285621551444,14077203.0,11496.346715688705,104.21800000000005,112.3,1.9835513605651858,20,5.017011062375685,55,206413.0,40.36,20,2.5068195,200,112.3
103.78892481810833,14333191.0,11710.150019168854,104.19800000000001,110.7,2.053435170634807,20,5.12034178546706,56,212598.0,40.39,24,2.5167918,201,112.3
103.8296224588577,14589096.0,11920.561886310577,104.25200000000001,111.1,1.3934475232314993,20,3.4899856733230297,57,218796.0,40.2,23,2.525967,219,112.3
103.78434923201293,14845173.0,12133.175904035568,103.42300000000002,111.4,3.213249290048938,20,8.005098375410512,58,224981.0,42.28,22,2.5181646,213,112.3
103.90133311917764,15101118.0,12341.812953710556,103.941,110.8,3.291172891234978,20,8.240121358329622,59,231207.0,40.98,24,2.5361211,164,112.3
103.97883048410289,15357176.0,12552.195749759674,104.296,110.7,2.2372715525836377,20,5.620275793944636,60,237466.0,40.15,24,2.5548,176,112.3
103.99864390555202,15613328.0,12763.987945079803,104.09199999999998,111.1,1.9987335990571633,20,5.041220090414621,61,243734.0,40.69,23,2.5571432,212,112.3
103.97120703437253,15869090.0,12979.039991378784,104.258,110.8,2.1255672184148873,20,5.344380225994405,62,249989.0,40.24,24,2.5530448,250,112.3
103.97977958792524,16125215.0,13188.95418047905,103.81499999999998,111.0,2.558490766057208,20,6.383878131668868,63,256250.0,41.31,23,2.5524719,170,112.3
104.05888429752066,16381346.0,13398.061611413956,103.733,111.2,3.8393503356687835,20,9.608844883751637,64,262542.0,41.51,23,2.5694106,143,112.3
104.11802785691674,16637143.0,13606.885114908218,104.044,110.8,2.909959449889293,20,7.248613660556066,65,268860.0,40.76,24,2.5796168,250,112.3
104.1564605408825,16893046.0,13818.88969707489,104.02400000000002,111.4,2.8365161730545445,20,7.1321525502473655,66,275183.0,40.82,22,2.5840132,158,112.3
104.17687697160883,17149057.0,14030.438411474228,103.94900000000001,110.8,2.2713650080953527,20,5.669073998458655,67,281523.0,41.04,24,2.592958,250,112.3
104.24186557788944,17405402.0,14243.623324394226,104.24,112.6,3.121922484623857,19,7.797044311788924,68,287891.0,40.31,19,2.605224,135,112.6
104.25366849960723,17661221.0,14454.954743862152,104.432,111.6,2.6227420765298297,19,6.572206630957368,69,294256.0,39.81,22,2.600863,250,112.6
104.30625587958609,17916909.0,14668.848779678345,104.53099999999999,111.0,2.0287777108397065,19,5.084279693329233,70,300634.0,39.51,23,2.6104715,182,112.6
104.31620015637216,18173185.0,14880.863101005554,104.675,111.4,1.8510199890870989,19,4.633993957699989,71,307029.0,39.19,22,2.617801,152,112.6
104.370355361596,18429377.0,15092.007001161575,104.75499999999998,111.2,2.3016678735212865,19,5.7651019071652145,72,313445.0,38.94,23,2.6262207,159,112.6
104.39384831023206,18685371.0,15304.31676197052,104.61499999999998,111.0,2.7555897735330634,19,6.932092036319196,73,319866.0,39.31,23,2.6314273,150,112.6
104.34684276336357,18941237.0,15514.560143947601,104.49799999999999,111.2,2.5928355134871164,19,6.527258229915529,74,326264.0,39.57,23,2.6203933,179,112.6
104.42160273334368,19197293.0,15726.938997268677,104.73,111.0,1.725775188140101,19,4.341555020957353,75,332703.0,39.03,23,2.6376812,250,112.6
104.45110111662531,19453456.0,15939.221705198288,104.642,111.2,2.130501349448059,19,5.361669516111562,76,339151.0,39.25,23,2.6411242,178,112.6
104.47489526764933,19709140.0,16153.73804807663,104.51299999999999,110.8,1.9005080899591043,19,4.7358631736991725,77,345596.0,39.54,24,2.6436238,139,112.6
104.39021620780838,19965278.0,16366.180813074112,104.64,111.5,2.2937741824338334,19,5.721634381887749,78,352025.0,39.23,22,2.6324704,250,112.6
104.47434944237916,20221365.0,16574.243542671204,104.85700000000001,110.7,1.7797895943060236,19,4.458374143115402,79,358481.0,38.73,24,2.6467056,122,112.6
104.49182282793866,20477202.0,16781.618991613388,104.63199999999999,111.0,1.633822511780273,19,4.058016756988566,80,364938.0,39.25,23,2.6472783,130,112.6
104.49480599783581,20733508.0,16990.508651971817,104.679,112.3,2.2302598503313464,19,5.58816606768267,81,371407.0,39.18,20,2.651928,133,112.6
