total_secs,best_ext_ret,eplen,rew_mean,epcount,ups,advmean,advstd,best_eplen,eprew,tps,recent_best_ext_ret,recent_best_eplen,tcount,n_updates,eprew_recent
20962.640664100647,44.0,250.0,-0.33533573,87937.0,0.004153548250645989,-0.081827566,4.2216187,220,-84.5,1063.3083521653732,-76.0,250,21984220.0,86,-84.626953125
21203.32103419304,44.0,250.0,-0.3349487,88961.0,0.004154888076730652,0.00023698437,4.2541947,220,-84.74,1063.6513476430468,-72.0,250,22240220.0,87,-84.513671875
21442.99021267891,44.0,250.0,-0.33486807,89985.0,0.004172418023533864,0.06392593,4.2846723,220,-84.62,1068.139014024669,-72.0,250,22496220.0,88,-84.48046875
21685.99164700508,44.0,250.0,-0.3356618,91009.0,0.004115202047152268,0.05326931,4.290188,220,-84.78,1053.4917240709808,-76.0,250,22752220.0,89,-84.64453125
21926.966019630432,44.0,250.0,-0.33533338,92033.0,0.004149818875365331,0.0031387357,4.271932,220,-84.8,1062.3536320935245,-76.0,250,23008220.0,90,-84.654296875
22170.13801908493,44.0,250.0,-0.33545953,93057.0,0.004112315571872071,-0.0145282345,4.276768,220,-85.1,1052.75278639925,-76.0,250,23264220.0,91,-84.63671875
22416.76158952713,44.0,250.0,-0.33498007,94081.0,0.004054762479543157,-0.08197091,4.2612863,220,-84.34,1038.019194763048,-76.0,250,23520220.0,92,-84.482421875
22662.55936717987,44.0,250.0,-0.33466157,95105.0,0.004068385034029011,-0.019121485,4.271773,220,-84.44,1041.506568711427,-76.0,250,23776220.0,93,-84.458984375
22904.261786699295,44.0,250.0,-0.33438224,96129.0,0.0041373189477717865,-0.007323214,4.279365,220,-84.38,1059.1536506295772,-76.0,250,24032220.0,94,-84.349609375
23151.91484260559,44.0,250.0,-0.3340655,97153.0,0.004037906967634467,0.006309202,4.2837186,220,-84.28,1033.7041837144236,-76.0,250,24288220.0,95,-84.30859375
23396.701982736588,44.0,250.0,-0.3336248,98177.0,0.0040851819236290545,0.010186442,4.2859206,220,-84.28,1045.806572449038,-72.0,250,24544220.0,96,-84.220703125
23643.286121845245,44.0,250.0,-0.33324713,99201.0,0.004055410877661307,-0.0129219545,4.2838564,220,-83.58,1038.1851846812947,-72.0,250,24800220.0,97,-84.095703125
23889.247954130173,44.0,250.0,-0.3332333,100225.0,0.00406567145280321,-0.021422302,4.269379,220,-84.06,1040.8118919176216,-76.0,250,25056220.0,98,-84.080078125
24137.23268890381,44.0,250.0,-0.33285904,101249.0,0.004032506278714352,0.034171022,4.280009,220,-83.88,1032.3216073508743,-72.0,250,25312220.0,99,-84.048828125
24383.935081720352,44.0,250.0,-0.3323907,102273.0,0.004053466967155177,0.055668082,4.296684,220,-83.54,1037.6875435917252,-72.0,250,25568220.0,100,-83.908203125
24630.41423726082,44.0,250.0,-0.33228445,103297.0,0.004057138210358005,0.09481346,4.3032765,220,-83.86,1038.6273818516495,-72.0,250,25824220.0,101,-83.921875
24875.91338443756,44.0,250.0,-0.3314888,104321.0,0.0040733339056370265,0.11057643,4.304615,220,-83.98,1042.7734798430788,-72.0,250,26080220.0,102,-83.66015625
25119.33402633667,44.0,250.0,-0.33060443,105345.0,0.004108115039867787,0.083704494,4.295771,220,-83.8,1051.6774502061535,-72.0,250,26336220.0,103,-83.5234375
25362.624068260193,44.0,250.0,-0.3292134,106369.0,0.004110320307784505,0.09998506,4.2914476,220,-82.84,1052.2419987928333,-68.0,250,26592220.0,104,-83.1015625
25603.95543527603,44.0,250.0,-0.3285446,107393.0,0.004143680170403915,0.06975796,4.2804937,220,-82.84,1060.7821236234024,-72.0,250,26848220.0,105,-83.01171875
25848.438707113266,44.0,250.0,-0.32639942,108417.0,0.004090259396830034,0.09896474,4.2795234,220,-82.08,1047.1064055884888,-72.0,250,27104220.0,106,-82.46875
26091.59091258049,44.0,250.0,-0.32505304,109441.0,0.004112650337999076,0.12064962,4.286474,220,-82.02,1052.8384865277635,-72.0,250,27360220.0,107,-82.171875
26334.9454164505,44.0,250.0,-0.32438973,110465.0,0.004109231528889876,0.09657517,4.282468,220,-81.28,1051.9632713958083,-68.0,250,27616220.0,108,-81.927734375
26578.975127458572,44.0,250.0,-0.32209662,111489.0,0.0040978616737653,0.11657971,4.2680926,220,-80.74,1049.052588483917,-72.0,250,27872220.0,109,-81.390625
26819.930352926254,44.0,250.0,-0.3223333,112513.0,0.004150148634706098,0.056824647,4.2373123,220,-81.64,1062.438050484761,-72.0,250,28128220.0,110,-81.359375
27064.583001613617,44.0,250.0,-0.31991506,113537.0,0.0040874276463603,0.08295178,4.255813,220,-80.64,1046.3814774682367,-72.0,250,28384220.0,111,-80.837890625
27309.291870594025,44.0,250.0,-0.3172756,114561.0,0.004086488586075986,0.069541216,4.2349524,220,-80.26,1046.1410780354524,-68.0,250,28640220.0,112,-80.30859375
27550.75152516365,44.0,250.0,-0.31417802,115585.0,0.004141478632454707,0.1256916,4.2574067,220,-79.28,1060.218529908405,-68.0,250,28896220.0,113,-79.388671875
27790.4244055748,44.0,250.0,-0.31107062,116609.0,0.004172353577444995,0.09181683,4.23427,220,-78.48,1068.1225158259185,-68.0,250,29152220.0,114,-78.716796875
28032.74500656128,44.0,250.0,-0.31085646,117633.0,0.004126764278105232,0.07057478,4.235894,220,-79.4,1056.4516551949393,-68.0,250,29408220.0,115,-78.51171875
28271.384613752365,44.0,250.0,-0.30831578,118657.0,0.0041904192341352215,0.15208113,4.244765,220,-77.64,1072.7473239386168,-68.0,250,29664220.0,116,-77.947265625
28510.97867012024,44.0,250.0,-0.30759916,119681.0,0.004173726239955611,0.13863744,4.258359,220,-77.14,1068.4739174286362,-68.0,250,29920220.0,117,-77.662109375
28754.884699821472,44.0,250.0,-0.30473,120705.0,0.004099939641610858,0.050593335,4.2191167,220,-76.92,1049.5845482523796,-68.0,250,30176220.0,118,-77.21484375
29000.150417089462,44.0,250.0,-0.30392987,121729.0,0.004077210672322981,0.031682916,4.2097454,220,-77.18,1043.765932114683,-68.0,250,30432220.0,119,-76.8125
29244.583765029907,44.0,250.0,-0.3029731,122753.0,0.00409109480529492,0.013631267,4.1843133,220,-76.12,1047.3202701554994,-68.0,250,30688220.0,120,-76.552734375
29486.064844846725,44.0,250.0,-0.3017404,123777.0,0.004141111182534781,-0.05745809,4.1508584,220,-76.24,1060.1244627289038,-68.0,250,30944220.0,121,-76.291015625
29729.116035461426,44.0,250.0,-0.30063537,124801.0,0.004114359602480868,-0.014248544,4.1620593,220,-75.84,1053.276058235102,-64.0,250,31200220.0,122,-76.044921875
29972.010235786438,44.0,250.0,-0.29904127,125825.0,0.004117018844673601,0.026269076,4.180314,220,-75.12,1053.956824236442,-68.0,250,31456220.0,123,-75.466796875
30216.599872112274,44.0,250.0,-0.29806444,126849.0,0.004088480669180214,0.08409127,4.202756,220,-75.68,1046.6510513101348,-64.0,250,31712220.0,124,-75.4765625
30461.636035203934,44.0,250.0,-0.29672956,127873.0,0.004081030274808599,0.11449337,4.204818,220,-75.32,1044.7437503510014,-64.0,250,31968220.0,125,-74.96875
30702.679951667786,44.0,250.0,-0.29597977,128897.0,0.004148621606677075,0.053213973,4.173286,220,-75.36,1062.0471313093312,-64.0,250,32224220.0,126,-74.857421875
30941.181326389313,44.0,250.0,-0.2954624,129921.0,0.00419284794969251,-0.03696278,4.137181,220,-74.84,1073.3690751212825,-64.0,250,32480220.0,127,-74.666015625
31182.241681575775,44.0,250.0,-0.29583597,130945.0,0.004148338698109404,0.016052658,4.1717734,220,-75.06,1061.9747067160074,-64.0,250,32736220.0,128,-74.759765625
31422.54610323906,44.0,250.0,-0.2941837,131969.0,0.004161388263596767,0.01585924,4.1720595,220,-74.16,1065.3153954807724,-64.0,250,32992220.0,129,-74.3203125
31662.483382463455,44.0,250.0,-0.29413766,132993.0,0.004167755853665296,0.014789559,4.199238,220,-74.68,1066.9454985383159,-64.0,250,33248220.0,130,-74.34375
31903.793429136276,44.0,250.0,-0.2936422,134017.0,0.004144046274856698,0.014532551,4.2007523,220,-74.2,1060.8758463633146,-64.0,250,33504220.0,131,-74.1796875
32143.47865128517,44.0,250.0,-0.29340804,135041.0,0.004172138736942189,-0.046043944,4.195057,220,-73.92,1068.0675166572005,-64.0,250,33760220.0,132,-74.19921875
32382.77304172516,44.0,250.0,-0.2922661,136065.0,0.004178952954815674,0.05020377,4.2375474,220,-74.28,1069.8119564328126,-64.0,250,34016220.0,133,-73.828125
32625.30210351944,44.0,250.0,-0.2923433,137089.0,0.004123217203751953,0.0599156,4.2452083,220,-74.04,1055.5436041605,-64.0,250,34272220.0,134,-73.865234375
32869.12704253197,44.0,250.0,-0.29199108,138113.0,0.004101303189287873,0.053216778,4.223221,220,-73.84,1049.9336164576955,-64.0,250,34528220.0,135,-73.80078125
33109.74450993538,44.0,250.0,-0.29151025,139137.0,0.004155974255698696,0.036878493,4.2151575,220,-73.8,1063.9294094588663,-64.0,250,34784220.0,136,-73.6875
33352.200613737106,105.6,250.0,-0.2894615,140162.0,0.004124457929992009,0.05498707,4.2852244,76,-73.4,1055.8612300779546,105.6,76,35040296.0,137,-73.04429268292682
33597.65274167061,105.6,250.0,-0.28891307,141186.0,0.004074114200675904,0.047407493,4.238433,76,-73.28,1042.9732353730315,-64.0,250,35296296.0,138,-73.07421875
33843.26087617874,105.6,250.0,-0.28931883,142210.0,0.004071526384916565,0.045813672,4.245244,76,-73.42,1042.3107545386408,-64.0,250,35552296.0,139,-73.103515625
34088.79628419876,105.6,250.0,-0.28723034,143234.0,0.004072732352795593,0.0952986,4.269833,76,-72.52,1042.6194823156718,-64.0,250,35808296.0,140,-72.59375
34331.54252243042,105.6,250.0,-0.28691503,144258.0,0.004119528307770003,0.10989795,4.281219,76,-72.08,1054.5992467891208,-64.0,250,36064296.0,141,-72.53515625
34571.2397248745,105.6,250.0,-0.28535074,145283.0,0.0041719302094621186,0.11120312,4.3456306,76,-72.36,1068.0141336223023,100.2,90,36320386.0,142,-72.02321951219513
34815.881264448166,110.8,248.19,-0.2841463,146309.0,0.004087613255470328,0.12974836,4.431237,63,-70.63600000000001,1046.428993400404,110.8,63,36576518.0,143,-71.73372319688109
35061.88336992264,110.8,250.0,-0.28569433,147333.0,0.004065005858674536,0.10521065,4.2940693,63,-71.92,1040.6414998206812,-64.0,250,36832518.0,144,-72.2109375
35307.85956645012,110.8,250.0,-0.28355122,148358.0,0.00406543403027324,0.04028275,4.3157825,63,-71.8,1040.7511117499496,104.4,79,37088597.0,145,-71.67180487804879
35554.37355923653,110.8,250.0,-0.28228238,149384.0,0.004056564857421509,0.1372178,4.428718,63,-71.52,1038.4806034999065,108.7,69,37344747.0,146,-71.22748538011696
35800.97334814072,110.8,250.0,-0.28063276,150411.0,0.004055153511865024,0.181608,4.5180182,63,-70.8,1038.1192990374461,109.8,66,37600967.0,147,-70.76066212268744
36046.58194899559,110.8,250.0,-0.28017756,151438.0,0.00407151865414878,0.079191625,4.4840426,63,-70.8,1042.3087754620876,109.9,66,37857180.0,148,-70.69756572541382
36292.394235134125,110.8,250.0,-0.2799769,152463.0,0.004068144907274575,0.058833178,4.361051,63,-71.12,1041.4450962622914,105.5,77,38113257.0,149,-70.78878048780487
36538.02079510689,110.8,250.0,-0.27876106,153488.0,0.004071220962875055,0.035470333,4.3532863,63,-70.24,1042.2325664960142,109.6,66,38369323.0,150,-70.40624390243902
36786.23981618881,110.8,248.19,-0.27738115,154515.0,0.004028700119923328,0.0546112,4.479308,63,-69.63600000000001,1031.347230700372,109.9,66,38625553.0,151,-69.91178188899707
37029.27462911606,110.8,250.0,-0.27561224,155543.0,0.004114636861918855,0.092175454,4.5787735,63,-70.48,1053.347036651227,109.5,67,38881848.0,152,-69.61994163424123
37274.298904418945,110.8,250.0,-0.27312085,156575.0,0.004081228273255167,0.009349975,4.7738705,63,-70.44,1044.7944379533228,110.4,64,39138420.0,153,-68.69350775193799
37518.550564050674,110.8,250.0,-0.27481148,157601.0,0.004094137994835948,-0.017473714,4.412547,63,-69.36,1048.0993266780029,107.1,73,39394579.0,154,-69.414522417154
37764.67734360695,110.8,250.0,-0.26870292,158636.0,0.004062946753712999,0.07212813,4.9412045,63,-69.76,1040.1143689505277,110.3,65,39651397.0,155,-67.41739130434783
38007.77939605713,111.5,244.81,-0.26654196,159673.0,0.004113498795757532,0.31288078,5.160308,62,-63.721000000000004,1053.0556917139281,111.5,62,39908354.0,156,-67.02237222757955
38254.93212866783,111.5,246.4,-0.26087213,160715.0,0.004046081099071355,0.2764029,5.4675965,62,-64.837,1035.796761362267,111.1,63,40165405.0,157,-65.18714011516315
38500.022086143494,111.5,248.34,-0.2541873,161767.0,0.004080134536313269,0.34743115,5.8978252,62,-65.97399999999999,1044.514441296197,111.5,62,40423353.0,158,-63.36235741444867
38744.00096464157,112.0,240.18,-0.24521048,162832.0,0.00409871545502608,0.26135418,6.490642,60,-57.93899999999999,1049.2711564866765,112.0,60,40681594.0,159,-60.443380281690146
38986.06132483482,112.0,232.93,-0.22193441,163939.0,0.004131200991362794,0.63159114,7.9025626,60,-51.275,1057.5874537888753,111.5,62,40942119.0,160,-53.389430894308944
39228.88429927826,112.0,214.56,-0.19997118,165071.0,0.004118226466387944,0.72711635,8.893132,60,-32.988,1054.2659753953135,111.1,63,41201212.0,161,-46.79726148409894
39471.76078462601,112.3,215.53,-0.16434596,166242.0,0.004117319132678535,0.8928195,10.106986,60,-33.17,1054.033697965705,112.3,60,41457276.0,162,-36.79709649871904
39713.54510784149,112.3,202.1,-0.083502054,167527.0,0.004135917443699497,1.7643706,12.156068,60,-20.022999999999996,1058.7948655870712,112.3,60,41712763.0,163,-17.158599221789885
39956.69258141518,112.3,205.44,0.0054256422,168934.0,0.004112730374296711,1.9700408,12.993693,60,-22.848000000000003,1052.8589758199582,111.9,61,41968420.0,164,0.4571428571428565
40201.09343242645,112.3,156.34,0.09956452,170487.0,0.004091638780561618,2.6535769,13.752361,60,24.754,1047.4595278237741,111.6,61,42226640.0,165,15.267868641339343
40445.03296542168,112.3,157.49,0.18196015,172130.0,0.004099376545168587,1.6563742,13.559838,60,26.22,1049.4403955631583,112.1,60,42483261.0,166,27.53043213633597
40688.42203903198,112.3,162.39,0.24091917,173858.0,0.00410864787464172,1.1411657,13.718762,60,21.739,1051.8138559082804,111.9,61,42739558.0,167,34.88929398148148
40933.550800323486,112.3,127.38,0.35500836,175762.0,0.004079488652132555,0.9169688,13.522355,60,53.99800000000001,1044.349094945934,111.9,61,42996042.0,168,46.944117647058825
41177.93993139267,112.4,135.26,0.46904933,177845.0,0.004091834999474314,1.4436107,13.218882,59,45.335,1047.5097598654245,112.4,59,43253808.0,169,56.75295247239558
41422.188747406006,112.4,113.39,0.6090319,180122.0,0.0040941856600254685,1.6084225,13.334791,59,67.917,1048.11152896652,112.3,60,43511213.0,170,67.68190601668863
41663.343495607376,112.4,109.11,0.68489194,182496.0,0.004146714951533839,1.0763339,12.863024,59,70.725,1061.5590275926627,112.3,60,43764375.0,171,73.60046335299073
41906.60389471054,112.4,101.51,0.76687384,185014.0,0.004110821176347361,1.2514226,12.545961,59,77.88,1052.3702211449245,112.3,60,44022693.0,172,77.04575059571089
42150.11614561081,112.4,105.77,0.8694643,187682.0,0.00410656957217957,1.3291914,12.4200945,59,72.932,1051.2818104779699,112.4,59,44278890.0,173,82.75412293853073
42392.66457939148,112.7,98.15,0.93639195,190455.0,0.004122887888463021,0.97618824,11.998466,59,80.094,1055.4592994465334,112.7,59,44535519.0,174,85.71298232960692
42636.19767189026,112.7,84.77,0.9827401,193299.0,0.004106218131340867,0.31498495,11.758855,59,92.79299999999999,1051.191841623262,112.7,59,44791877.0,175,87.74690576652603
42880.857508420944,113.1,92.2,1.0636392,196265.0,0.004087307562124441,0.59551704,11.567648,58,85.72200000000001,1046.3507359038567,113.1,58,45048076.0,176,91.28432231962238
43125.83870053291,113.1,77.4,1.1461972,199358.0,0.004081946011361348,1.2095326,10.6991005,58,98.965,1044.978178908505,112.7,59,45304510.0,177,94.17795021015196
43368.6838593483,113.1,81.47,1.2065257,202543.0,0.004117850258485991,0.2637381,10.43824,58,95.491,1054.1696661724136,112.7,59,45559969.0,178,96.46653061224491
43611.754199028015,113.1,92.32,1.2824074,205848.0,0.004114035473508004,0.3813989,9.596041,58,84.57,1053.193081218049,113.1,58,45817045.0,179,98.5694099848714
43856.252838134766,113.5,84.51,1.3210461,209217.0,0.004090002315159678,0.10051342,9.336507,57,92.08200000000001,1047.0405926808776,113.5,57,46073985.0,180,99.81923419412287
44101.29634356499,113.5,74.29,1.3211507,212578.0,0.004080907993232897,-0.18537696,9.544143,57,101.38200000000002,1044.7124462676218,113.1,58,46329235.0,181,100.03867896459387
44343.01095247269,113.6,69.92,1.391816,216054.0,0.004137110307560504,0.7517292,9.094861,56,105.086,1059.100238735489,113.6,56,46585411.0,182,101.92192174913693
44586.34589123726,113.6,70.33,1.419113,219576.0,0.004109561927592755,0.53900737,8.841464,56,105.05699999999999,1052.0478534637452,113.1,58,46842329.0,183,102.49687677455991
44831.49099230766,113.6,73.35,1.4647219,223165.0,0.004079216739937244,0.6508055,8.654385,56,101.558,1044.2794854239346,113.1,58,47098698.0,184,103.82730565617162
45076.95930480957,113.6,71.47,1.4883094,226796.0,0.004073845580342391,0.64727175,8.140877,56,103.406,1042.904468567652,113.5,57,47355267.0,185,104.3643348939686
45316.21211719513,113.6,69.28,1.4684888,230385.0,0.004179679185498922,0.5138441,8.753264,56,105.37100000000001,1069.997871487724,113.1,58,47608805.0,186,104.34895514070773
45558.06740474701,113.6,67.5,1.5542973,234121.0,0.004134703897203372,0.8412277,7.7993364,56,107.191,1058.4841976840632,113.1,58,47866877.0,187,105.6912205567452
45801.65542292595,113.6,68.56,1.5686164,237875.0,0.0041052922367692144,-0.026717182,7.6725926,56,105.76899999999999,1050.9548126129189,113.2,57,48123135.0,188,106.37128396377197
46049.22429680824,113.6,63.55,1.5722473,241634.0,0.004039279996383749,0.40339798,7.4863253,56,110.855,1034.0556790742396,113.2,57,48378121.0,189,106.61673317371643
46293.03916311264,113.6,68.63,1.5954227,245435.0,0.00410147262616678,0.5032853,7.138465,56,105.545,1049.9769922986957,113.2,57,48634708.0,190,106.82488818731913
46534.51904582977,113.6,73.64,1.6122726,249265.0,0.004141131711461825,0.21455428,6.9883666,56,100.53699999999999,1060.1297181342272,113.6,56,48891619.0,191,107.12947780678851
46780.97653269768,113.6,65.05,1.6212718,253108.0,0.004057494916094702,0.47398594,7.0316987,56,109.25699999999999,1038.7186985202438,113.5,57,49147241.0,192,107.44996096799375
47024.58545947075,113.6,69.67,1.6212361,256950.0,0.004104939885604146,0.45208055,7.0481415,56,105.352,1050.8646107146612,113.5,57,49402753.0,193,107.39416970327954
