best_ext_ret,eplen_std,eplen,epcount,best_eplen,rew_mean,eprew_recent,tcount,recent_best_eplen,recent_worst_eplen,n_updates,eprew_std,total_secs,eprew,recent_best_ext_ret
13.125,0,50,127968,50,0.15230493,7.201171875,6398400,50,50,100,1.504196603,37214.21297,5.615625,12.1875
13.125,0,50,129248,50,0.15516652,7.258789063,6462400,50,50,101,1.453293001,37589.60584,7.828125,12.8125
13.125,0,50,130528,50,0.15955505,7.533447266,6526400,50,50,102,1.261664327,37960.46571,6.6875,11.875
13.125,0,50,131808,50,0.15444504,7.291748047,6590400,50,50,103,1.479346747,38332.13717,7.653125,11.5625
13.125,0,50,133088,50,0.15710732,7.422119141,6654400,50,50,104,1.034913002,38702.44098,7.453125,12.5
13.125,0,50,134368,50,0.1527839,7.208251953,6718400,50,50,105,1.271575518,39072.33839,7.259375,12.8125
13.125,0,50,135648,50,0.15942901,7.483886719,6782400,50,50,106,1.334265218,39442.84145,7.965625,11.875
13.125,0,50,136928,50,0.16213647,7.714111328,6846400,50,50,107,1.40536083,39812.76818,7.08125,12.5
13.125,0,50,138208,50,0.15922707,7.471191406,6910400,50,50,108,1.260130822,40185.15207,7.23125,12.5
13.125,0,50,139488,50,0.16194801,7.671630859,6974400,50,50,109,1.125256047,40556.57961,8.034375,13.125
13.125,0,50,140768,50,0.15979849,7.587646484,7038400,50,50,110,1.245303678,40928.55441,8.25,12.8125
13.125,0,50,142048,50,0.16175202,7.624755859,7102400,50,50,111,1.174684133,41300.00414,8.09375,11.5625
13.125,0,50,143328,50,0.16291374,7.690185547,7166400,50,50,112,1.341477002,41670.56648,7.640625,12.1875
13.125,0,50,144608,50,0.15631309,7.335449219,7230400,50,50,113,1.22424642,42039.1169,6.515625,12.5
13.125,0,50,145888,50,0.165693,7.840332031,7294400,50,50,114,1.863765824,42407.43623,8.590625,12.8125
13.125,0,50,147168,50,0.16101237,7.611328125,7358400,50,50,115,1.268611446,42776.21372,6.875,10.9375
13.125,0,50,148448,50,0.16131221,7.587402344,7422400,50,50,116,1.577812469,43145.12916,7.41875,11.875
13.125,0,50,149728,50,0.1639011,7.781494141,7486400,50,50,117,1.156076845,43517.74002,6.809375,12.1875
13.125,0,50,151008,50,0.15896331,7.405273438,7550400,50,50,118,1.507261071,43887.59266,7.31875,12.1875
13.125,0,50,152288,50,0.16216041,7.693359375,7614400,50,50,119,0.974534144,44257.50801,7.790625,11.875
13.125,0,50,153568,50,0.16058926,7.578857422,7678400,50,50,120,1.395738492,44627.30997,7.33125,11.5625
13.125,0,50,154848,50,0.1637262,7.659179688,7742400,50,50,121,1.196817884,44996.75822,8.046875,11.5625
13.125,0,50,156128,50,0.16028064,7.573242188,7806400,50,50,122,1.266361668,45367.05283,7.5875,12.5
13.125,0,50,157408,50,0.16326866,7.732666016,7870400,50,50,123,1.109458624,45737.5537,7.70625,12.1875
13.125,0,50,158688,50,0.159234,7.465332031,7934400,50,50,124,1.160818677,46107.80583,6.575,12.5
13.125,0,50,159968,50,0.15876369,7.470947266,7998400,50,50,125,1.162331977,46476.86103,6.5125,11.25
